,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,616.9569325,639.4258154,613.8459641,642.9176434,91962168.13,538.7396661,548.5317832,531.9598293,558.7033548,54358639.23,2.621586083,2.653612544,2.595743396,2.71371396,30.35531695,1.424647076,1.552848566,1.455823115,1.506149564,59.31024272
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,758.772774,729.2099297,664.7381689,786.174459,115132569.3,644.2301406,618.7100182,560.6453699,667.0134525,90524185.56,3.137845292,2.997653317,2.739328517,3.243113641,55.38336233,1.924684068,1.841571436,1.723299483,1.993989948,76.51094913
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,366.9831771,353.8496715,374.4599597,370.2027464,90039001.55,324.4816956,300.5841456,335.2858737,327.5129591,52871797.33,1.580733379,1.454386236,1.638900643,1.592660988,31.51962362,0.814923738,0.885713217,0.793128058,0.817779811,64.23742654
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,156.9398971,147.5751927,150.6149084,145.9360064,90619692.46,126.5175915,124.7616415,118.719208,114.952297,56207706.38,0.621960515,0.609237232,0.585821857,0.563842756,34.88569772,0.457988553,0.385867022,0.459169855,0.44176435,67.81068571
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,856.7620758,861.5293115,904.4844517,888.4742706,90429133.49,700.9834262,690.8831546,743.4671083,722.2631594,53069921.06,3.404260256,3.335173544,3.622189762,3.500925585,30.54437725,2.346360438,2.4421767,2.458318111,2.462081387,60.92602218
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,207.5098139,199.8805989,184.6698225,182.3248266,101707572.4,174.2060408,172.7327796,157.9743463,151.8833052,81098023.09,0.84998848,0.838291133,0.774995033,0.740533297,50.53681931,0.542687152,0.478449674,0.464303237,0.485356572,77.58101527
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,1211.045551,1213.666693,1258.354695,1236.824187,90504554.75,1018.439904,1014.75908,1077.469052,1058.131966,53962829.07,4.950930452,4.905704316,5.257032136,5.137940023,31.94491043,3.125828773,3.158436306,3.103245809,3.045291378,63.74471174
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,135.3680841,142.0547942,136.4937547,156.7610822,89831207.6,113.1702637,123.5088248,110.1805027,127.6558089,52963468.03,0.555859242,0.602611571,0.544284358,0.624509029,31.57590633,0.366456801,0.341279678,0.400594895,0.44498694,63.03924119
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,1046.888064,1055.482982,1077.389117,1105.791878,89127923.54,889.0584641,891.3658734,903.4920331,943.0045911,52464810.73,4.322806451,4.310266341,4.404780504,4.578046225,30.84745366,2.629431779,2.675473423,2.801479827,2.74235487,61.04277725
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,805.5958238,801.315903,825.9997772,822.7640729,90539296.04,664.3960906,662.2413582,686.3720573,674.3479526,56025861.01,3.22732848,3.199922225,3.344955324,3.269423174,34.83710573,2.166783007,2.135310168,2.189143624,2.239959078,68.44723293
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,1452.07058,1404.077842,1525.533766,1457.378055,87681164.44,1319.552775,1277.894572,1401.985544,1332.952352,51532165.74,6.433761051,6.198436672,6.86056663,6.49038943,31.94367213,2.883899288,2.749963664,2.870989759,2.799458822,65.5866463
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,604.1302708,669.6353043,670.1578332,653.8583598,92170429.4,512.8871213,581.6151525,589.4738083,564.5219634,55004439.56,2.49341425,2.814879228,2.87785014,2.741357321,30.54904102,1.517688306,1.566379699,1.513242469,1.563470004,58.6473499
12,^GSPTSE,ANN,2022-01-01,2024-01-01,13,917.0031918,931.360171,917.2736472,920.1292099,89801407.24,833.5229807,839.8339365,830.5202937,830.2268316,54392501.79,4.062285273,4.070645918,4.059479885,4.03852288,33.29109913,1.806806579,1.895111201,1.847054579,1.874917705,66.92702535
13,^GSPTSE,ANN,2022-01-01,2024-01-01,14,830.815898,865.5424484,826.759874,866.0584134,93583265.33,740.6089033,771.194409,737.3462956,774.8725165,56394694.28,3.60680331,3.736133482,3.601887901,3.767945335,30.88402176,1.784608045,1.85255024,1.7764538,1.830045027,58.81139393
14,^GSPTSE,ANN,2022-01-01,2024-01-01,15,569.4726956,657.5280302,680.778652,649.2519544,89508982.99,494.653854,581.0730671,617.2536335,581.8750693,53415969.43,2.406703677,2.814050577,3.016826556,2.829481542,32.24181337,1.337144627,1.448497597,1.355493201,1.356646541,64.70245067
15,^GSPTSE,ANN,2022-01-01,2024-01-01,16,927.2068027,930.0817521,966.6757786,896.1921638,91680638.22,776.2583048,776.7112251,816.1530369,733.0321278,57961895.17,3.772544347,3.754374987,3.97969748,3.55380438,36.21064396,2.415539843,2.425149072,2.471187991,2.456831502,69.1397431
16,^GSPTSE,ANN,2022-01-01,2024-01-01,17,255.3389569,261.9551176,231.7936512,273.2662569,90180476.49,229.9853785,234.8839419,210.4852106,247.8365692,53174767.01,1.12400609,1.141547273,1.032628571,1.209502086,31.1998984,0.535565681,0.556430387,0.47185133,0.553395992,61.2909814
17,^GSPTSE,ANN,2022-01-01,2024-01-01,18,564.1537033,581.9004646,597.1773408,619.9759354,90273788.17,412.392526,446.243123,455.0792362,465.0654206,54052835.29,1.996933388,2.151963314,2.212723679,2.249375902,32.48025628,1.837264997,1.772155489,1.846848396,1.952543814,64.35542912
