,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,1010.96756,1025.268497,1030.920595,1020.04779,89826160.36,866.0257408,878.4892759,899.8111924,870.9778673,54725117.42,4.212134386,4.250267115,4.392416698,4.22864964,33.75612308,2.482950007,2.503795079,2.39472628,2.524353106,68.52245696
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,1610.249896,1588.305364,1463.785983,1692.590702,137576563.3,1361.325336,1343.539013,1233.672898,1436.378075,119286802.4,6.626744296,6.505457656,6.023422423,6.980562825,71.54468341,4.124807693,4.038665822,3.790156672,4.284460589,85.37777347
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,1573.720295,1784.998443,1654.632888,1662.373606,111253762,1229.560265,1400.260313,1300.390696,1307.112996,85247044.88,5.969797113,6.762695787,6.333914477,6.336304017,52.72554837,4.699200805,5.266667808,4.909735646,4.904587079,76.86169882
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,1080.411908,1053.778942,1095.764156,1121.583486,89807917.37,979.4776116,948.8861958,1002.705988,1023.656356,55519158.82,4.773359612,4.599099546,4.903229492,4.981885703,34.90963428,2.156413794,2.157638113,2.091749946,2.163451992,70.12710506
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,1168.61325,1165.424848,1223.599996,1212.985886,88949533.95,1024.630407,1011.800367,1076.774808,1065.951228,51928136.59,4.988165847,4.898199126,5.25916713,5.181172568,31.17612491,2.676397575,2.741936995,2.775781329,2.752287917,63.51602537
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,720.8599956,763.0193255,815.8344671,766.3036782,89994163.86,557.1652775,597.7004799,660.8196971,596.0286666,57639577.88,2.701314451,2.883150302,3.217948212,2.885032424,36.5093709,2.184924037,2.253518101,2.286072507,2.298452522,70.74890052
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,1287.937246,1326.540639,1408.125846,1379.517469,90207098.38,1082.617872,1103.500132,1208.554772,1158.281283,54222122.09,5.264079885,5.335319886,5.899077029,5.62262385,32.87341898,3.339639591,3.508231896,3.464806128,3.584673912,67.84179525
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,681.4557467,624.1825496,698.9431769,651.27612,92172014.77,596.9793232,549.5874422,614.1092052,576.0648972,59164394.97,2.912070945,2.667458536,3.00484706,2.805774937,37.01587182,1.581112452,1.413835896,1.610978071,1.455167479,70.25107208
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,1334.767524,1326.25609,1435.691761,1385.362394,88655966.82,1181.184281,1171.400841,1279.427555,1236.823069,53684467.39,5.753076834,5.675163865,6.253497967,6.016496046,33.09305284,2.963596486,2.948444855,3.118015097,2.972288714,65.47754784
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,848.3191646,872.7466027,869.0510733,835.0413648,90311789.28,679.4240685,706.2162093,707.5259565,673.3682547,56941081.54,3.297562591,3.410201736,3.446252284,3.263118086,35.99436017,2.427096644,2.437365844,2.415389032,2.355933093,71.68227446
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,1365.780421,1394.763501,1465.146448,1420.460134,91864323.01,1268.611728,1291.838982,1370.193098,1332.936402,56388887.65,6.190185491,6.270570244,6.709024382,6.49627554,34.09656366,2.392588245,2.475088943,2.462300976,2.311386498,69.03205234
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,1103.871804,1151.636685,1160.421741,1156.13979,91589783.26,899.9380726,961.0135881,966.9891875,971.1525639,58009549.33,4.370508266,4.645522328,4.713728822,4.712556835,36.2386728,3.053427236,3.0095978,3.065980063,2.984406612,69.9094696
12,^GSPTSE,ANN,2022-01-01,2024-01-01,13,1104.549394,1130.070717,1247.277764,1214.260684,93744668.35,947.0405769,970.0330894,1101.371593,1053.479686,62637072.55,4.606915177,4.693959703,5.379394149,5.11818328,39.74193198,2.710877755,2.75053738,2.790890955,2.87425184,73.99361941
13,^GSPTSE,ANN,2022-01-01,2024-01-01,14,907.8983084,877.6223851,858.7971427,863.3516934,89561350.95,760.2620392,720.3217272,693.2062925,703.0808013,53998773.72,3.694811308,3.479766403,3.375438479,3.408075814,33.10785353,2.3642249,2.377763738,2.42515204,2.38823177,67.27345378
14,^GSPTSE,ANN,2022-01-01,2024-01-01,15,805.7956111,809.0718426,778.4103815,804.5408409,89654579.3,716.3764955,711.2916515,687.1328949,718.5456028,51440725.53,3.488293784,3.444154862,3.355331118,3.493659096,30.09520015,1.747863359,1.820232731,1.739164735,1.710538789,62.48720898
15,^GSPTSE,ANN,2022-01-01,2024-01-01,16,625.2010932,599.2186644,623.157681,610.7512834,91088622.18,455.7761735,426.1250777,441.4983496,442.3827684,55177747.02,2.207820865,2.05212484,2.143738827,2.139137047,33.58961617,2.045400815,2.005727134,2.109578026,2.011146931,68.39116985
16,^GSPTSE,ANN,2022-01-01,2024-01-01,17,874.0694453,864.433671,912.5239417,982.188129,89557016.9,758.8540218,741.1477228,807.6920998,875.8747352,55441236.81,3.692174522,3.585567132,3.944278967,4.258454895,33.97732229,2.056358165,2.100713779,2.012606699,2.09649229,66.31832639
17,^GSPTSE,ANN,2022-01-01,2024-01-01,18,301.2328242,378.4803262,365.1275052,335.1515662,90622072.64,253.2341092,328.7507949,307.9276183,288.7745863,56036760.01,1.247181545,1.608769858,1.519954248,1.418344833,35.17761922,0.808121078,0.92710916,0.975100897,0.840728081,70.19917117
18,^GSPTSE,ANN,2022-01-01,2024-01-01,19,239.8003765,243.8953766,273.1725562,329.0608647,92754521.61,203.8723415,198.5473492,217.9237791,248.4901032,62368689.38,0.994922819,0.961891957,1.063319511,1.204093945,39.7416908,0.603678744,0.672482089,0.786662771,1.028380596,73.75635395
19,^GSPTSE,ANN,2022-01-01,2024-01-01,20,258.7189485,242.9413602,205.5869767,194.3912972,91284056.63,217.0196342,196.872392,163.5999606,161.5256092,59546133.66,1.070099574,0.966210842,0.809855248,0.795820583,37.97602321,0.701348842,0.705699447,0.621495162,0.538298754,71.87584802
20,^GSPTSE,ANN,2022-01-01,2024-01-01,21,1168.80156,1144.630574,1183.57844,1202.706404,90848719.86,942.9751435,936.2398562,973.2155637,992.9308741,56328864.75,4.578036045,4.522698905,4.742102465,4.815620444,33.97534762,3.297983335,3.125903043,3.22005963,3.231526926,64.46223074
21,^GSPTSE,ANN,2022-01-01,2024-01-01,22,192.366704,185.3774907,204.6316187,183.2576892,90601402.96,162.3810205,156.3091273,170.2727682,154.20458,56818798.92,0.798835582,0.762572953,0.835406766,0.754605377,35.68949154,0.511867959,0.486197161,0.552938511,0.484778615,70.14558594
22,^GSPTSE,ANN,2022-01-01,2024-01-01,23,551.1422242,568.3252799,581.4166381,627.8670986,90683310.11,442.2933954,465.0680933,489.442907,526.8915255,55156251.59,2.147209154,2.246869931,2.386798823,2.557026278,34.47764037,1.575277075,1.555802512,1.504058695,1.631403219,71.43593449
23,^GSPTSE,ANN,2022-01-01,2024-01-01,24,752.1188581,809.5108722,813.9437727,822.8619135,91963119.61,624.098673,684.3726459,693.1989819,697.7219191,56594970.75,3.032308325,3.309409751,3.381220151,3.38667388,34.23442089,2.003555406,2.050197692,2.037686147,2.077281096,68.31373962
