,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,213.5029794,159.6776062,237.7442284,204.6753519,95882161.26,171.4539782,129.68194,188.6116587,164.3110072,59310045.14,0.84557075,0.63485061,0.932896094,0.809385239,31.53344086,0.631097017,0.459338146,0.720449465,0.604610839,56.63258211
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,1425.746196,1468.549941,1276.644256,1507.288041,116874394.7,1244.793742,1273.540115,1097.651964,1328.226079,93397079.74,6.065622138,6.171618871,5.36299269,6.463215144,56.99493352,3.325937418,3.479131756,3.133795262,3.399758669,77.4009113
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,218.1552832,213.1831072,294.8601755,276.9100792,96909329.41,179.6907578,171.9409827,242.5271675,231.1628989,67566907.41,0.878670557,0.835738412,1.187214675,1.12694857,42.53383165,0.600545499,0.607131662,0.814761336,0.735052561,72.0885739
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,1166.915642,1207.002218,1200.591885,1194.880888,89457407.62,967.5925183,983.1664454,991.1668846,978.9106877,50398338.48,4.701492994,4.74901169,4.830476892,4.746807986,29.30344308,3.111787673,3.327239685,3.242823277,3.269326699,62.97455684
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,803.2289128,842.9362061,843.6058182,853.3945771,103633697.3,545.2348083,581.5481062,560.684304,591.3134398,71638365.28,2.63545972,2.796072794,2.716584057,2.854331594,34.34900074,2.821354933,2.904392703,3.02357258,2.938248498,42.62276499
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,1066.521846,1084.778251,1097.094421,1027.652638,90713489.76,851.4712127,861.4841561,877.8352894,780.7499253,61936070.04,4.132331629,4.157687151,4.273766028,3.777041185,39.48864982,3.067224152,3.134041389,3.150330461,3.1967415,73.75413489
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,1301.570037,1307.86079,1374.943364,1312.676429,92018187.06,1038.719422,1046.916891,1127.546659,1058.768493,54551753.4,5.041531382,5.054325537,5.493845984,5.131509637,31.71855773,3.749020563,3.728913977,3.761536781,3.701802058,66.29930193
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,192.6853918,208.4636373,204.5531103,233.9262653,90742930.6,162.2606976,173.7515272,169.7744745,183.4203757,53070541.38,0.794812471,0.842443228,0.830186742,0.889824268,30.47322033,0.509832889,0.548455238,0.549008095,0.692008573,60.60989424
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,891.7916377,863.600855,901.1205902,906.009531,89603718.15,787.8262579,750.2836083,803.0047946,798.457183,51782927.75,3.836249797,3.632266301,3.923276654,3.881604024,30.63575825,1.989274415,2.029102101,1.949159554,2.038310321,62.79247558
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,1668.522116,1627.341425,1727.344728,1676.143035,91381859.1,1383.419683,1368.005281,1461.787978,1425.241542,51564735.68,6.725336237,6.617724158,7.133777969,6.922728344,28.77755303,4.473555922,4.202174951,4.425002142,4.222286819,59.53351275
