,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,207.0815518,254.4407227,224.1533817,226.5134012,93527438.67,170.9680617,207.702245,184.1481451,186.1295177,56018817.04,0.842680434,1.021691669,0.910689867,0.916973802,31.46511919,0.582983346,0.729785108,0.638681561,0.641759999,61.57178542
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,538.4840786,508.1960305,472.1442071,706.7116457,89589601.36,486.3650706,461.5166586,422.5681239,665.7035914,53307852.21,2.38162739,2.249140704,2.076104099,3.256059706,33.04208828,1.135164493,1.040273778,1.039787156,1.159244626,67.02359256
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,413.5343028,414.4277828,598.9471149,514.6324803,88940371.23,359.1488788,359.7947907,527.8484413,455.0069121,51653830.14,1.753955674,1.747740156,2.585585527,2.218326579,30.56775848,0.993999732,0.991332232,1.376704828,1.161333559,61.3289543
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,252.1549883,214.7933304,206.6672388,292.2870538,110431947.3,210.4150097,171.7864392,160.2721743,257.2271798,93233089.66,1.033466685,0.840762132,0.79160713,1.262052988,57.73605364,0.686546339,0.635590416,0.647906598,0.68557576,82.44813406
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,517.5275824,588.8381667,641.8698303,660.2131708,99917332.62,377.6901081,449.8904722,511.6930601,520.203449,78238411.02,1.828544896,2.168409493,2.490403631,2.51888899,49.06400373,1.690794912,1.806110063,1.852043069,1.937193679,78.91431213
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,380.036146,163.3611136,221.1657716,195.567078,118949620.8,354.9367214,125.3259788,176.132796,161.2860273,103356761.2,1.740504743,0.612946054,0.867574818,0.79113575,63.5879524,0.668882387,0.5154899,0.664080819,0.544497616,84.98418297
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,1498.860248,1443.478699,1520.006687,1441.667373,92209662.34,1292.585948,1222.178084,1312.264842,1220.523245,57978250.25,6.289650335,5.911687148,6.405007971,5.925368423,35.5284092,3.618087106,3.646254096,3.662901536,3.657251617,70.58610783
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,1000.998374,957.7914473,941.8525157,911.3406384,98308007.07,756.0524458,719.0058538,676.2973699,664.616186,74828985.05,3.663823684,3.464204937,3.283220217,3.211907736,47.41661419,3.144078239,3.015438762,3.153220655,2.986153503,80.951378
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,1245.814873,1212.304727,1332.756478,1228.830164,93593598.59,1143.693787,1111.305347,1232.524074,1129.314117,69153080.54,5.5803457,5.393120702,6.035040458,5.500747646,43.36432705,2.355775227,2.294148615,2.429696427,2.303225374,75.41418666
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,1216.46555,1152.428471,1210.219579,1133.450373,92643186.73,923.3815719,882.6838201,916.6766719,857.862853,62159683.55,4.47517951,4.255528854,4.456043943,4.149828483,39.20608005,3.789725898,3.525639498,3.789858131,3.537678934,73.4468294
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,1374.1319,1389.503965,1357.646124,1322.008878,91546272.32,1261.742519,1269.307437,1236.627253,1196.765191,53798842.25,6.153390232,6.157168575,6.04781833,5.8239715,30.41500496,2.576835961,2.663483326,2.666152606,2.661637742,59.8852039
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,193.5690397,333.5663986,324.4739631,310.3310055,89580642.22,159.2534553,284.1714397,271.3208052,259.2506067,52527928.99,0.784989548,1.393426858,1.339920855,1.276152402,30.11511409,0.547290346,0.866294045,0.886434111,0.846351847,57.74870219
12,^GSPTSE,ANN,2022-01-01,2024-01-01,13,1540.256917,1435.241621,1716.608057,1547.223759,97076009.19,1286.198961,1190.205763,1501.825559,1334.359528,74089316.32,6.252485854,5.753242968,7.333755374,6.481753413,46.74311459,4.050208229,3.81264911,3.968501419,3.726258715,78.16248198
13,^GSPTSE,ANN,2022-01-01,2024-01-01,14,809.5930804,784.4458145,798.2645972,723.3318056,95522007.18,729.7930386,696.4509886,713.8755487,629.8876266,59318932.12,3.555568696,3.373593413,3.487447495,3.059913104,30.91268915,1.655905325,1.69916539,1.693899306,1.683979679,53.96535486
14,^GSPTSE,ANN,2022-01-01,2024-01-01,15,437.8957031,484.2349332,513.3408425,539.3377926,90090066.8,307.369869,351.511414,372.8274443,401.4272264,56942857.6,1.487883418,1.692950544,1.810252048,1.940819259,35.64596506,1.491381358,1.583442645,1.689369583,1.717289328,69.60491792
15,^GSPTSE,ANN,2022-01-01,2024-01-01,16,308.7588019,383.9407354,345.1000051,379.1309259,91468948.51,220.1215195,280.0375803,240.5506111,274.4759236,53486999.88,1.066616582,1.349000574,1.167592984,1.326805439,30.15790498,1.034867788,1.248708013,1.185822078,1.246769695,59.80209518
16,^GSPTSE,ANN,2022-01-01,2024-01-01,17,578.7793403,566.5420669,622.6319974,604.588861,89380218.06,517.2279084,497.9453907,566.3060102,546.0232243,52350405.82,2.519255406,2.411367033,2.768464762,2.656097577,31.10118273,1.228959508,1.275288587,1.223718915,1.222757608,62.46626919
17,^GSPTSE,ANN,2022-01-01,2024-01-01,18,824.7189707,719.7820376,794.2670993,872.881746,97925271.09,765.8853446,660.9740731,731.5691929,823.9135337,74241537.7,3.748555145,3.218690394,3.591495987,4.028552056,46.13857526,1.492694556,1.385841786,1.517097305,1.404717156,73.10700778
18,^GSPTSE,ANN,2022-01-01,2024-01-01,19,1099.502875,1041.167913,1174.145879,1166.643461,91822609.25,974.6933964,920.224865,1071.259114,1071.130722,56637010.88,4.747630952,4.457743197,5.238751133,5.214525795,35.57010508,2.422693269,2.303465164,2.281966496,2.180082326,73.17425626
19,^GSPTSE,ANN,2022-01-01,2024-01-01,20,1299.144409,1321.180192,1360.480134,1398.922606,100988303.6,1101.865165,1136.194664,1175.27181,1231.853381,77717179.58,5.359153415,5.49944124,5.736845735,5.988529982,49.29010225,3.286924017,3.20066805,3.276204596,3.14834245,83.96558208
20,^GSPTSE,ANN,2022-01-01,2024-01-01,21,834.7684493,877.6726874,895.3304513,863.9364411,92982420.94,644.8996232,667.3165871,710.3732474,669.2172936,56950599.06,3.126500755,3.216014158,3.457153609,3.238964381,34.2620933,2.533134003,2.714380197,2.607879514,2.607269161,69.53868981
21,^GSPTSE,ANN,2022-01-01,2024-01-01,22,2203.529921,2192.282611,2584.223038,2307.670117,136810366.6,1961.132662,1956.250133,2335.99676,2073.907785,119851191.1,9.560674556,9.488377119,11.42810012,10.09737809,72.2995483,4.799184439,4.69843814,5.284505139,4.821841786,87.70484813
22,^GSPTSE,ANN,2022-01-01,2024-01-01,23,976.1215898,951.4271506,1066.309156,1048.343244,91738867.3,720.3524054,668.744659,787.0683697,792.0041131,64039421.79,3.488065924,3.216168279,3.822803053,3.83087948,40.30917764,3.150039177,3.223383077,3.449435875,3.277445007,72.31564833
23,^GSPTSE,ANN,2022-01-01,2024-01-01,24,674.3930323,705.5894409,717.4330661,777.4226635,95030270.97,481.0383079,507.7615996,501.8491567,577.9332879,68567846.75,2.327428161,2.443717378,2.434008992,2.793794222,43.50855039,2.260670799,2.332083804,2.460081785,2.484063283,77.15339046
24,^GSPTSE,ANN,2022-01-01,2024-01-01,25,834.1887703,871.6231634,832.5851049,833.4522325,99882499.32,676.7566101,713.6115595,668.7298273,667.423863,62826338.21,3.285967684,3.447214178,3.25617109,3.233849185,32.25978751,2.33342821,2.380648616,2.379818898,2.38754128,56.60860608
25,^GSPTSE,ANN,2022-01-01,2024-01-01,26,2166.1123,1923.224105,2075.833505,1997.276332,92634156.84,1894.446988,1662.046478,1817.837675,1746.162317,60537525.17,9.230118845,8.051916716,8.884442954,8.493390748,37.88589207,5.024252107,4.604658851,4.810236994,4.629162487,67.92320824
26,^GSPTSE,ANN,2022-01-01,2024-01-01,27,1545.460088,1598.35241,1734.444204,1614.501311,90228875.67,1451.135439,1505.608741,1642.847526,1525.728975,52054719.34,7.09760691,7.327168829,8.062347386,7.451933508,29.90929112,2.570242436,2.576179895,2.697208072,2.54470707,60.55907476
27,^GSPTSE,ANN,2022-01-01,2024-01-01,28,727.1929925,758.3499431,689.7792629,768.2185346,94674978.62,567.9561597,596.558107,523.746988,611.6440183,58226322.83,2.754256423,2.877894226,2.545621815,2.962585802,30.68200758,2.168004843,2.224530178,2.148688092,2.215011571,54.24564885
28,^GSPTSE,ANN,2022-01-01,2024-01-01,29,1773.094401,1713.974104,1777.332098,1878.690014,125710305.2,1572.970043,1521.214732,1584.873893,1685.561717,109331654.7,7.668694151,7.377840815,7.752165545,8.206751603,66.59977319,3.917654918,3.757478159,3.863457665,3.958525483,85.01041984
29,^GSPTSE,ANN,2022-01-01,2024-01-01,30,1277.134961,1167.857415,1195.27483,1238.792595,93220460.58,1182.61592,1043.873688,1082.718107,1135.161161,55220416.21,5.768591324,5.058657397,5.293274914,5.525747693,30.5567128,2.274693335,2.473043051,2.40772322,2.340785407,60.20091298
30,^GSPTSE,ANN,2022-01-01,2024-01-01,31,638.7023055,632.2443463,582.6859193,606.3212907,90454088.77,510.6632497,481.0907126,432.4757314,457.4263061,53722905.14,2.478264827,2.318617156,2.100808504,2.212286125,32.80097446,1.827316273,1.94989819,1.868912307,1.896858524,67.71732856
31,^GSPTSE,ANN,2022-01-01,2024-01-01,32,457.1430439,475.2355739,529.3382911,442.9165453,89561709.49,407.8420331,427.7426675,474.6920918,400.1167047,56498221.23,1.996472672,2.083112434,2.330263799,1.955670815,35.09752251,1.013263149,1.009681171,1.152073879,0.928764957,66.38746552
32,^GSPTSE,ANN,2022-01-01,2024-01-01,33,234.2386611,268.243635,264.0879713,270.0748431,88641099.14,176.3277003,203.0422167,190.6145305,200.6669712,51242870.43,0.855589803,0.979185142,0.925894519,0.970895293,29.66379304,0.736997174,0.832016143,0.87532188,0.861138234,58.60151009
33,^GSPTSE,ANN,2022-01-01,2024-01-01,34,1017.216583,880.7832679,895.8179662,883.228175,91551123.81,955.8721616,824.5009563,823.8555775,829.1399913,52961520.17,4.6855273,4.022750604,4.051916368,4.060710695,29.99062434,1.711997206,1.519948209,1.740926035,1.499578207,61.44225575
34,^GSPTSE,ANN,2022-01-01,2024-01-01,35,383.1437365,415.4439927,447.1518905,396.1301089,89944492.29,286.7771629,327.043266,358.1245304,298.5134097,52252076.56,1.389345936,1.578004882,1.743257773,1.443668,29.64978625,1.214480872,1.216808259,1.27846673,1.24213933,58.13923784
35,^GSPTSE,ANN,2022-01-01,2024-01-01,36,258.0595821,237.9274162,229.709717,220.922959,100133239.5,196.2481605,194.3712227,180.757608,177.9293532,65416465.76,0.952840438,0.941693835,0.881672259,0.866364078,32.00042991,0.80170885,0.65365375,0.679831003,0.629033064,47.76109051
36,^GSPTSE,ANN,2022-01-01,2024-01-01,37,1286.366034,1332.212785,1354.089851,1357.665157,87627085.19,1106.592067,1130.451521,1153.510958,1145.589439,61447703.83,5.385493863,5.470673613,5.629985057,5.56339699,36.89010812,3.140036382,3.363637758,3.40889062,3.492989662,59.54938565
37,^GSPTSE,ANN,2022-01-01,2024-01-01,38,778.9847055,624.722548,654.7747859,584.8698351,89432871.5,738.1831324,580.9925139,603.7317933,536.8432298,56078297.67,3.620819447,2.836958228,2.974378826,2.631505951,35.25514759,1.230332931,1.133103536,1.263588334,1.148559631,67.68693345
38,^GSPTSE,ANN,2022-01-01,2024-01-01,39,241.471842,209.1451397,228.1674005,203.7204387,88570205.65,201.1902785,169.1839106,188.2469106,170.6076694,52762335.14,0.986077995,0.825819727,0.926839999,0.835542162,31.61245789,0.657127926,0.603186081,0.639112761,0.546221971,60.92252453
39,^GSPTSE,ANN,2022-01-01,2024-01-01,40,1247.090996,1213.521505,1233.671522,1198.998095,92965713.74,1167.323391,1129.565293,1150.953147,1117.812149,56148725.18,5.69739568,5.483589003,5.633837822,5.445943438,31.49168513,2.069529692,2.08166592,2.103087948,2.042714993,60.59568623
