,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,493.5068819,539.857857,510.0520969,529.3070876,89966348.49,395.687638,435.5797237,415.009369,426.1747095,52137415.69,1.921213148,2.103580444,2.021874791,2.065753251,30.62774152,1.405230537,1.51236914,1.415614736,1.493114272,62.89524353
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,3155.409032,3103.305293,3207.333526,3293.04247,170602799.9,2708.767825,2644.61826,2738.332554,2827.326706,140850325.4,13.18552999,12.80244611,13.36832703,13.73952079,82.86180321,7.721109385,7.705586659,7.996514988,8.039144004,92.82777243
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,2564.215651,2609.454642,2650.039053,2805.288599,116214159.8,2124.924702,2163.891355,2179.019918,2348.091555,80380189.6,10.332577,10.46647058,10.62552567,11.40169524,49.46990604,6.850472286,6.921792258,7.225619215,7.307241454,74.92333078
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,365.8036373,290.7854945,267.0664534,322.6940482,93813381.8,332.1546989,250.1944413,222.8255923,279.0089903,61535400.63,1.625047175,1.21762144,1.091873782,1.361719978,38.78911488,0.737765367,0.712097348,0.715974323,0.781311399,71.09988921
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,1173.497853,1166.250335,1234.019247,1232.092617,91405561.83,944.9866305,933.2502753,993.7376454,992.7216261,53411170.74,4.590594328,4.507912066,4.844199946,4.815091578,28.81314238,3.346365701,3.346541817,3.536246293,3.509710188,54.81340782
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,1299.901934,1361.655627,1447.807897,1418.026646,99977003.69,1011.199301,1063.23352,1153.145614,1125.159871,63316636.94,4.905555676,5.130422671,5.616167656,5.452115532,32.30905492,3.922258865,4.063350569,4.215059912,4.135605702,55.1661593
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,1408.454617,1458.350896,1469.826884,1439.494665,90450888.23,1095.086674,1144.533763,1148.308234,1109.335383,57355320.42,5.314366258,5.524906822,5.591595747,5.372425551,35.72804431,4.252784558,4.311215797,4.419296924,4.40268034,71.35184743
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,1210.386408,1190.348936,1230.801845,1169.836282,89216392.04,966.5665187,961.0066146,999.1114684,962.3015298,51659569.51,4.69424081,4.642760456,4.870222969,4.669129006,29.30838101,3.507406877,3.359061042,3.468598762,3.191385546,57.72011697
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,1377.032382,1403.142269,1439.184,1406.608458,90024607.83,1128.411656,1145.15372,1160.957158,1159.385352,52331320.67,5.483805286,5.534388483,5.657926499,5.626280246,30.46990681,3.790209791,3.874125995,4.102630817,3.822272564,61.07505957
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,1532.07404,1549.79191,1564.723231,1589.262399,90170923.21,1321.894596,1343.882318,1372.668375,1399.009527,52417412.73,6.437658396,6.511116354,6.709254593,6.805632326,30.47012129,3.724851702,3.689963434,3.618923465,3.614252082,61.93207162
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,1328.180821,1330.339619,1423.525158,1358.548267,88450162.21,1000.154679,1010.611358,1070.511488,1056.47096,53242282.16,4.846860159,4.871769524,5.204765378,5.115730597,32.93224813,4.194544208,4.130962459,4.520378186,4.084742395,67.1701357
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,848.0271016,929.6549336,910.844627,928.1822278,90749458.19,711.1015634,775.1652587,763.4311408,779.7450143,52438408.74,3.462887696,3.75305744,3.730165647,3.791707196,27.89595803,2.235409553,2.467291356,2.413545885,2.435185333,53.59393386
