,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,172.8013746,175.3805365,151.9552747,180.1586903,93729192.17,139.2402344,150.0748698,119.3938802,142.2097656,59591050.4,0.679636408,0.730700139,0.58520201,0.693133129,34.27243385,0.495964116,0.437587318,0.457411463,0.535722562,60.78973238
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,188.0629748,181.0328148,140.4950783,202.8989508,100739788.9,157.7876302,153.0932292,119.7386068,182.2471354,67308538.4,0.775357292,0.749534052,0.590756659,0.894243326,42.48255327,0.506506278,0.476762053,0.364172172,0.440550236,74.30899297
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,154.2796789,171.7288894,156.6590323,168.2521302,97054244.98,132.5463542,144.2520182,127.6285807,146.8110026,59771516.53,0.65084323,0.705338186,0.629396968,0.719463308,36.0479615,0.387688398,0.454169469,0.446256288,0.400527214,67.79123702
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,132.7324585,154.3740318,154.028558,195.7179031,96743963.1,111.6151693,135.7845703,133.3240234,177.2458333,62672412.53,0.548855328,0.663764229,0.656186816,0.86861819,38.56675119,0.353307899,0.359596712,0.379082986,0.406351938,69.43002517
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,189.0540789,209.5361612,185.7667026,221.5719206,93734488.79,161.9965495,179.6242188,143.7660156,193.7992188,58253830.67,0.793361339,0.876284559,0.705780737,0.948253907,33.65603893,0.472660999,0.522553967,0.571536284,0.518374428,60.65694364
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,151.8493768,151.2776518,139.6626135,166.4160968,103057737,121.9447266,132.135612,120.1347656,149.3265625,74429799.47,0.595672114,0.644252475,0.591137915,0.73169983,47.2504131,0.438390412,0.356466538,0.350464187,0.359176685,79.12971483
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,150.7258313,169.7647586,208.17305,207.458996,91167909.8,117.489388,131.8595052,168.8211589,159.4544922,56625500,0.574141619,0.642649419,0.826428916,0.779207074,34.5687208,0.456544665,0.517245127,0.589929489,0.643574774,66.70311322
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,140.5762992,143.6119904,142.3482774,172.9260223,95962666.89,120.3950521,123.1095703,120.5385417,144.0968099,58030575.2,0.591838556,0.601560456,0.595298546,0.705984151,34.24635032,0.355794268,0.360207217,0.376052075,0.464618847,63.63188258
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,161.8503912,178.8159845,158.604172,202.981115,93734471,128.7753906,150.4297526,126.7938802,162.1766927,59778202.13,0.629573984,0.732250714,0.623063321,0.791776763,34.16786633,0.476250571,0.466027223,0.463618952,0.590296231,59.59314
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,142.783889,166.9584407,159.8769496,169.8228135,91422349.63,116.6319661,133.5586589,120.0770182,129.8705078,58883045.07,0.570888028,0.650419927,0.589174405,0.633926625,37.09829692,0.400724583,0.481415353,0.514028662,0.527550833,70.39247033
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,191.3841225,223.7737693,202.1613893,226.1352499,91731135.85,153.7621094,179.6358073,157.6016927,175.8766927,57847882.13,0.751094241,0.872470552,0.771842068,0.855831751,34.64507368,0.554390899,0.643567744,0.61649004,0.686745707,63.01331077
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,146.5063566,197.9742596,215.3769735,197.3198988,95367461.01,124.8688151,160.3694661,176.8194661,146.2789714,59428605.07,0.612790173,0.780720627,0.865445885,0.712841505,33.95986483,0.373699629,0.558879092,0.59576944,0.640387287,62.50028105
12,^GSPTSE,ANN,2022-01-01,2024-01-01,13,161.9574733,190.2106118,126.5354598,178.3218338,98809451.82,131.449349,155.6002604,96.85442708,150.1875651,63725819.47,0.643146096,0.757329782,0.476756007,0.735042717,39.40077958,0.461340708,0.529170879,0.400367794,0.468403738,70.74543369
13,^GSPTSE,ANN,2022-01-01,2024-01-01,14,210.1652534,237.2776584,204.3858272,247.2367114,93986149.44,169.9341797,188.5902995,163.0787109,200.8496745,60549781.07,0.830748461,0.916030032,0.79783196,0.978953055,35.25191676,0.599346504,0.693162643,0.596506621,0.696783665,63.1672216
14,^GSPTSE,ANN,2022-01-01,2024-01-01,15,174.5479867,206.4038098,293.6096693,259.5977553,93485911.39,138.1119141,166.1073568,257.5151042,208.3525391,60774738.4,0.674751995,0.806150263,1.259740237,1.013595868,36.76531351,0.517706642,0.588435601,0.676883566,0.746523176,67.53153153
15,^GSPTSE,ANN,2022-01-01,2024-01-01,16,169.3337693,190.8375868,173.257111,176.2549202,95681844.11,129.7754557,153.1857422,134.5732422,138.0220052,60111654.93,0.633509861,0.74377098,0.659667786,0.674085085,36.81646377,0.524945145,0.545924455,0.532549941,0.529847184,68.68527925
16,^GSPTSE,ANN,2022-01-01,2024-01-01,17,134.3036875,140.5372902,137.1071082,165.5227042,92062345.54,110.8260417,118.8898438,107.5608724,133.035026,57278484,0.544482769,0.581023575,0.529849824,0.651248351,34.06997018,0.373263397,0.366185649,0.41952973,0.4801086,63.14420195
17,^GSPTSE,ANN,2022-01-01,2024-01-01,18,128.6974813,177.8794036,157.1409814,201.135891,92676853.59,104.4375,147.3723307,128.9364583,162.3636719,61163260,0.512869181,0.718284564,0.63236203,0.792693282,35.998107,0.367064858,0.482480621,0.437545714,0.573847412,63.35842683
18,^GSPTSE,ANN,2022-01-01,2024-01-01,19,164.4462565,141.4487656,141.4648609,163.4122512,98899539.21,137.4558594,116.5695964,119.5014323,140.9051432,68337176,0.675203282,0.570397589,0.588410216,0.690126685,42.52278342,0.443626989,0.392004682,0.370145173,0.401597492,75.19038416
19,^GSPTSE,ANN,2022-01-01,2024-01-01,20,151.4565291,165.6203781,158.9445649,188.2121561,97345185.36,126.6099609,146.0701823,140.8884766,167.083724,65449111.2,0.620766862,0.713633998,0.694517507,0.819124689,39.67874954,0.404208867,0.382094668,0.364195648,0.42270766,69.19544555
20,^GSPTSE,ANN,2022-01-01,2024-01-01,21,131.6496742,169.3370887,157.8269434,182.527939,95088574.7,106.0785807,145.2171224,132.3458984,150.194401,60642342.67,0.521541978,0.708949404,0.649427255,0.735087616,34.62579814,0.38285538,0.423066758,0.418920206,0.505545987,61.38652318
21,^GSPTSE,ANN,2022-01-01,2024-01-01,22,180.9886904,221.6969726,142.1217398,177.9739617,98179241.56,129.6473307,173.7990885,111.858724,139.8879557,62863450.13,0.634055122,0.843993951,0.551117089,0.685167608,38.16263591,0.611831541,0.663758911,0.429198559,0.533645467,69.94161219
22,^GSPTSE,ANN,2022-01-01,2024-01-01,23,151.2131234,145.3072044,167.1507701,207.6788257,90421558.79,116.6607422,121.036263,125.8815104,153.5089193,59042353.87,0.570194247,0.589785723,0.616496746,0.748055662,36.56708773,0.466407054,0.386724009,0.532112072,0.677508207,67.38406672
23,^GSPTSE,ANN,2022-01-01,2024-01-01,24,133.7914659,154.5166354,141.2549797,169.1686969,91596111.33,114.7860026,135.3002604,116.0007813,152.4192708,56855041.33,0.56400366,0.662357375,0.572717249,0.746625631,34.69398035,0.337967136,0.367664874,0.396050993,0.358189386,64.58194745
24,^GSPTSE,ANN,2022-01-01,2024-01-01,25,157.8211902,247.1654241,177.4592719,205.5392741,98802162.32,126.757487,202.1195964,138.0152344,165.6102865,65194186.93,0.61904946,0.982132944,0.67661732,0.809701485,40.29063352,0.457302293,0.687755682,0.544348068,0.592470746,72.93345941
25,^GSPTSE,ANN,2022-01-01,2024-01-01,26,176.6562155,198.1464075,178.2461023,199.5416519,93740229.14,145.2582682,155.8783203,137.7157552,150.0348958,58956909.07,0.709933605,0.756585902,0.673681166,0.73033344,35.46643139,0.486536317,0.587364062,0.548341715,0.637233976,65.30684982
26,^GSPTSE,ANN,2022-01-01,2024-01-01,27,148.1565957,175.8965733,146.4095021,205.7871173,96386453.52,117.7885417,136.3852865,118.0008464,167.2579427,60570180.53,0.576507437,0.663848694,0.57875591,0.81587738,32.48298863,0.435758513,0.5351758,0.419381493,0.577168922,56.1965485
27,^GSPTSE,ANN,2022-01-01,2024-01-01,28,172.6196777,213.0627965,156.4871375,197.1299853,93958745.17,143.3101563,178.1761068,133.1338542,161.4169922,63155882.67,0.704255601,0.869724696,0.655894504,0.790281222,36.60471468,0.471767333,0.568182859,0.40360089,0.553049865,60.87610287
28,^GSPTSE,ANN,2022-01-01,2024-01-01,29,142.7077086,156.3783176,128.3169123,181.5396868,96253192.76,112.0294922,124.698112,103.30625,146.7915365,64162381.87,0.54974406,0.609452477,0.508009851,0.718715211,39.36245563,0.431528792,0.458787064,0.371016644,0.518697462,69.81936328
29,^GSPTSE,ANN,2022-01-01,2024-01-01,30,189.0528275,188.6384095,186.373072,207.453291,94980395.33,152.0970703,160.3096354,144.848112,162.9169922,57340868.53,0.745727482,0.783013851,0.712695398,0.796708496,34.83466831,0.548549697,0.483173791,0.57516247,0.625202536,66.45340754
30,^GSPTSE,ANN,2022-01-01,2024-01-01,31,164.1334934,196.4498769,174.3225461,190.7802387,96419962.7,139.7248698,166.4907552,144.6249349,164.0924479,63405864.8,0.686863436,0.81526373,0.712799088,0.805364024,39.31071553,0.42275846,0.513247766,0.47552961,0.475790654,72.11276326
31,^GSPTSE,ANN,2022-01-01,2024-01-01,32,130.3087169,166.538533,148.5794522,178.7770221,93585981.79,105.6502604,140.0758464,118.0167318,149.3577474,58348708.8,0.518804427,0.684919899,0.581494019,0.730275234,35.52192416,0.373611926,0.439175171,0.443151748,0.475823488,68.163567
32,^GSPTSE,ANN,2022-01-01,2024-01-01,33,198.9849964,274.9703045,261.1490789,185.7388549,94366227.28,157.5429036,225.1355469,222.6184245,151.7639974,61931462.93,0.769091458,1.092480076,1.090311165,0.744134503,37.79325437,0.590159847,0.760764473,0.661866069,0.520322883,66.54082623
33,^GSPTSE,ANN,2022-01-01,2024-01-01,34,133.4128302,165.0547534,136.5492363,166.1110845,100152511,109.2514323,134.4332682,117.758724,135.3657552,63839550.4,0.536017376,0.65449851,0.577548044,0.6614182,38.2871389,0.373150866,0.462938544,0.336343538,0.467592776,68.48964416
34,^GSPTSE,ANN,2022-01-01,2024-01-01,35,168.4295493,184.0091255,168.4764811,214.6320679,93058554.91,128.3431641,147.3285807,131.0063802,174.7301432,58446039.73,0.627912537,0.717373793,0.642940083,0.853017959,34.28536519,0.530487265,0.53199421,0.513452491,0.603926487,61.93829506
35,^GSPTSE,ANN,2022-01-01,2024-01-01,36,135.0576153,148.0537496,139.5917261,150.775972,93191452.12,120.9136068,124.9317057,117.9410156,128.7095052,60517718.4,0.59358026,0.611471845,0.581551682,0.631867805,35.43117665,0.295694908,0.388373871,0.367781843,0.384500978,62.18406242
36,^GSPTSE,ANN,2022-01-01,2024-01-01,37,132.2409242,154.1124155,141.8282243,190.539592,98969671.96,105.7617188,130.2238932,116.4190755,169.4051432,65756401.87,0.517765342,0.635239381,0.571889518,0.831971355,40.16626535,0.386534973,0.398606725,0.396332779,0.431143631,69.83883934
37,^GSPTSE,ANN,2022-01-01,2024-01-01,38,156.0990278,237.3410354,196.3155137,197.7478036,96090709.96,116.8007161,186.1692708,150.104362,142.8877604,61538716.53,0.570749211,0.90514114,0.734855937,0.696907731,36.86303172,0.502333413,0.7102479,0.61424248,0.661755631,65.44941469
38,^GSPTSE,ANN,2022-01-01,2024-01-01,39,191.0332374,169.2780512,166.5511761,191.5261634,92914982.44,152.4979167,135.7915365,138.7771484,171.1345703,58047705.33,0.747835712,0.663321401,0.683320948,0.838607588,35.07219451,0.561346766,0.493146001,0.453415916,0.421501746,65.47215041
39,^GSPTSE,ANN,2022-01-01,2024-01-01,40,143.238784,153.4326368,143.3567731,161.5777531,99820364.02,117.8789714,132.2652344,110.8844401,142.0097005,68781212.27,0.579405497,0.644690473,0.545451635,0.694584544,43.88627845,0.401874285,0.376030069,0.445572149,0.373283311,77.58720406
