,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,158.3594287,169.1722615,198.9653694,189.4266281,93570886.31,128.0900391,139.0694661,153.438737,152.3414714,60260626.93,0.625909479,0.677649893,0.751346726,0.743594192,35.91302881,0.45075659,0.464430981,0.617624774,0.544334022,65.77376702
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,206.9155784,209.9479353,153.1747068,247.2803903,103159379,174.5615885,177.2224609,130.5333333,211.1336589,74165397.87,0.857633236,0.867040465,0.644132395,1.035751609,46.83034178,0.551380179,0.55648403,0.398030936,0.636956347,77.98537846
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,161.6994332,208.5530001,176.8992969,202.4399857,95554739.49,143.5138021,181.5501302,155.2613932,178.2597656,60182372.53,0.704331807,0.887649209,0.76527117,0.873989024,36.89071816,0.366478593,0.503096201,0.417278164,0.468950143,69.08786231
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,216.6901103,216.5879229,223.7920776,239.6616517,90460272.18,181.3270833,173.7286458,183.0819661,186.1597005,56310913.33,0.886433448,0.844889074,0.897722354,0.907778547,33.82843062,0.577377293,0.626015683,0.628409462,0.733242426,63.60502923
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,212.8588321,210.6832894,221.2830632,241.2208,90067160.16,165.8705729,170.3666016,169.2553385,177.2142578,53856496.8,0.810406496,0.829285539,0.82966047,0.864205221,31.51061656,0.647186366,0.597351945,0.693487586,0.79220368,60.65541828
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,135.2303338,172.5796653,162.7055053,180.3933563,95029191.83,112.3034505,148.5405599,137.0314453,159.696875,61768106.13,0.550684741,0.723234598,0.673039876,0.781856772,37.75621523,0.36701171,0.423505978,0.429082638,0.407874266,67.98955508
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,196.1849999,191.3009407,258.3160883,236.3065962,94128386.89,152.776237,151.1151042,216.8733724,190.4670573,59329666.67,0.745229404,0.735431528,1.061340425,0.929984707,36.35991802,0.592055004,0.565804618,0.679465162,0.676351315,70.22985745
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,158.3243005,151.4540268,151.0934169,183.7036016,94343983.06,133.4491536,125.9826172,122.694401,159.3103516,60679617.87,0.65580711,0.616885574,0.605723824,0.781288535,36.73056876,0.420719879,0.413313762,0.43649637,0.448262469,67.33023792
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,210.565373,241.6745803,218.0438786,253.2010081,94489800.13,171.3140625,192.9098958,169.7946615,196.5790365,60302209.87,0.837065455,0.935774974,0.832234318,0.958863261,36.23409925,0.592705331,0.698079498,0.666023862,0.77102144,66.17372803
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,163.5389163,199.7153078,190.2449868,196.4955931,92779140.6,128.597526,159.8599609,146.2526042,149.2489583,60167250.67,0.627162695,0.776322682,0.715886593,0.726765103,37.49364147,0.487175624,0.573562326,0.588956283,0.615275978,70.7307084
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,268.0692322,248.5984122,223.2529868,297.2787779,91124597.14,231.3298177,207.5537109,181.1519531,253.0141276,59260868.53,1.129827216,1.007956355,0.887558032,1.23395574,36.52712531,0.652812113,0.657096332,0.632820096,0.751387097,67.48098803
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,150.3412184,247.790563,180.2731076,253.3716221,97386611.93,116.6481771,196.8203125,127.3557292,194.3715495,63308369.6,0.570541076,0.95570224,0.622880241,0.946157755,38.50245861,0.458944237,0.721435715,0.616740024,0.783404035,71.7942278
12,^GSPTSE,ANN,2022-01-01,2024-01-01,13,167.66602,215.2128602,233.650347,243.2147693,98810677.11,134.2279297,175.3343099,203.3617839,187.78125,67460792.8,0.655661973,0.849841674,0.996868717,0.914310396,42.32679207,0.485702457,0.597404893,0.55903869,0.748836558,74.51922925
13,^GSPTSE,ANN,2022-01-01,2024-01-01,14,212.587733,211.1299558,152.7020746,184.7232005,94056788.55,169.0360026,174.4394531,121.3257161,146.3308594,62107262.67,0.824645151,0.84750062,0.595395929,0.714203136,36.44674456,0.623457636,0.570570032,0.450202899,0.543500383,64.42600025
14,^GSPTSE,ANN,2022-01-01,2024-01-01,15,182.0598971,197.9787013,163.9852023,213.0408165,89462808.3,141.6455729,156.4110026,129.5371745,159.4912109,54149234.4,0.692458629,0.759955942,0.635258495,0.776933416,31.10059493,0.556711148,0.583196239,0.490166689,0.68271028,60.36973819
15,^GSPTSE,ANN,2022-01-01,2024-01-01,16,169.3934288,184.976599,153.3930783,200.0745092,94716136.6,132.7086589,154.1185547,116.6865885,161.6598958,60107702.67,0.648107656,0.750726721,0.572257758,0.788143557,36.19423345,0.508019476,0.494164265,0.482662425,0.56765138,67.02884115
16,^GSPTSE,ANN,2022-01-01,2024-01-01,17,143.6019251,146.6701595,162.1238722,199.8192356,93336188.8,118.9840495,124.4421224,125.8303385,150.7611328,61154657.33,0.584170862,0.607477568,0.61834443,0.73620217,37.4418443,0.393662235,0.377752974,0.500196149,0.637175167,68.4382142
