,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,110.8300521,143.8654349,128.9404927,162.2833943,91640865,90.58613281,113.1932943,107.180013,130.4989583,57495064.27,0.444781872,0.552088695,0.52898661,0.640298828,31.80176997,0.313014809,0.429568559,0.355566124,0.471181104,54.71823259
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,200.9004342,206.8709669,145.706749,245.5226406,96680863.74,174.8996745,175.6191406,124.2501953,214.536849,63703912,0.859024933,0.858937448,0.612051033,1.05204763,39.01527835,0.488282575,0.537321233,0.377156596,0.587441432,68.19772369
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,163.6116416,178.3342857,174.9857916,167.1224976,97836945.39,147.0811849,148.5483073,151.3485677,148.6619792,65586808.53,0.720616618,0.725157354,0.744297002,0.72803655,40.08769388,0.348588726,0.479846358,0.432850042,0.372881269,69.06607417
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,212.2506713,196.3443871,191.4168976,212.1795259,87342493.75,167.4963542,155.3065755,149.4139323,155.5476563,55593373.33,0.818261209,0.75532992,0.732666247,0.75859583,32.37176701,0.633166493,0.580369972,0.581925824,0.699262496,58.67857339
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,166.695767,199.8855224,180.834864,217.8468408,94438312.36,135.1291667,159.9658203,139.9394531,162.7845052,61215929.87,0.660444415,0.777639916,0.68648039,0.794343764,30.89571242,0.473464694,0.576516718,0.555864825,0.698702718,44.97239791
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,186.356569,212.4994239,177.6444212,168.2616586,96313393.48,151.6432943,165.089974,140.1751302,139.1730469,65880944,0.740356723,0.800661685,0.686046956,0.680896065,41.24302202,0.523219616,0.642527808,0.530071716,0.460008346,71.92128191
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,187.5067816,205.174662,247.283796,207.8020759,93097732.62,147.3610677,156.4805339,211.0341797,151.4408854,58597228.8,0.71805188,0.760297282,1.033584935,0.738858435,35.75310299,0.557492605,0.63939766,0.625563353,0.690238638,67.29917956
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,137.0346425,147.3481238,120.3788592,187.361785,93598641.72,111.0791016,122.409375,97.86341146,145.7740885,56857279.73,0.54516061,0.595632657,0.481983757,0.71176594,32.87299137,0.394736491,0.395219374,0.343663792,0.569492881,60.50356184
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,214.5282147,197.5245753,277.1891868,233.6529256,90304239.85,173.7701823,158.5751302,244.1653646,178.6452474,57325177.07,0.848341461,0.768924139,1.195413722,0.869993583,34.77594914,0.606074656,0.564442059,0.630339746,0.725187477,64.21388717
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,188.0905569,228.245648,245.8389495,238.0297332,92182959.14,153.3722656,169.3345703,200.4101563,185.9,59158319.73,0.749044733,0.821517266,0.981680729,0.905985674,34.04142674,0.526218874,0.733793902,0.689882983,0.716681469,59.08858741
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,150.6215977,149.5577994,162.9904592,191.8407708,91336064.24,122.2399089,126.2876953,119.9335938,146.0072266,60555886.67,0.597228127,0.613803691,0.587456796,0.711981721,37.3614395,0.426184303,0.383620849,0.53436638,0.59952619,66.74531023
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,145.5968532,184.3263164,189.3901117,159.1355119,92556199.14,110.0484375,146.9889323,146.2348307,124.8655599,56936778.93,0.537112452,0.714536919,0.715188415,0.609870802,31.86475633,0.459574655,0.535217556,0.582011518,0.476969665,56.57007671
12,^GSPTSE,ANN,2022-01-01,2024-01-01,13,167.216384,205.4259756,175.1314285,175.3416088,97230285.56,133.2464193,160.4880208,142.5355469,128.0049479,62866280.8,0.651733164,0.779596034,0.699163516,0.624372973,38.46095587,0.490110558,0.620500295,0.495783886,0.581935411,68.64013009
13,^GSPTSE,ANN,2022-01-01,2024-01-01,14,211.1325754,215.8850925,212.0934653,182.1643906,94334652.97,182.3063802,178.1110677,188.3917318,152.8097656,63722539.2,0.895857343,0.871674066,0.927535488,0.748836628,37.95254431,0.52568947,0.597234952,0.480181042,0.48550115,64.04279153
