,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,107.3663257,131.0993023,106.1613125,134.5470284,91876560.72,80.27682292,110.5128906,76.98489583,112.6404297,55942698.93,0.392505043,0.540631303,0.377978867,0.55065058,31.63406318,0.346121997,0.346668049,0.357307892,0.356638192,60.21460637
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,120.77484,128.6845968,131.6177173,207.7287197,90352029.17,89.72063802,106.3511719,99.93196615,179.7221354,54494465.33,0.438780186,0.518204601,0.488348257,0.884308805,33.16037173,0.393563281,0.350532661,0.413898077,0.518503869,65.91081958
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,129.4860753,145.5009284,158.3397919,151.3830684,89445489.24,96.38645833,119.8070313,136.8063802,134.686263,52771324.53,0.471229411,0.582666355,0.674334041,0.659458155,30.73879527,0.419601885,0.397625992,0.394882585,0.338378909,59.84084383
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,81.69883175,109.5334935,132.8710208,158.0681526,104008567.5,62.37832031,84.35260417,103.0996094,140.3871745,82601784.53,0.305005036,0.410162505,0.505861901,0.688023147,51.63881235,0.256249765,0.336549279,0.40756857,0.356799788,79.43333128
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,129.1044673,149.2113588,172.2730262,189.8876166,99936029.35,104.6867839,118.3492188,126.8405599,140.0472005,77382751.47,0.512983475,0.575247833,0.62078867,0.681867533,48.50892074,0.368768818,0.43678246,0.564594143,0.618855254,77.12181046
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,224.5123991,138.8981521,123.3142891,143.6564016,112640458,193.413737,113.6412109,93.42513021,114.9981771,94023830.93,0.952903221,0.551501254,0.458210294,0.56100199,58.55965656,0.564405976,0.382770043,0.393501301,0.415535563,83.38049367
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,284.6841522,248.5624704,278.635062,229.0139009,92421296.92,252.5593099,196.8546875,248.5085286,177.416862,61534691.47,1.231962738,0.952982063,1.216624948,0.862381717,38.88484314,0.62639171,0.725525004,0.60447558,0.696383546,72.18735285
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,167.452965,198.0572931,119.9152034,153.1194413,109969793.7,133.1521484,147.884375,85.34466146,117.9086589,89534352.53,0.649422898,0.715772148,0.417478007,0.57435006,56.04376628,0.489700737,0.633065556,0.407388019,0.471105655,82.39781924
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,229.7082417,337.1024378,310.9673507,343.1001447,94610362.56,204.9979818,297.2240885,283.1376953,295.7259115,66578262.67,1.001108181,1.442074947,1.386865941,1.439456665,42.14006964,0.497769209,0.75720124,0.615022463,0.833194392,74.02583177
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,163.9695034,227.3311355,175.1070169,194.8980051,97163201.5,125.7048177,178.6029948,132.3679688,142.2455078,70992717.87,0.613578602,0.866354458,0.648320355,0.691960726,44.66894145,0.508426642,0.672422105,0.55485892,0.639780229,74.22604291
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,382.3095147,368.3581498,272.4994211,293.0336683,91821382.99,356.6248698,338.963151,240.1361979,249.7624349,54721476.53,1.741545513,1.646519669,1.174892196,1.215551427,29.86317543,0.651256208,0.679200774,0.61604151,0.732718345,56.01618615
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,189.2748605,155.7933422,119.1931049,157.1367297,89357000.36,152.7040365,129.2957031,94.20325521,133.463151,54780364.53,0.745315858,0.631501849,0.463357967,0.653239356,31.27829088,0.539250358,0.423961203,0.358339001,0.405314852,56.89029045
12,^GSPTSE,ANN,2022-01-01,2024-01-01,13,114.9606824,128.6947501,288.3381229,243.3750021,100218547.5,82.68808594,104.0441406,261.814388,198.7589193,75941890.13,0.403856172,0.506962286,1.283438694,0.968330777,47.70196281,0.388791639,0.365712953,0.580762107,0.677047151,77.75308494
13,^GSPTSE,ANN,2022-01-01,2024-01-01,14,279.1989457,269.1590584,277.8109134,188.0750721,93166716.85,248.8333984,222.2820313,236.268099,142.5364583,56956706.4,1.214420097,1.077680292,1.155830172,0.693216459,30.92127986,0.606246899,0.724665657,0.703019786,0.58997392,55.89220683
14,^GSPTSE,ANN,2022-01-01,2024-01-01,15,141.1107751,177.0096945,168.7847422,209.6525402,92941529.65,118.2374349,142.0171875,124.3598307,150.3090495,61978894.13,0.58032546,0.690763876,0.608637893,0.730747634,38.73362895,0.378088531,0.511384378,0.553331156,0.704711049,70.29209941
15,^GSPTSE,ANN,2022-01-01,2024-01-01,16,99.13501082,169.9353546,114.3046243,178.2151914,92012171.15,75.22714844,133.4746094,78.08476563,137.4488932,54871737.07,0.367946927,0.646750546,0.382899516,0.668550695,31.26134487,0.315068745,0.502851739,0.405097374,0.544465482,59.92681356
16,^GSPTSE,ANN,2022-01-01,2024-01-01,17,147.1605812,149.5059305,177.7091385,198.0554672,89659913.69,117.7046875,119.851888,147.9021484,157.5974609,54546170.93,0.574664627,0.581737718,0.725391401,0.767416762,33.35258207,0.4267828,0.429612709,0.477652511,0.577058575,64.87865535
17,^GSPTSE,ANN,2022-01-01,2024-01-01,18,139.5785569,138.2586162,128.0639049,200.9867787,92944191.24,123.3782552,113.3521484,102.830599,180.1292318,60174890.13,0.606935362,0.553704344,0.505835128,0.884310022,37.51418613,0.325478097,0.386136988,0.373188833,0.441752748,69.15028109
18,^GSPTSE,ANN,2022-01-01,2024-01-01,19,140.4869345,185.5880898,318.8127421,389.7203425,92693452.45,103.2198568,140.3955729,288.9709635,355.0332031,61561915.47,0.502733293,0.680081838,1.414496044,1.730319262,39.31918063,0.459419559,0.581109234,0.642059931,0.763636076,73.74730188
19,^GSPTSE,ANN,2022-01-01,2024-01-01,20,121.7895841,182.142582,168.366858,288.5418233,110915602.4,86.71933594,149.2925781,137.0908203,251.0859375,92012369.6,0.422854425,0.723912239,0.671928075,1.223914972,57.49131584,0.412657533,0.500264778,0.473159926,0.68240319,84.12292105
