,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,ANN,2022-01-01,2024-01-01,1,125.7865116,152.2621997,130.3779012,161.8046289,92751681.61,98.8609375,116.4679688,100.3384766,125.9305339,59155971.47,0.483626526,0.565937888,0.493983753,0.613878756,34.35350034,0.377370626,0.475038233,0.407330978,0.492884411,60.80371661
1,^GSPTSE,ANN,2022-01-01,2024-01-01,2,292.0524651,281.4168393,287.5777575,313.0544439,97561314.88,258.0397135,250.7776693,256.6029948,274.4417969,62435138.93,1.266137892,1.224057377,1.262249653,1.344123232,38.51746483,0.669825051,0.622285698,0.637396912,0.734380244,68.06228579
2,^GSPTSE,ANN,2022-01-01,2024-01-01,3,196.0530656,226.3899504,193.1578906,243.1939221,94010005.48,177.2260417,201.7207682,167.7246745,219.2948568,57023563.47,0.86879144,0.984168668,0.824466756,1.074133704,32.70136031,0.409191768,0.500732028,0.470166958,0.515115826,59.86336249
3,^GSPTSE,ANN,2022-01-01,2024-01-01,4,167.0242855,161.2782572,148.0756953,177.5080803,93260948.93,146.0857422,133.6919271,119.0175781,148.2641276,60328245.87,0.716283923,0.651882818,0.584453993,0.725189434,36.14670514,0.397203752,0.437832993,0.430590861,0.475847864,64.23398482
4,^GSPTSE,ANN,2022-01-01,2024-01-01,5,181.2902703,198.3034702,198.4111575,234.2194994,92982956.61,147.1022786,160.1477865,148.2121094,182.1507813,58711010.93,0.719055898,0.779254346,0.726915026,0.889629178,32.48877724,0.513428913,0.566135293,0.641444459,0.713644879,55.36192882
5,^GSPTSE,ANN,2022-01-01,2024-01-01,6,132.2413726,165.4748057,197.3566314,218.7765162,94682467.93,105.435026,128.0205729,164.6878906,160.7463542,59636225.87,0.514990772,0.621958022,0.807187043,0.783029303,33.31967902,0.385821737,0.506475924,0.527567846,0.718651024,55.99403621
6,^GSPTSE,ANN,2022-01-01,2024-01-01,7,191.8149718,216.881369,172.812803,319.0148291,96433483.71,142.6773438,160.4573568,128.6513672,254.6785807,62305140,0.695357782,0.779480397,0.630396923,1.239622692,36.34257439,0.618857926,0.704254395,0.561066437,0.929182569,64.09091561
7,^GSPTSE,ANN,2022-01-01,2024-01-01,8,192.6947937,204.3281514,152.2205043,203.7292571,98172784.42,152.6986328,165.6016276,123.8005208,158.0471354,61980142.4,0.745873704,0.804648899,0.608975676,0.772936716,34.15596888,0.569125563,0.576229649,0.433132758,0.62601662,58.08112221
8,^GSPTSE,ANN,2022-01-01,2024-01-01,9,207.2420872,241.2431519,166.0935527,230.199064,92842669.71,159.3411458,189.5823568,128.1067708,175.8311849,59910311.2,0.777511965,0.918673247,0.627506276,0.856147926,34.51729334,0.64224421,0.715420001,0.512580093,0.716365042,60.17209806
9,^GSPTSE,ANN,2022-01-01,2024-01-01,10,230.7020971,249.8434899,276.2789921,322.0723496,95128398.23,189.5259766,191.775651,232.4957031,271.2354167,61079848.8,0.925092904,0.931793425,1.140228131,1.322963414,35.67106099,0.63458467,0.769791626,0.723569544,0.8358755,62.57899153
10,^GSPTSE,ANN,2022-01-01,2024-01-01,11,191.9157423,220.4779552,173.4908994,193.1823425,89360848.04,151.0272786,173.7223307,136.7571615,163.3136068,56721821.6,0.736188144,0.842968441,0.670196522,0.796784926,33.98614444,0.572405295,0.653167862,0.517553421,0.500713797,63.85208567
11,^GSPTSE,ANN,2022-01-01,2024-01-01,12,147.8935292,262.6841913,209.5825572,188.881005,96113999.83,122.3150391,212.0731771,170.0221354,135.5654948,60253695.47,0.598907334,1.029803415,0.832553307,0.661047582,32.05528792,0.404863695,0.746987855,0.594195293,0.636651664,53.98105156
12,^GSPTSE,ANN,2022-01-01,2024-01-01,13,192.3948779,163.1625172,167.1186035,211.1781012,100476122.4,159.6720703,129.4712891,148.2432292,179.0722656,67290216.8,0.783465148,0.632645984,0.728872744,0.876912221,42.15108635,0.525561073,0.485283471,0.378778643,0.548423232,72.96928702
