,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,LSTM,2022-01-01,2024-01-01,1,195.5450409286024,206.6420543287297,201.97206658488057,211.3142456728748,94485284.4718918,159.35911458333334,179.82877604166666,168.93821614583334,172.44322916666667,60507692.53333333,0.7812670266820027,0.8764088349564316,0.8298322411384571,0.8436140384583867,36.666747695549326,0.553813931153222,0.4928205357235014,0.5420906810335184,0.594678011001741,66.54453279213946
1,^GSPTSE,LSTM,2022-01-01,2024-01-01,2,212.9135642854996,194.5147218236946,232.0132256415773,240.8597045782678,100229286.50543328,177.4505859375,166.50305989583333,193.52747395833333,200.72018229166667,72400016.53333333,0.8667344118097349,0.8105829127184735,0.94770630940718,0.978036476841848,45.40390175240513,0.5696281379826563,0.4850073792471466,0.6232516971100343,0.6429103488849669,75.25356162120012
2,^GSPTSE,LSTM,2022-01-01,2024-01-01,3,208.0664177726366,211.20712269942587,185.82334204336627,204.3439721399081,92964808.77747042,169.0900390625,180.0119140625,150.38990885416666,162.93977864583334,58305424.266666666,0.8273127320482918,0.8762769878233033,0.7388752581198569,0.7968903499819477,34.61958883366884,0.590831846116203,0.5329165085819252,0.53540161370046,0.6004220462039155,63.52078999417711
3,^GSPTSE,LSTM,2022-01-01,2024-01-01,4,202.85707923773032,221.71543168828447,243.5950596767777,238.43780415540155,92301910.19815886,161.91041666666666,188.647265625,200.6158203125,193.69869791666667,57492981.6,0.7935791607604091,0.91884132459123,0.9841584206189948,0.9461294180873108,34.281208845671024,0.5977836446144875,0.5643922298421037,0.676126459459099,0.6755371456812631,63.24079823460556
4,^GSPTSE,LSTM,2022-01-01,2024-01-01,5,228.73615850460385,235.6111887878052,271.06382089752896,287.5077340770308,89969654.43003507,187.65904947916667,197.09361979166667,228.3494140625,240.37845052083333,55629656.8,0.91739460420467,0.95847655150085,1.1184634795700066,1.1717266875960484,32.169132144646895,0.6351632069066887,0.6225211194634939,0.7109961156361475,0.7634570245004989,58.35503982698979
5,^GSPTSE,LSTM,2022-01-01,2024-01-01,6,213.61465363571023,213.69185923135143,236.26977509369047,239.7510715560117,98020224.4855604,179.41015625,168.98684895833333,198.78502604166667,204.09947916666667,68802437.33333333,0.8830200417444627,0.829339450693966,0.9813513821651788,1.003466107578237,43.10347690448653,0.5780995474803319,0.6473683477935762,0.6376642337694158,0.6262135844959145,73.45174607655036
6,^GSPTSE,LSTM,2022-01-01,2024-01-01,7,186.3912947734655,215.1618499734812,264.5407220958678,229.54589586427133,92818692.77683324,150.31087239583334,182.65703125,224.140625,185.79029947916663,58396472.53333333,0.7367662701121341,0.8896398727753129,1.0993663181018485,0.9075603715442152,35.660241172310684,0.5382853850627362,0.5508447855866592,0.6878436660885303,0.6555017194709928,66.4015418688527
7,^GSPTSE,LSTM,2022-01-01,2024-01-01,8,170.84317943142096,193.4993387600348,167.5237128254555,187.37306931349053,92594105.33620386,139.6025390625,169.0943359375,136.55221354166667,152.2916015625,57931410.93333333,0.685578234259554,0.8248221067620505,0.6745037849570912,0.7463236698229325,33.62532042991994,0.4825278521181699,0.4558501797238755,0.4811789052675824,0.533405795096022,61.14830984232136
8,^GSPTSE,LSTM,2022-01-01,2024-01-01,9,213.29894982306104,233.4969513772392,221.6134745969429,242.03748845308203,95461926.83501716,174.71139322916667,193.84459635416667,178.24641927083334,200.52701822916663,63832148.53333333,0.8549158372482845,0.942895060064022,0.8743973206354259,0.9783573086766494,39.90934043186425,0.595179938102795,0.6283888185588555,0.6442014763333541,0.6563625031832283,71.1145596770188
9,^GSPTSE,LSTM,2022-01-01,2024-01-01,10,205.4244285294215,210.5290869975948,204.8038498278836,223.67188767916684,93472671.41887634,169.266796875,179.9955078125,170.76477864583333,185.09010416666663,59650478.13333333,0.8283095877411727,0.8764920685353249,0.8377142371069785,0.9041890472642532,36.54320062751939,0.5654989740865287,0.5274160769947474,0.550936432092336,0.6083610684878945,67.12947881255498
