,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,LSTM,2022-01-01,2024-01-01,1,228.0646135118841,236.0416761555772,223.4113338300224,250.06886004097305,95282852.9836561,189.83209635416668,200.4919270833333,188.78828125,210.0468098958333,62189954.66666666,0.9293615340096514,0.976414765514354,0.927160469734728,1.0266797507681278,37.90044131017017,0.6131942577945549,0.6024046149095378,0.5832016997315366,0.6569752904963673,69.17704759568586
1,^GSPTSE,LSTM,2022-01-01,2024-01-01,2,184.1433396804524,188.38707422088504,193.9135534381124,208.0074130809692,96931902.40672374,149.59889322916666,164.96920572916667,162.5369140625,172.09596354166666,66538596.0,0.7341497532861432,0.8054963604172787,0.7976015442213367,0.8421231473724218,41.762259705646976,0.5259758233091971,0.4430068406986816,0.5153283484903611,0.5682115073707943,73.32596604001668
2,^GSPTSE,LSTM,2022-01-01,2024-01-01,3,193.3805339472642,199.40587420539487,184.3892627833084,209.8627141334725,93483760.11843444,155.739453125,173.43509114583333,149.35930989583332,175.06510416666666,59580376.266666666,0.764578654620937,0.8480709531314061,0.7364804032471175,0.859467426329356,35.74337731850508,0.5615454642660881,0.4823362051670212,0.5337788435357452,0.5702126760513682,65.25247025559952
3,^GSPTSE,LSTM,2022-01-01,2024-01-01,4,177.1096567436572,200.94991806394347,187.2060893896929,205.84163519463704,92475545.85015914,143.8548828125,171.19322916666667,156.0625,168.54010416666668,58625783.73333333,0.7072684758479341,0.8369398175553463,0.7682019643907068,0.8261748349115632,35.98215126984981,0.5096631072292022,0.5161833487643228,0.5073546506890996,0.5777159115747097,67.53465943056105
4,^GSPTSE,LSTM,2022-01-01,2024-01-01,5,188.9575417224098,195.23329492761488,178.88550665544065,200.6814492557637,93207097.5663758,165.0408203125,171.23203125,145.27044270833332,169.78743489583334,59809212.53333333,0.8105588391975369,0.8376893083982749,0.7158543490301148,0.832510719080821,37.031027571761136,0.4543647108197147,0.4603535878679971,0.5121439035724292,0.5228879020097833,68.30687170581939
5,^GSPTSE,LSTM,2022-01-01,2024-01-01,6,170.31102762333617,190.14432651455908,177.50089356819856,188.4640209780545,96902575.09441556,135.709375,164.17115885416666,141.53815104166668,157.7484375,66858909.6,0.6662634913335347,0.8008051488614051,0.697584943374956,0.7757969022770467,42.03172829313492,0.5041243911726269,0.4651650343030862,0.5283136530279332,0.5116395150776559,73.70372898710957
6,^GSPTSE,LSTM,2022-01-01,2024-01-01,7,214.09993634681047,242.88343434409467,293.98162195867576,290.7941487740728,93528768.83330174,163.0248046875,197.10611979166663,233.13053385416663,229.41712239583333,59604583.2,0.7986624944656953,0.960525374267308,1.1432398399065882,1.1207805162964073,36.365469623035615,0.6770894322578671,0.6888540851854622,0.8774274914533583,0.8691304778111366,67.63085799646619
7,^GSPTSE,LSTM,2022-01-01,2024-01-01,8,174.75970897017018,198.1317459203084,185.47114911038992,187.3290035892308,93000331.5311017,143.58053385416667,172.91087239583334,153.57467447916667,161.79921875,59192692.0,0.7057046257856041,0.8441017550417447,0.7587862732939054,0.794572526340893,35.89219447249622,0.4887847278160517,0.4696545387188025,0.517435565954374,0.4648768980313795,66.76107629149762
8,^GSPTSE,LSTM,2022-01-01,2024-01-01,9,272.99315782177376,297.9389937998019,331.7039109636314,307.72410293271906,93374169.78163747,232.90631510416668,252.0046875,282.68951822916665,260.75221354166666,60040269.6,1.1380847822591598,1.2243568166503147,1.3848616934288258,1.2714050724035548,36.86144602710358,0.6887127091374653,0.7647050637767173,0.845238962730294,0.7893712103930665,67.87136778986887
9,^GSPTSE,LSTM,2022-01-01,2024-01-01,10,173.8077537787527,192.66431744979133,182.95686645556864,202.5503480917524,96338579.90829806,137.7166015625,164.83463541666666,153.86438802083333,166.58235677083334,65685809.86666667,0.6770291685123321,0.8064029195380087,0.75699653376438,0.8162288741246375,41.19661865617197,0.5209630791959812,0.4905416334509937,0.4858529218453454,0.5625725919643997,72.50763568164092
10,^GSPTSE,LSTM,2022-01-01,2024-01-01,11,202.2487962448832,247.8931702982426,233.0881793310679,262.9277924787902,92071623.45453918,161.29055989583333,205.224609375,189.83046875,216.7782552083333,58512108.53333333,0.7900876217269583,0.9982091448462704,0.9318907417187876,1.058987384490471,36.31699196879533,0.59368376702653,0.6708767045429934,0.6600349528159491,0.7205521815528833,68.25914087903108
11,^GSPTSE,LSTM,2022-01-01,2024-01-01,12,211.01831424532827,365.91151117040425,249.5602059357997,298.9029078635565,93434071.60099964,174.49934895833334,315.87994791666665,208.4755208333333,251.3167317708333,57396016.8,0.8533187765949666,1.532003595180145,1.0203763624765696,1.2235123886905075,30.659927741197684,0.5747346287174602,0.8857300035721553,0.6660253304369296,0.7800878822034076,54.09608956004377
12,^GSPTSE,LSTM,2022-01-01,2024-01-01,13,213.1180166558796,217.34688957135216,219.04297256946376,255.3534534077656,96968176.60778388,173.612890625,183.90260416666663,177.5130859375,208.4509765625,67407182.4,0.8498637022578146,0.8958433788820034,0.871642746227469,1.0180048990154922,42.6249255315255,0.5999975058162018,0.5601121812731092,0.6267263335468519,0.7145817340053605,74.9641831399416
13,^GSPTSE,LSTM,2022-01-01,2024-01-01,14,183.4095076219183,198.4449416979637,219.2073386975029,264.9665739184619,93522390.52231328,150.60078125,168.15442708333333,178.04850260416666,224.09908854166667,58371057.86666667,0.7404898411171433,0.8248553551721496,0.8805319573262684,1.102040346485011,32.95394694296795,0.515097159808503,0.5232298952981743,0.6390549707373387,0.7034734965937188,59.52261192783423
14,^GSPTSE,LSTM,2022-01-01,2024-01-01,15,210.9338831935175,223.0543875636643,198.8721463433273,225.68641107395632,92000075.39328304,176.03873697916666,187.678125,163.66751302083333,184.03072916666667,57694886.66666666,0.8604191466775553,0.9129578565013404,0.803470415855393,0.8983986314541667,35.15458130641603,0.5623802450261163,0.5803309347600004,0.5511633732691418,0.6330268550972171,66.26035073721613
