,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.9797,0.9942,0.998,0.9395,0.9652,0.9573,0.9761,0.9619,0.9649,1.0101,0.9936,1.0007,0.9381,0.9258,0.9469
1,Median,LDD,0.8871,0.873,0.8765,0.8964,0.903,0.902,0.9028,0.8903,0.8885,0.8977,0.9103,0.9067,0.9973,0.9973,1.0089
2,Median,Exp-LDD,0.7744,0.7612,0.7552,0.802,0.7891,0.7768,0.7924,0.8077,0.8069,0.8057,0.8035,0.8055,0.9467,0.9436,0.9823
3,Median,Exp-VD,0.9274,0.906,0.9061,0.9322,0.9343,0.9369,0.96,0.9627,0.9676,0.9315,0.9267,0.9285,0.9437,0.9442,0.9635
4,IQR,P-FTD,0.9436,0.9446,0.968,0.8886,0.8778,0.8824,0.952,0.9217,0.9286,0.9405,0.9315,0.9387,0.4186,0.4131,0.6139
5,IQR,LDD,0.8516,0.8138,0.8182,0.8371,0.8222,0.818,0.8507,0.8435,0.8521,0.8699,0.8407,0.8477,0.7788,0.731,0.6769
6,IQR,Exp-LDD,0.6708,0.6634,0.6615,0.7135,0.705,0.7009,0.6506,0.6896,0.6825,0.7364,0.7339,0.7297,0.3456,0.3855,0.5425
7,IQR,Exp-VD,0.8555,0.8257,0.8245,0.8551,0.7974,0.7999,0.8753,0.8502,0.8557,0.9015,0.8914,0.8882,0.2955,0.2875,0.4407
8,Log Mean,P-FTD,1.0021,0.9992,1.0003,0.9936,0.9921,0.9909,0.9958,0.9934,0.9865,0.9934,0.991,0.9831,0.9947,0.9915,0.9716
9,Log Mean,LDD,0.955,0.9496,0.9392,0.9603,0.9572,0.9496,0.9649,0.9591,0.9347,0.9635,0.9605,0.9517,0.9986,0.9975,0.9946
10,Log Mean,Exp-LDD,0.9176,0.9048,0.8896,0.9171,0.904,0.8843,0.9198,0.9135,0.9089,0.9231,0.9153,0.8958,0.9941,0.9923,0.9849
11,Log Mean,Exp-VD,0.9591,0.9563,0.9532,0.9613,0.9548,0.9573,0.9553,0.9543,0.9544,0.9606,0.9586,0.9551,0.9949,0.9919,0.9727
12,Log StDev,P-FTD,0.952,0.9547,0.9569,0.946,0.9471,0.947,0.9605,0.9549,0.9553,0.9646,0.9737,0.9724,0.5772,0.5631,0.6395
13,Log StDev,LDD,0.9255,0.9304,0.9296,0.9109,0.9096,0.9108,0.9188,0.9236,0.9241,0.9168,0.9146,0.9168,0.6865,0.7132,0.6967
14,Log StDev,Exp-LDD,0.84,0.851,0.8543,0.8477,0.8506,0.8525,0.8779,0.8771,0.883,0.8648,0.8636,0.8644,0.4742,0.4844,0.5013
15,Log StDev,Exp-VD,0.9354,0.9287,0.9276,0.9286,0.9235,0.9291,0.9536,0.9373,0.9353,0.9477,0.9371,0.9518,0.425,0.45,0.4556
