,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,349.0,372.0,359.0,325.0,342.0,305.0,334.0,318.0,316.0,380.0,399.0,390.0,178.0 **,186.0 **,265.0
1,Median,LDD,235.0 *,223.0 *,177.0 **,263.0 *,242.0 *,236.0 *,266.0,261.0 *,221.0 *,285.0,244.0 *,252.0 *,403.0,394.0,317.0
2,Median,Exp-LDD,68.0 **,87.0 **,64.0 **,99.0 **,107.0 **,85.0 **,85.0 **,88.0 **,88.0 **,104.0 **,92.0 **,87.0 **,202.0 **,189.0 **,387.0
3,Median,Exp-VD,277.0,273.0,235.0 *,298.0,316.0,260.0 *,289.0,256.0 *,249.0 *,285.0,290.0,257.0 *,161.0 **,190.0 **,342.0
4,IQR,P-FTD,359.0,316.0,313.0,295.0,261.0 *,231.0 *,274.0,255.0 *,270.0,349.0,307.0,308.0,53.0 **,38.0 **,68.0 **
5,IQR,LDD,191.0 **,159.0 **,137.0 **,157.0 **,137.0 **,122.0 **,154.0 **,174.0 **,143.0 **,192.0 **,159.0 **,148.0 **,175.0 **,218.0 **,267.0
6,IQR,Exp-LDD,43.0 **,47.0 **,37.0 **,50.0 **,50.0 **,43.0 **,51.0 **,43.0 **,35.0 **,62.0 **,45.0 **,41.0 **,37.0 **,45.0 **,101.0 **
7,IQR,Exp-VD,163.0 **,123.0 **,112.0 **,124.0 **,117.0 **,93.0 **,149.0 **,137.0 **,115.0 **,156.0 **,146.0 **,146.0 **,0.0 **,19.0 **,25.0 **
8,Log Mean,P-FTD,399.0,399.0,397.0,361.0,372.0,373.0,334.0,331.0,333.0,386.0,377.0,379.0,120.0 **,110.0 **,167.0 **
9,Log Mean,LDD,161.0 **,155.0 **,157.0 **,203.0 **,178.0 **,180.0 **,180.0 **,171.0 **,177.0 **,190.0 **,178.0 **,180.0 **,292.0,302.0,396.0
10,Log Mean,Exp-LDD,28.0 **,29.0 **,28.0 **,32.0 **,33.0 **,32.0 **,27.0 **,29.0 **,28.0 **,29.0 **,30.0 **,29.0 **,162.0 **,178.0 **,258.0 *
11,Log Mean,Exp-VD,161.0 **,165.0 **,161.0 **,171.0 **,169.0 **,168.0 **,175.0 **,176.0 **,177.0 **,180.0 **,178.0 **,177.0 **,74.0 **,89.0 **,196.0 **
12,Log StDev,P-FTD,310.0,289.0,293.0,291.0,281.0,282.0,342.0,331.0,329.0,326.0,314.0,313.0,65.0 **,45.0 **,49.0 **
13,Log StDev,LDD,194.0 **,183.0 **,184.0 **,161.0 **,153.0 **,154.0 **,228.0 *,221.0 *,221.0 *,202.0 **,187.0 **,185.0 **,132.0 **,87.0 **,85.0 **
14,Log StDev,Exp-LDD,114.0 **,109.0 **,110.0 **,106.0 **,100.0 **,99.0 **,97.0 **,93.0 **,94.0 **,106.0 **,105.0 **,106.0 **,31.0 **,21.0 **,10.0 **
15,Log StDev,Exp-VD,143.0 **,128.0 **,130.0 **,107.0 **,103.0 **,102.0 **,129.0 **,120.0 **,122.0 **,146.0 **,141.0 **,143.0 **,7.0 **,0.0 **,0.0 **
