,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.42021225081225566,0.617864971896779,0.5013747400735156,0.259140549798758,0.36820016943056544,0.1617874718067469,0.3138070678778604,0.2213606056466233,0.21131373006210197,0.6948266715426143,0.8890015714441688,0.7954479165618977,0.0013674832061951747,0.002060566714135348,0.051399685278738616
1,Median,LDD,0.017831046616265667,0.011074391617512447,0.0012975311765330844,0.048164484947847086,0.023206125308206538,0.01852677657188906,0.05308265297571779,0.0450981847334333,0.01019742315656913,0.09449897358172166,0.02497325502190506,0.033219984823517734,0.9311522501084255,0.8367550107286661,0.2162961354260915
2,Median,Exp-LDD,4.299272404750809e-07,2.6737125153886154e-06,2.822944225044921e-07,7.508137059630826e-06,1.430089287168812e-05,2.2321128199109808e-06,2.2321128199109808e-06,2.9234961402835324e-06,2.9234961402835324e-06,1.1274605640210211e-05,4.153314876020886e-06,2.6737125153886154e-06,0.004444812017027289,0.002392230499026482,0.7648249070225575
3,Median,Exp-VD,0.07472652908654709,0.06616061626664305,0.017831046616265667,0.13508384089254832,0.21131373006210197,0.043626361240967526,0.1058129653429205,0.03812944412311481,0.029894433579102042,0.09449897358172166,0.10879914976976579,0.03944668134499807,0.0005381573264457984,0.0025129065124929184,0.36820016943056544
4,IQR,P-FTD,0.5013747400735156,0.21131373006210197,0.19685455255421402,0.12471638389069994,0.0450981847334333,0.015266838387105963,0.06822422074037604,0.0368489142110775,0.060269491961662425,0.42021225081225566,0.17008811905543553,0.17435350978121278,8.20273271529004e-08,1.2008968042209744e-08,4.299272404750809e-07
5,IQR,LDD,0.002638970910993521,0.0004794529413629789,0.00012320928908593487,0.0004266080886736745,0.00012320928908593487,4.404162064020056e-05,0.0003571899414964719,0.0011065220933232922,0.00018148900744563434,0.002770629538645153,0.0004794529413629789,0.00024816789118631277,0.0011671793090499705,0.00899504264089046,0.05481029127986403
6,IQR,Exp-LDD,2.3623215383850038e-08,3.9488440961577e-08,1.0437361197546124e-08,5.723268259316683e-08,5.723268259316683e-08,2.3623215383850038e-08,6.460686563514173e-08,2.3623215383850038e-08,7.839844329282641e-09,2.275137376273051e-07,3.062996256630868e-08,1.8109858501702547e-08,1.0437361197546124e-08,3.062996256630868e-08,8.847995559335686e-06
7,IQR,Exp-VD,0.0006032901037542615,4.7302397433668375e-05,2.104776467604097e-05,5.078317190054804e-05,3.061662209802307e-05,4.5276301534613594e-06,0.00026391974461148493,0.00012320928908593487,2.639073136379011e-05,0.0004022172452096129,0.00021920151448284741,0.00021920151448284741,1.8189894035458565e-12,5.584297468885779e-10,1.6443664208054543e-09
8,Log Mean,P-FTD,0.8890015714441688,0.8890015714441688,0.8680334030395898,0.5185272742000961,0.617864971896779,0.6272851643807371,0.3138070678778604,0.2948169606661395,0.3073915451623179,0.7546940826050559,0.6655508074145473,0.6850159026034817,3.813006878772285e-05,1.805902866180986e-05,0.0007553515715699177
9,Log Mean,LDD,0.0005381573264457984,0.0003790976079471875,0.0004266080886736745,0.004653470972698415,0.0013674832061951747,0.001517616927230847,0.001517616927230847,0.0009411722930963151,0.0012975311765330844,0.0025129065124929184,0.0013674832061951747,0.001517616927230847,0.1149664051754371,0.14990237551683094,0.8575823361643415
10,Log Mean,Exp-LDD,2.697561285458505e-09,3.1632225727662444e-09,2.697561285458505e-09,5.029505700804293e-09,5.844412953592837e-09,5.029505700804293e-09,2.293745637871325e-09,3.1632225727662444e-09,2.697561285458505e-09,3.1632225727662444e-09,3.701643436215818e-09,3.1632225727662444e-09,0.0005698828390450217,0.0013674832061951747,0.04080139504367253
11,Log Mean,Exp-VD,0.0005381573264457984,0.0006754665791959269,0.0005381573264457984,0.0009411722930963151,0.0008436624721070984,0.0007984068197401939,0.0011671793090499705,0.0012308068326092325,0.0012975311765330844,0.001517616927230847,0.0013674832061951747,0.0012975311765330844,7.880189514253289e-07,3.194629243807867e-06,0.0033575435081729665
12,Log StDev,P-FTD,0.18311741828802042,0.1058129653429205,0.11814906760264421,0.11185002994352544,0.08415465162215696,0.08665273707811139,0.36820016943056544,0.2948169606661395,0.2825841121848498,0.26487403590545,0.20159339489509875,0.19685455255421402,3.1401395972352475e-07,3.062996256630868e-08,5.06388460053131e-08
13,Log StDev,LDD,0.003051583886190201,0.001770566779669025,0.001862897997852997,0.0005381573264457984,0.0003364373387739761,0.0003571899414964719,0.01355766506276268,0.01019742315656913,0.01019742315656913,0.004444812017027289,0.0021662512626789976,0.0019595077046687948,8.831049490254372e-05,2.6737125153886154e-06,2.2321128199109808e-06
14,Log StDev,Exp-LDD,2.4485168978571892e-05,1.6715837773517706e-05,1.805902866180986e-05,1.3217835657997057e-05,8.152759619406424e-06,7.508137059630826e-06,6.357418897096068e-06,4.5276301534613594e-06,4.9328082241117954e-06,1.3217835657997057e-05,1.221069942403119e-05,1.3217835657997057e-05,4.320099833421409e-09,8.130882633849978e-10,7.821654435247183e-11
15,Log StDev,Exp-VD,0.00018148900744563434,6.718428085150663e-05,7.708757948421407e-05,1.430089287168812e-05,1.040497409121599e-05,9.59746103035286e-06,7.198017374321353e-05,3.813006878772285e-05,4.404162064020056e-05,0.00021920151448284741,0.0001597403588675661,0.00018148900744563434,3.456079866737127e-11,1.8189894035458565e-12,1.8189894035458565e-12
