,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,LDD,0.9619,0.918,0.9226,0.9679,0.9658,0.9552,0.9733,0.9877,0.9878,0.9541,0.9592,0.96,1.0345,1.0865,1.0912
1,Median,Exp-LDD,0.7667,0.7546,0.758,0.8002,0.789,0.7912,0.7877,0.7891,0.7852,0.7805,0.7953,0.7779,0.9916,1.0113,1.0204
2,Median,Exp-VD,0.9526,0.9566,0.9506,0.9771,0.9903,0.987,0.9882,1.0039,0.9982,0.9612,0.9643,0.9626,0.9813,0.9796,0.9863
3,IQR,LDD,0.8571,0.8738,0.8741,0.872,0.8602,0.8771,0.8822,0.8761,0.8825,0.8912,0.8771,0.8835,1.6003,1.5472,1.3577
4,IQR,Exp-LDD,0.7368,0.7214,0.7042,0.8087,0.7839,0.7843,0.7064,0.7257,0.72,0.765,0.7383,0.7373,0.846,0.8526,0.8937
5,IQR,Exp-VD,0.9092,0.8921,0.8957,0.9135,0.8837,0.8843,0.9219,0.9383,0.9341,0.9192,0.9224,0.9297,0.677,0.647,0.6529
6,Log Mean,LDD,0.9723,0.965,0.9572,0.9828,0.9792,0.9786,0.9805,0.9793,0.9724,0.9854,0.9828,0.9767,1.0027,1.0074,1.0278
7,Log Mean,Exp-LDD,0.8918,0.8753,0.8644,0.9003,0.8976,0.8808,0.9098,0.905,0.891,0.903,0.8818,0.8762,0.9989,1.0003,0.9997
8,Log Mean,Exp-VD,0.971,0.9655,0.9551,0.9803,0.9834,0.9662,0.9862,0.9915,0.9786,0.9808,0.9881,0.9456,0.9978,0.9976,0.9952
9,Log StDev,LDD,0.9628,0.9729,0.9704,0.9701,0.9598,0.9579,0.9589,0.9493,0.9473,0.9574,0.9548,0.9553,1.2021,1.214,1.1153
10,Log StDev,Exp-LDD,0.8896,0.9033,0.9016,0.9069,0.9055,0.9048,0.8909,0.9044,0.9018,0.8747,0.8802,0.8779,0.825,0.9054,0.8451
11,Log StDev,Exp-VD,0.9446,0.9451,0.9444,0.9377,0.9491,0.9476,0.9333,0.9309,0.9305,0.9215,0.9308,0.9309,0.7425,0.7136,0.7999
