,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,283.0,267.0,252.0 *,372.0,361.0,341.0,359.0,359.0,337.0,303.0,317.0,324.0,239.0 *,200.0 **,158.0 **
2,Median,Exp-LDD,102.0 **,74.0 **,87.0 **,156.0 **,131.0 **,141.0 **,112.0 **,116.0 **,125.0 **,139.0 **,129.0 **,126.0 **,403.0,339.0,217.0 **
3,Median,Exp-VD,341.0,323.0,308.0,331.0,337.0,369.0,330.0,325.0,361.0,306.0,335.0,308.0,288.0,342.0,394.0
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,226.0 *,183.0 **,168.0 **,179.0 **,188.0 **,206.0 **,235.0 *,213.0 **,244.0 *,224.0 *,230.0 *,216.0 **,130.0 **,141.0 **,189.0 **
6,IQR,Exp-LDD,34.0 **,31.0 **,38.0 **,50.0 **,65.0 **,75.0 **,53.0 **,52.0 **,57.0 **,42.0 **,44.0 **,53.0 **,252.0 *,285.0,357.0
7,IQR,Exp-VD,218.0 **,162.0 **,179.0 **,231.0 *,227.0 *,261.0 *,224.0 *,213.0 **,230.0 *,208.0 **,228.0 *,254.0 *,172.0 **,158.0 **,232.0 *
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,216.0 **,194.0 **,193.0 **,283.0,266.0,264.0 *,284.0,272.0,269.0,261.0 *,246.0 *,241.0 *,166.0 **,131.0 **,157.0 **
10,Log Mean,Exp-LDD,33.0 **,33.0 **,30.0 **,52.0 **,55.0 **,55.0 **,48.0 **,54.0 **,50.0 **,42.0 **,44.0 **,43.0 **,381.0,367.0,321.0
11,Log Mean,Exp-VD,186.0 **,186.0 **,184.0 **,235.0 *,244.0 *,240.0 *,248.0 *,263.0 *,260.0 *,222.0 *,224.0 *,220.0 **,232.0 *,267.0,340.0
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,309.0,309.0,308.0,267.0,265.0,267.0,273.0,267.0,270.0,263.0 *,256.0 *,254.0 *,267.0,256.0 *,297.0
14,Log StDev,Exp-LDD,154.0 **,176.0 **,171.0 **,147.0 **,177.0 **,171.0 **,115.0 **,136.0 **,133.0 **,133.0 **,153.0 **,152.0 **,198.0 **,214.0 **,152.0 **
15,Log StDev,Exp-VD,251.0 *,267.0,269.0,238.0 *,245.0 *,247.0 *,197.0 **,196.0 **,194.0 **,205.0 **,208.0 **,208.0 **,76.0 **,84.0 **,76.0 **
