,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,0.08920892782589362,0.05481029127986403,0.033219984823517734,0.617864971896779,0.5185272742000961,0.3611039877814619,0.5013747400735156,0.5013747400735156,0.33356623058170953,0.1537894909415627,0.2162961354260915,0.25349167909553216,0.020754569575728965,0.004052109774420387,0.0004523318730207393
2,Median,Exp-LDD,9.59746103035286e-06,7.880189514253289e-07,2.6737125153886154e-06,0.0004022172452096129,8.252464976976626e-05,0.0001597403588675661,2.104776467604097e-05,2.8431650207494386e-05,5.449729542306159e-05,0.00014039414600119926,7.198017374321353e-05,5.845885789312888e-05,0.9311522501084255,0.34716529149409325,0.008622652698250022
3,Median,Exp-VD,0.3611039877814619,0.24792719178185507,0.17435350978121278,0.2948169606661395,0.33356623058170953,0.589975534387122,0.28865784978552256,0.259140549798758,0.5185272742000961,0.16589964473860164,0.32030806105103693,0.17435350978121278,0.10289067040321243,0.36820016943056544,0.8367550107286661
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,0.01251208440407936,0.001770566779669025,0.0007984068197401939,0.001440798383555375,0.0022767432674299926,0.005332173790520756,0.017831046616265667,0.007264065483468585,0.02497325502190506,0.011536851214259514,0.014677642795504653,0.008263762760179816,7.708757948421407e-05,0.0001597403588675661,0.002392230499026482
6,IQR,Exp-LDD,6.775735528208315e-09,4.320099833421409e-09,1.2008968042209744e-08,5.723268259316683e-08,3.1401395972352475e-07,8.693659765413031e-07,8.20273271529004e-08,7.284143066499382e-08,1.3044336810708046e-07,2.0700099412351847e-08,2.6917405193671584e-08,8.20273271529004e-08,0.033219984823517734,0.09449897358172166,0.48452077669571736
7,IQR,Exp-VD,0.00899504264089046,0.0005698828390450217,0.001440798383555375,0.015266838387105963,0.01302583178403438,0.0450981847334333,0.011536851214259514,0.007264065483468585,0.014677642795504653,0.005831649234096403,0.01355766506276268,0.03560432962331106,0.0009936344267771346,0.0004523318730207393,0.015876221947110025
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,0.008263762760179816,0.003051583886190201,0.0029080943877488608,0.08920892782589362,0.05308265297571779,0.049760567819248536,0.0918240616483672,0.06414752090131515,0.058402880749781616,0.0450981847334333,0.02685272056623944,0.022363033434885438,0.000714401952791377,8.252464976976626e-05,0.0004266080886736745
10,Log Mean,Exp-LDD,5.844412953592837e-09,5.844412953592837e-09,3.701643436215818e-09,7.284143066499382e-08,1.03669663076289e-07,1.03669663076289e-07,4.474713932722807e-08,9.226823749486357e-08,5.723268259316683e-08,2.0700099412351847e-08,2.6917405193671584e-08,2.3623215383850038e-08,0.7046876743079338,0.5717037787562731,0.23705031063764181
11,Log Mean,Exp-VD,0.002060566714135348,0.002060566714135348,0.001862897997852997,0.017831046616265667,0.02497325502190506,0.021546060141190537,0.02884993747647968,0.048164484947847086,0.043626361240967526,0.010628069954691455,0.011536851214259514,0.009781997654499719,0.015876221947110025,0.05481029127986403,0.35409228332900966
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,0.17869641572360706,0.17869641572360706,0.17435350978121278,0.05481029127986403,0.051399685278738616,0.05481029127986403,0.06616061626664305,0.05481029127986403,0.060269491961662425,0.048164484947847086,0.03812944412311481,0.03560432962331106,0.05481029127986403,0.03812944412311481,0.1315581506714807
14,Log StDev,Exp-LDD,0.0003571899414964719,0.0012308068326092325,0.0009411722930963151,0.00023327588314714376,0.0012975311765330844,0.0009411722930963151,2.639073136379011e-05,0.00011535796875250526,9.446514923183713e-05,9.446514923183713e-05,0.0003364373387739761,0.0003167852501064772,0.003690388592076488,0.00758486291852023,0.0003167852501064772
15,Log StDev,Exp-VD,0.03207873742940137,0.05481029127986403,0.058402880749781616,0.01998793531311094,0.02589861064188881,0.027836266126541886,0.00352048356035084,0.0033575435081729665,0.003051583886190201,0.005096850996778812,0.005831649234096403,0.005831649234096403,9.583873179508373e-07,2.0374991436256096e-06,9.583873179508373e-07
