,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median Counts,,,,,,,,,,,,,,,
1,Exp-LDD,23,24,24,23,23,23,21,24,22,23,23,23,13,11,4
2,Exp-VD,7,6,6,4,3,4,6,5,6,5,5,5,10,10,13
3,LDD,3,3,3,2,4,4,4,4,4,4,4,4,3,6,4
4,Orig,3,3,3,3,3,3,3,2,3,3,3,3,4,4,6
5,P-FTD,4,4,4,8,7,6,6,5,5,5,5,5,10,9,13
6,IQR Counts,,,,,,,,,,,,,,,
7,Exp-LDD,26,26,26,20,22,22,26,24,26,22,20,21,14.0,15.0,10.0
8,Exp-VD,3,2,2,5,4,4,3,3,3,4,6,6,21.0,20.0,18.0
9,LDD,5,6,6,8,9,9,4,6,6,6,10,10,,,1.0
10,Orig,3,4,4,4,2,2,3,2,1,4,2,2,,,
11,P-FTD,3,2,2,3,3,3,4,5,4,4,2,1,5.0,5.0,11.0
12,Log Mean Counts,,,,,,,,,,,,,,,
13,Exp-LDD,31.0,29.0,30.0,28,28,28,27,25,27,29,26,26,9,8,9
14,Exp-VD,4.0,5.0,5.0,3,4,4,4,5,5,4,4,5,18,17,13
15,LDD,3.0,3.0,3.0,3,3,3,4,4,3,2,4,4,1,3,3
16,Orig,,,,1,1,1,1,1,1,2,2,1,3,3,6
17,P-FTD,2.0,3.0,2.0,5,4,4,4,5,4,3,4,4,9,9,9
18,Log StDev Counts,,,,,,,,,,,,,,,
19,Exp-LDD,20,16,16,19,19,18,20,18,18,20,18,18,14,11.0,13.0
20,Exp-VD,5,8,7,3,5,6,7,9,8,4,5,5,21,20.0,19.0
21,LDD,8,8,9,11,10,10,7,7,7,8,10,10,3,3.0,5.0
22,Orig,3,3,3,3,1,1,2,2,3,3,2,2,1,,
23,P-FTD,4,5,5,4,5,5,4,4,4,5,5,5,1,6.0,3.0
