,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,1.1245,1.1394,1.1356,1.0984,1.0905,1.0954,1.0963,1.0482,1.0607,1.0688,1.0773,1.0787,0.9854,0.9906,1.0604
1,Median,LDD,1.0414,1.0338,1.0336,1.0683,1.0352,1.0322,1.0732,1.0667,1.0679,1.0759,1.061,1.0567,0.9901,0.9907,1.065
2,Median,Exp-LDD,1.0396,1.018,1.0142,1.0388,1.0423,1.0354,1.077,1.0685,1.071,1.0522,1.0397,1.046,0.9933,1.01,1.1437
3,Median,Exp-VD,1.0523,1.053,1.0482,1.0806,1.026,1.0271,1.0878,1.0659,1.0706,1.0553,1.0539,1.0547,0.9893,0.992,1.1107
4,IQR,P-FTD,0.7928,0.6872,0.7006,0.6523,0.636,0.6129,0.7849,0.7418,0.7396,0.7064,0.6143,0.6244,0.284,0.3235,0.3844
5,IQR,LDD,0.6317,0.5492,0.5483,0.6079,0.5979,0.597,0.6612,0.7157,0.7193,0.6557,0.5767,0.5831,0.3143,0.3871,0.5241
6,IQR,Exp-LDD,0.5951,0.5367,0.5417,0.572,0.5113,0.5142,0.6635,0.5581,0.5662,0.6126,0.5531,0.5551,0.3121,0.3563,0.4101
7,IQR,Exp-VD,0.6093,0.5753,0.5623,0.6425,0.6021,0.6023,0.7117,0.6358,0.6467,0.6849,0.6324,0.6274,0.2593,0.3222,0.4346
8,Log Mean,P-FTD,1.0418,1.0023,1.0911,1.0161,1.0048,1.0403,1.0136,1.0008,1.0686,1.0147,0.9889,1.0606,0.9971,0.9955,1.0033
9,Log Mean,LDD,0.9901,0.9829,1.012,1.0037,1.0076,1.0095,1.0078,0.9933,1.0464,1.0035,0.9969,1.0163,0.9969,0.9966,1.0091
10,Log Mean,Exp-LDD,1.0129,1.0114,1.0085,1.0023,1.0125,1.0065,1.0128,1.0043,1.0363,0.9931,0.9916,1.0018,0.9968,0.9969,1.0149
11,Log Mean,Exp-VD,1.0091,1.0096,0.9858,1.0162,1.0024,1.0051,1.0077,1.0046,1.0377,1.011,0.9925,1.0098,0.9963,0.9962,1.0059
12,Log StDev,P-FTD,0.7426,0.729,0.7279,0.7228,0.6871,0.6929,0.814,0.7726,0.774,0.7536,0.7124,0.7128,0.3304,0.3519,0.417
13,Log StDev,LDD,0.6548,0.6351,0.637,0.7035,0.6895,0.689,0.7333,0.7058,0.7131,0.703,0.6918,0.6957,0.3934,0.3879,0.4486
14,Log StDev,Exp-LDD,0.6536,0.6354,0.6383,0.6212,0.6327,0.6331,0.631,0.6533,0.6536,0.6489,0.64,0.637,0.3738,0.3774,0.3902
15,Log StDev,Exp-VD,0.6984,0.6861,0.6856,0.7126,0.7033,0.7077,0.7407,0.7437,0.7441,0.7194,0.7026,0.7066,0.2993,0.3411,0.3909
