,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,171.0 **,197.0 **,131.0 **,177.0 **,268.0,224.0 *,166.0 **,174.0 **,165.0 **,171.0 **,214.0 **,158.0 **,372.0,410.0,174.0 **
1,Median,LDD,291.0,334.0,324.0,249.0 *,333.0,331.0,243.0 *,299.0,221.0 *,298.0,317.0,254.0 *,326.0,384.0,187.0 **
2,Median,Exp-LDD,226.0 *,299.0,338.0,266.0,306.0,337.0,156.0 **,244.0 *,223.0 *,252.0 *,296.0,310.0,408.0,356.0,122.0 **
3,Median,Exp-VD,256.0 *,309.0,321.0,274.0,315.0,337.0,223.0 *,218.0 **,231.0 *,223.0 *,268.0,239.0 *,369.0,358.0,151.0 **
4,IQR,P-FTD,122.0 **,82.0 **,75.0 **,39.0 **,16.0 **,15.0 **,158.0 **,125.0 **,124.0 **,74.0 **,62.0 **,61.0 **,0.0 **,5.0 **,27.0 **
5,IQR,LDD,41.0 **,25.0 **,7.0 **,52.0 **,24.0 **,7.0 **,124.0 **,80.0 **,84.0 **,44.0 **,50.0 **,36.0 **,5.0 **,8.0 **,38.0 **
6,IQR,Exp-LDD,1.0 **,0.0 **,0.0 **,47.0 **,18.0 **,3.0 **,12.0 **,45.0 **,42.0 **,15.0 **,4.0 **,4.0 **,6.0 **,9.0 **,25.0 **
7,IQR,Exp-VD,41.0 **,17.0 **,11.0 **,38.0 **,25.0 **,8.0 **,64.0 **,51.0 **,35.0 **,59.0 **,38.0 **,19.0 **,3.0 **,3.0 **,19.0 **
8,Log Mean,P-FTD,122.0 **,150.0 **,150.0 **,193.0 **,260.0 *,263.0 *,176.0 **,215.0 **,221.0 *,181.0 **,237.0 *,235.0 *,124.0 **,205.0 **,384.0
9,Log Mean,LDD,342.0,390.0,391.0,316.0,401.0,402.0,285.0,358.0,357.0,314.0,399.0,399.0,111.0 **,153.0 **,348.0
10,Log Mean,Exp-LDD,367.0,354.0,359.0,349.0,374.0,378.0,292.0,392.0,391.0,362.0,352.0,356.0,200.0 **,273.0,267.0
11,Log Mean,Exp-VD,306.0,410.0,409.0,287.0,400.0,399.0,272.0,342.0,340.0,256.0 *,357.0,355.0,127.0 **,165.0 **,363.0
12,Log StDev,P-FTD,28.0 **,16.0 **,20.0 **,14.0 **,6.0 **,5.0 **,64.0 **,50.0 **,57.0 **,16.0 **,7.0 **,7.0 **,1.0 **,2.0 **,2.0 **
13,Log StDev,LDD,3.0 **,0.0 **,0.0 **,7.0 **,2.0 **,2.0 **,17.0 **,9.0 **,10.0 **,13.0 **,9.0 **,8.0 **,1.0 **,1.0 **,1.0 **
14,Log StDev,Exp-LDD,0.0 **,0.0 **,0.0 **,1.0 **,1.0 **,1.0 **,0.0 **,0.0 **,0.0 **,1.0 **,0.0 **,0.0 **,3.0 **,3.0 **,2.0 **
15,Log StDev,Exp-VD,0.0 **,0.0 **,0.0 **,9.0 **,6.0 **,6.0 **,1.0 **,0.0 **,0.0 **,3.0 **,3.0 **,2.0 **,1.0 **,1.0 **,2.0 **
