,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.0009411722930963151,0.00352048356035084,8.252464976976626e-05,0.0012975311765330844,0.05658342447895848,0.011536851214259514,0.000714401952791377,0.0011065220933232922,0.0006754665791959269,0.0009411722930963151,0.00758486291852023,0.0004523318730207393,0.617864971896779,1.0,0.0011065220933232922
1,Median,LDD,0.11185002994352544,0.3138070678778604,0.25349167909553216,0.029894433579102042,0.3073915451623179,0.2948169606661395,0.02407598106947262,0.13868038851069286,0.01019742315656913,0.13508384089254832,0.2162961354260915,0.03560432962331106,0.26487403590545,0.7345573100628826,0.0021662512626789976
2,Median,Exp-LDD,0.01251208440407936,0.13868038851069286,0.34032321635640983,0.05308265297571779,0.16589964473860164,0.33356623058170953,0.0004022172452096129,0.02497325502190506,0.011074391617512447,0.033219984823517734,0.12810258085846726,0.18311741828802042,0.9840937587196095,0.47620780297620513,4.404162064020056e-05
3,Median,Exp-VD,0.03812944412311481,0.17869641572360706,0.23705031063764181,0.06822422074037604,0.20641296513713314,0.33356623058170953,0.011074391617512447,0.00899504264089046,0.015266838387105963,0.011074391617512447,0.05658342447895848,0.020754569575728965,0.589975534387122,0.49291002014433616,0.00029818139228154905
4,IQR,P-FTD,4.404162064020056e-05,1.6943467926466838e-06,8.693659765413031e-07,1.3795215636491776e-08,3.0740920919924974e-10,2.4920154828578234e-10,0.0004523318730207393,5.449729542306159e-05,5.078317190054804e-05,7.880189514253289e-07,2.275137376273051e-07,2.0396328181959689e-07,1.8189894035458565e-12,1.8189894035458565e-11,2.293745637871325e-09
5,IQR,LDD,1.8109858501702547e-08,1.6443664208054543e-09,3.456079866737127e-11,7.284143066499382e-08,1.3860699255019426e-09,3.456079866737127e-11,5.078317190054804e-05,1.4051875041332096e-06,2.0374991436256096e-06,2.6917405193671584e-08,5.723268259316683e-08,9.054929250851274e-09,1.8189894035458565e-11,4.547473508864641e-11,1.2008968042209744e-08
6,IQR,Exp-LDD,3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,3.9488440961577e-08,4.602043190971017e-10,9.094947017729282e-12,1.2732925824820995e-10,3.062996256630868e-08,2.0700099412351847e-08,2.4920154828578234e-10,1.2732925824820995e-11,1.2732925824820995e-11,2.546585164964199e-11,6.002665031701326e-11,1.6443664208054543e-09
7,IQR,Exp-VD,1.8109858501702547e-08,3.765308065339923e-10,1.000444171950221e-10,1.2008968042209744e-08,1.6443664208054543e-09,4.547473508864641e-11,2.822944225044921e-07,6.460686563514173e-08,7.839844329282641e-09,1.634398358874023e-07,1.2008968042209744e-08,5.584297468885779e-10,9.094947017729282e-12,9.094947017729282e-12,5.584297468885779e-10
8,Log Mean,P-FTD,4.404162064020056e-05,0.00028057557574356906,0.00028057557574356906,0.0029080943877488608,0.043626361240967526,0.048164484947847086,0.0012308068326092325,0.007917965558590367,0.01019742315656913,0.0015980837451934349,0.019245540157498908,0.017831046616265667,5.078317190054804e-05,0.005096850996778812,0.7345573100628826
9,Log Mean,LDD,0.36820016943056544,0.7954479165618977,0.8057269839482615,0.21131373006210197,0.9100459608780511,0.9205922683031531,0.09449897358172166,0.49291002014433616,0.48452077669571736,0.20159339489509875,0.8890015714441688,0.8890015714441688,1.9500828784657642e-05,0.0003364373387739761,0.4125340336249792
10,Log Mean,Exp-LDD,0.5717037787562731,0.45981367328386114,0.5013747400735156,0.42021225081225566,0.6367651425298391,0.6752568088832049,0.1149664051754371,0.8160389817658142,0.8057269839482615,0.5272133391008538,0.443733318028535,0.47620780297620513,0.004052109774420387,0.06616061626664305,0.05481029127986403
11,Log Mean,Exp-VD,0.16589964473860164,1.0,0.9946976143110078,0.1000314528009767,0.8995151304461615,0.8890015714441688,0.06414752090131515,0.36820016943056544,0.35409228332900966,0.03812944412311481,0.48452077669571736,0.4679718594561564,6.268265497055836e-05,0.0006754665791959269,0.5359713830403052
12,Log StDev,P-FTD,2.697561285458505e-09,3.0740920919924974e-10,6.748450687155128e-10,2.000888343900442e-10,2.546585164964199e-11,1.8189894035458565e-11,2.822944225044921e-07,5.723268259316683e-08,1.3044336810708046e-07,3.0740920919924974e-10,3.456079866737127e-11,3.456079866737127e-11,3.637978807091713e-12,5.4569682106375694e-12,5.4569682106375694e-12
13,Log StDev,LDD,9.094947017729282e-12,1.8189894035458565e-12,1.8189894035458565e-12,3.456079866737127e-11,5.4569682106375694e-12,5.4569682106375694e-12,3.765308065339923e-10,6.002665031701326e-11,7.821654435247183e-11,1.6007106751203537e-10,6.002665031701326e-11,4.547473508864641e-11,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12
14,Log StDev,Exp-LDD,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,9.094947017729282e-12,9.094947017729282e-12,5.4569682106375694e-12
15,Log StDev,Exp-VD,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,6.002665031701326e-11,2.546585164964199e-11,2.546585164964199e-11,3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,9.094947017729282e-12,9.094947017729282e-12,5.4569682106375694e-12,3.637978807091713e-12,3.637978807091713e-12,5.4569682106375694e-12
