,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,LDD,0.9271,0.913,0.917,0.9628,0.9765,0.973,0.9849,0.9868,0.9836,0.9615,0.9635,0.9637,1.0047,0.9907,0.9767
1,Median,Exp-LDD,0.9455,0.9282,0.9317,0.9678,0.9708,0.9695,0.9711,0.9765,0.9797,0.9578,0.9361,0.94,0.9963,0.9969,1.0083
2,Median,Exp-VD,0.9418,0.9263,0.9269,0.9579,0.9873,0.9843,0.982,0.9887,0.9843,0.9647,0.9803,0.9794,0.9913,0.9862,0.9821
3,IQR,LDD,0.7426,0.7976,0.8102,0.9335,0.965,0.9789,0.9014,0.9106,0.8962,0.8981,0.9249,0.9403,1.0397,1.1354,1.1119
4,IQR,Exp-LDD,0.7411,0.7089,0.7011,0.8865,0.9176,0.929,0.7216,0.7429,0.7793,0.9171,0.9462,0.9455,1.0831,1.0875,0.9803
5,IQR,Exp-VD,0.8288,0.8861,0.8582,1.0541,1.0457,1.051,0.8592,0.8204,0.8221,0.9661,1.0238,0.9827,0.9489,0.8863,0.8976
6,Log Mean,LDD,0.9602,0.9795,0.8952,0.9938,1.0042,0.9567,0.981,0.9876,0.9587,0.9807,0.9852,0.9521,1.0008,0.9995,0.9964
7,Log Mean,Exp-LDD,0.9801,0.9845,0.9303,0.9897,0.9958,0.9479,0.9973,0.9972,0.955,0.9808,0.9947,0.9454,0.9999,1.0001,1.004
8,Log Mean,Exp-VD,0.9542,0.9831,0.896,1.0005,0.997,0.9573,0.9891,0.9877,0.9663,0.9803,0.9751,0.9625,0.9994,0.9989,0.996
9,Log StDev,LDD,0.9103,0.9126,0.9066,0.9551,0.9882,0.9895,0.9125,0.9169,0.9123,0.9692,0.9813,0.9796,1.1647,1.1704,1.0991
10,Log StDev,Exp-LDD,0.8448,0.8729,0.8614,0.9299,0.9136,0.9149,0.8199,0.826,0.8178,0.8535,0.9179,0.9082,1.0577,1.0965,1.0278
11,Log StDev,Exp-VD,0.8773,0.9064,0.903,0.9848,1.0157,1.0108,0.9003,0.9132,0.9173,0.9649,0.9904,0.9863,0.9335,0.9268,0.9472
