,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,277.0,261.0 *,165.0 **,318.0,346.0,288.0,399.0,373.0,302.0,314.0,299.0,234.0 *,345.0,334.0,377.0
2,Median,Exp-LDD,244.0 *,245.0 *,176.0 **,334.0,339.0,258.0 *,406.0,347.0,273.0,363.0,293.0,209.0 **,372.0,406.0,285.0
3,Median,Exp-VD,242.0 *,261.0 *,151.0 **,340.0,389.0,278.0,376.0,398.0,288.0,348.0,379.0,273.0,300.0,266.0,312.0
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,158.0 **,204.0 **,188.0 **,349.0,344.0,372.0,325.0,273.0,254.0 *,248.0 *,373.0,361.0,319.0,313.0,258.0 *
6,IQR,Exp-LDD,133.0 **,148.0 **,121.0 **,268.0,258.0 *,248.0 *,130.0 **,194.0 **,176.0 **,259.0 *,322.0,314.0,317.0,317.0,388.0
7,IQR,Exp-VD,207.0 **,241.0 *,212.0 **,362.0,378.0,351.0,246.0 *,258.0 *,246.0 *,382.0,374.0,402.0,352.0,365.0,326.0
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,134.0 **,115.0 **,116.0 **,288.0,271.0,266.0,209.0 **,170.0 **,176.0 **,212.0 **,197.0 **,195.0 **,392.0,384.0,384.0
10,Log Mean,Exp-LDD,165.0 **,137.0 **,135.0 **,264.0 *,240.0 *,239.0 *,228.0 *,185.0 **,191.0 **,227.0 *,202.0 **,200.0 **,363.0,316.0,291.0
11,Log Mean,Exp-VD,130.0 **,114.0 **,112.0 **,272.0,269.0,268.0,210.0 **,194.0 **,194.0 **,235.0 *,226.0 *,223.0 *,261.0 *,291.0,335.0
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,219.0 **,215.0 **,214.0 **,367.0,387.0,385.0,131.0 **,130.0 **,124.0 **,309.0,354.0,346.0,248.0 *,202.0 **,251.0 *
14,Log StDev,Exp-LDD,120.0 **,124.0 **,125.0 **,267.0,266.0,262.0 *,32.0 **,35.0 **,38.0 **,184.0 **,245.0 *,235.0 *,260.0 *,245.0 *,327.0
15,Log StDev,Exp-VD,225.0 *,248.0 *,249.0 *,383.0,372.0,378.0,136.0 **,155.0 **,147.0 **,335.0,366.0,357.0,308.0,342.0,278.0
