,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median Counts,,,,,,,,,,,,,,,
1,Exp-LDD,8,7,7,3,4,3,2,7,7,8,7,8,4,4,2
2,Exp-VD,6,6,5,5,5,6,4,3,3,3,3,2,11,8,4
3,LDD,5,7,8,9,11,11,6,6,6,6,8,7,12,13,6
4,Orig,19,18,18,20,16,16,24,22,21,20,19,18,7,9,23
5,P-FTD,2,2,2,3,4,4,4,2,3,3,3,5,6,6,5
6,IQR Counts,,,,,,,,,,,,,,,
7,Exp-LDD,17,19.0,18.0,16,17,17,19.0,17,18,17,13,16,9.0,7,11
8,Exp-VD,10,12.0,11.0,9,7,7,7.0,8,8,4,7,5,17.0,16,10
9,LDD,7,5.0,7.0,10,11,9,8.0,9,7,11,9,10,6.0,6,5
10,Orig,1,,,1,1,1,,1,1,1,1,1,,1,2
11,P-FTD,5,4.0,4.0,4,4,6,6.0,5,6,7,10,8,8.0,10,12
12,Log Mean Counts,,,,,,,,,,,,,,,
13,Exp-LDD,10.0,9,9,7,7,6,6,9,9,11,10,10,4,3,2
14,Exp-VD,5.0,7,8,3,5,5,2,1,2,2,3,3,13,10,5
15,LDD,9.0,8,7,9,10,11,7,8,8,6,7,7,14,14,11
16,Orig,16.0,15,15,17,13,12,22,19,18,16,14,14,1,5,15
17,P-FTD,,1,1,4,5,6,3,3,3,5,6,6,8,8,7
18,Log StDev Counts,,,,,,,,,,,,,,,
19,Exp-LDD,11.0,13.0,13.0,16,16,18,22.0,19.0,19.0,16,13.0,13.0,6,7,8
20,Exp-VD,11.0,8.0,9.0,6,6,5,11.0,12.0,13.0,6,8.0,8.0,18,17,15
21,LDD,10.0,10.0,11.0,9,8,9,7.0,9.0,8.0,9,9.0,9.0,6,6,8
22,Orig,,,,1,1,1,,,,1,,,1,1,1
23,P-FTD,8.0,9.0,7.0,8,9,7,,,,8,10.0,10.0,9,9,8
