,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.8833,0.8569,0.8538,0.8783,0.8416,0.8386,0.883,0.8752,0.8858,0.9306,0.9157,0.9067,0.9518,0.9166,0.9249
1,Median,LDD,0.8396,0.819,0.826,0.8333,0.8092,0.8089,0.8454,0.8103,0.8148,0.8073,0.8223,0.8176,0.9665,0.9685,1.0108
2,Median,Exp-LDD,0.705,0.6862,0.687,0.6917,0.6743,0.6778,0.7059,0.6639,0.6683,0.6952,0.6814,0.6799,0.9341,0.9013,0.9179
3,Median,Exp-VD,0.7995,0.7828,0.7801,0.7932,0.8103,0.8103,0.8248,0.8017,0.7978,0.8151,0.8326,0.8301,0.9369,0.9022,0.9242
4,IQR,P-FTD,0.8587,0.8617,0.8423,0.889,0.8823,0.8711,0.8766,0.8741,0.8759,0.8835,0.8691,0.8672,0.5356,0.534,0.5609
5,IQR,LDD,0.75,0.695,0.6993,0.7221,0.6768,0.6806,0.7507,0.7096,0.7127,0.7913,0.7559,0.7596,0.7943,0.7663,0.8481
6,IQR,Exp-LDD,0.617,0.6044,0.6116,0.6192,0.6159,0.6147,0.6344,0.6395,0.6415,0.6026,0.6108,0.6075,0.3717,0.4011,0.3957
7,IQR,Exp-VD,0.7708,0.7461,0.7482,0.7664,0.7327,0.7334,0.7659,0.7426,0.744,0.7684,0.7368,0.7411,0.3501,0.357,0.379
8,Log Mean,P-FTD,0.9718,0.9621,0.9602,0.964,0.9645,0.953,0.9637,0.9586,0.9441,0.9693,0.9662,0.9587,0.9954,0.9928,0.9703
9,Log Mean,LDD,0.9366,0.9315,0.9158,0.938,0.9337,0.9154,0.9368,0.9295,0.9234,0.9373,0.9252,0.9147,0.9981,0.9977,0.9873
10,Log Mean,Exp-LDD,0.8934,0.8807,0.8364,0.8855,0.8777,0.8452,0.9066,0.8938,0.849,0.9023,0.8902,0.8526,0.9946,0.9919,0.9642
11,Log Mean,Exp-VD,0.9385,0.9404,0.9151,0.9299,0.9313,0.9184,0.9394,0.9358,0.9269,0.9514,0.9503,0.9231,0.9938,0.9891,0.961
12,Log StDev,P-FTD,0.8999,0.917,0.9088,0.895,0.905,0.9041,0.8985,0.9251,0.9218,0.9195,0.9199,0.9188,0.6564,0.6919,0.6729
13,Log StDev,LDD,0.8864,0.8848,0.8818,0.8878,0.8985,0.892,0.8714,0.8901,0.8906,0.8928,0.8954,0.8969,0.668,0.7078,0.7347
14,Log StDev,Exp-LDD,0.8054,0.8156,0.8168,0.8149,0.8437,0.8431,0.799,0.8137,0.8138,0.8065,0.8192,0.8198,0.5293,0.5351,0.5361
15,Log StDev,Exp-VD,0.8765,0.8931,0.8905,0.887,0.8967,0.893,0.878,0.8828,0.8815,0.876,0.8861,0.887,0.4718,0.4714,0.5121
