,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,216.0 **,211.0 **,226.0 *,227.0 *,200.0 **,227.0 *,205.0 **,193.0 **,216.0 **,232.0 *,242.0 *,251.0 *,79.0 **,90.0 **,126.0 **
1,Median,LDD,40.0 **,38.0 **,49.0 **,54.0 **,58.0 **,56.0 **,39.0 **,39.0 **,51.0 **,49.0 **,50.0 **,62.0 **,340.0,344.0,343.0
2,Median,Exp-LDD,0.0 **,2.0 **,3.0 **,0.0 **,6.0 **,6.0 **,0.0 **,4.0 **,5.0 **,8.0 **,10.0 **,9.0 **,170.0 **,162.0 **,260.0 *
3,Median,Exp-VD,52.0 **,58.0 **,77.0 **,68.0 **,66.0 **,96.0 **,61.0 **,63.0 **,87.0 **,76.0 **,103.0 **,118.0 **,81.0 **,75.0 **,170.0 **
4,IQR,P-FTD,252.0 *,227.0 *,219.0 **,243.0 *,240.0 *,218.0 **,226.0 *,232.0 *,217.0 **,252.0 *,268.0,231.0 *,71.0 **,55.0 **,41.0 **
5,IQR,LDD,110.0 **,116.0 **,117.0 **,129.0 **,81.0 **,83.0 **,98.0 **,89.0 **,96.0 **,87.0 **,107.0 **,117.0 **,266.0,267.0,347.0
6,IQR,Exp-LDD,28.0 **,37.0 **,25.0 **,3.0 **,3.0 **,3.0 **,17.0 **,12.0 **,14.0 **,17.0 **,18.0 **,21.0 **,34.0 **,43.0 **,54.0 **
7,IQR,Exp-VD,118.0 **,114.0 **,88.0 **,106.0 **,97.0 **,74.0 **,99.0 **,98.0 **,72.0 **,111.0 **,109.0 **,90.0 **,0.0 **,8.0 **,7.0 **
8,Log Mean,P-FTD,260.0 *,261.0 *,263.0 *,220.0 **,221.0 *,223.0 *,237.0 *,229.0 *,231.0 *,252.0 *,255.0 *,257.0 *,85.0 **,64.0 **,64.0 **
9,Log Mean,LDD,35.0 **,42.0 **,43.0 **,49.0 **,53.0 **,54.0 **,46.0 **,53.0 **,53.0 **,55.0 **,61.0 **,63.0 **,307.0,283.0,349.0
10,Log Mean,Exp-LDD,0.0 **,0.0 **,0.0 **,0.0 **,3.0 **,3.0 **,0.0 **,0.0 **,0.0 **,3.0 **,4.0 **,6.0 **,106.0 **,106.0 **,176.0 **
11,Log Mean,Exp-VD,61.0 **,62.0 **,63.0 **,59.0 **,60.0 **,60.0 **,49.0 **,56.0 **,54.0 **,61.0 **,70.0 **,71.0 **,4.0 **,3.0 **,52.0 **
12,Log StDev,P-FTD,158.0 **,172.0 **,169.0 **,172.0 **,178.0 **,177.0 **,174.0 **,192.0 **,191.0 **,172.0 **,182.0 **,182.0 **,34.0 **,17.0 **,1.0 **
13,Log StDev,LDD,76.0 **,85.0 **,79.0 **,103.0 **,115.0 **,112.0 **,94.0 **,102.0 **,98.0 **,80.0 **,84.0 **,79.0 **,128.0 **,88.0 **,63.0 **
14,Log StDev,Exp-LDD,38.0 **,42.0 **,40.0 **,40.0 **,45.0 **,44.0 **,51.0 **,54.0 **,53.0 **,36.0 **,39.0 **,37.0 **,9.0 **,1.0 **,0.0 **
15,Log StDev,Exp-VD,90.0 **,86.0 **,83.0 **,91.0 **,99.0 **,100.0 **,83.0 **,90.0 **,86.0 **,83.0 **,82.0 **,80.0 **,2.0 **,2.0 **,1.0 **
