,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.008263762760179816,0.006657873602307518,0.01251208440407936,0.01302583178403438,0.004052109774420387,0.01302583178403438,0.005096850996778812,0.0029080943877488608,0.008263762760179816,0.015876221947110025,0.023206125308206538,0.03207873742940137,1.278353011002764e-06,3.488779839244671e-06,5.845885789312888e-05
1,Median,LDD,1.5819750842638314e-08,1.2008968042209744e-08,5.06388460053131e-08,9.226823749486357e-08,1.4608849596697837e-07,1.1634983820840716e-07,1.3795215636491776e-08,1.3795215636491776e-08,6.460686563514173e-08,5.06388460053131e-08,5.723268259316683e-08,2.275137376273051e-07,0.35409228332900966,0.3826448613508546,0.3753805605592788
2,Median,Exp-LDD,1.8189894035458565e-12,5.4569682106375694e-12,9.094947017729282e-12,1.8189894035458565e-12,2.546585164964199e-11,2.546585164964199e-11,1.8189894035458565e-12,1.2732925824820995e-11,1.8189894035458565e-11,4.547473508864641e-11,7.821654435247183e-11,6.002665031701326e-11,0.0008912169196264585,0.0005698828390450217,0.043626361240967526
3,Median,Exp-VD,7.284143066499382e-08,1.4608849596697837e-07,1.055741449818015e-06,4.299272404750809e-07,3.489894879749045e-07,5.845156920258887e-06,2.0396328181959689e-07,2.535471139708534e-07,2.6737125153886154e-06,9.583873179508373e-07,1.040497409121599e-05,3.295479837106541e-05,1.5435380191775039e-06,8.693659765413031e-07,0.0008912169196264585
4,IQR,P-FTD,0.033219984823517734,0.01302583178403438,0.009381349105751724,0.02407598106947262,0.021546060141190537,0.00899504264089046,0.01251208440407936,0.015876221947110025,0.008622652698250022,0.033219984823517734,0.05658342447895848,0.015266838387105963,5.841629899805412e-07,1.03669663076289e-07,1.8109858501702547e-08
5,IQR,LDD,1.805902866180986e-05,2.8431650207494386e-05,3.061662209802307e-05,7.198017374321353e-05,1.5435380191775039e-06,1.8586324586067349e-06,6.9107463787076995e-06,3.194629243807867e-06,5.845156920258887e-06,2.6737125153886154e-06,1.430089287168812e-05,3.061662209802307e-05,0.05308265297571779,0.05481029127986403,0.40493773964954016
6,IQR,Exp-LDD,2.697561285458505e-09,1.0437361197546124e-08,1.6443664208054543e-09,9.094947017729282e-12,9.094947017729282e-12,9.094947017729282e-12,3.765308065339923e-10,1.2732925824820995e-10,2.000888343900442e-10,3.765308065339923e-10,4.602043190971017e-10,8.130882633849978e-10,6.775735528208315e-09,2.3623215383850038e-08,9.226823749486357e-08
7,IQR,Exp-VD,3.295479837106541e-05,2.4485168978571892e-05,2.9234961402835324e-06,1.3217835657997057e-05,6.357418897096068e-06,7.880189514253289e-07,7.508137059630826e-06,6.9107463787076995e-06,6.459667929448187e-07,1.9500828784657642e-05,1.6715837773517706e-05,3.488779839244671e-06,1.8189894035458565e-12,4.547473508864641e-11,3.456079866737127e-11
8,Log Mean,P-FTD,0.043626361240967526,0.0450981847334333,0.048164484947847086,0.009781997654499719,0.01019742315656913,0.011074391617512447,0.019245540157498908,0.0141080951798358,0.015266838387105963,0.033219984823517734,0.0368489142110775,0.03944668134499807,2.2321128199109808e-06,2.822944225044921e-07,2.822944225044921e-07
9,Log Mean,LDD,7.839844329282641e-09,2.0700099412351847e-08,2.3623215383850038e-08,5.06388460053131e-08,8.20273271529004e-08,9.226823749486357e-08,3.480272425804287e-08,8.20273271529004e-08,8.20273271529004e-08,1.03669663076289e-07,2.0396328181959689e-07,2.535471139708534e-07,0.17008811905543553,0.08920892782589362,0.42021225081225566
