,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,LDD,0.8698,0.8583,0.8563,0.9037,0.8867,0.8816,0.8766,0.8905,0.8889,0.8724,0.8879,0.8767,1.0065,1.0537,1.0711
1,Median,Exp-LDD,0.7436,0.764,0.7565,0.7617,0.7715,0.7723,0.7698,0.7662,0.7619,0.7461,0.7555,0.7501,0.992,0.9929,1.0053
2,Median,Exp-VD,0.8838,0.9249,0.9251,0.8852,0.8883,0.8875,0.8894,0.9154,0.9056,0.881,0.908,0.8969,0.9767,0.9775,0.9876
3,IQR,LDD,0.8888,0.9245,0.9245,0.9284,0.8555,0.8634,0.8676,0.8708,0.8696,0.8643,0.8434,0.8551,1.2272,1.297,1.5499
4,IQR,Exp-LDD,0.7302,0.7467,0.745,0.7239,0.7325,0.7329,0.691,0.6799,0.6829,0.7142,0.6982,0.6972,0.6776,0.6893,0.7998
5,IQR,Exp-VD,0.8862,0.8963,0.8932,0.8762,0.8766,0.8771,0.8652,0.8242,0.8169,0.8522,0.8213,0.8378,0.6916,0.7094,0.7871
6,Log Mean,LDD,0.9546,0.9532,0.9516,0.9605,0.9595,0.9522,0.961,0.9609,0.9547,0.9592,0.956,0.9512,1.0009,1.0035,1.0221
7,Log Mean,Exp-LDD,0.9055,0.9011,0.8768,0.8982,0.8939,0.8859,0.9069,0.9013,0.8932,0.8962,0.8912,0.8856,0.9987,0.999,1.0003
8,Log Mean,Exp-VD,0.9457,0.9447,0.9521,0.9472,0.9644,0.9584,0.9645,0.965,0.96,0.9463,0.9547,0.9569,0.9977,0.997,0.9928
9,Log StDev,LDD,0.9795,0.9811,0.9794,0.9749,0.978,0.9765,0.9567,0.9415,0.9398,0.9649,0.9746,0.9748,1.0544,1.0513,1.0303
10,Log StDev,Exp-LDD,0.8792,0.8901,0.8916,0.8864,0.8878,0.8893,0.8687,0.8792,0.8753,0.8762,0.8717,0.8703,0.8604,0.8755,0.8319
11,Log StDev,Exp-VD,1.0047,0.9974,0.9956,1.016,1.0021,0.9978,0.9743,0.9895,0.9889,0.9766,0.9704,0.9665,0.7424,0.8028,0.7908
