,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,159.0 **,166.0 **,113.0 **,153.0 **,155.0 **,126.0 **,142.0 **,188.0 **,137.0 **,142.0 **,162.0 **,150.0 **,337.0,241.0 *,164.0 **
2,Median,Exp-LDD,54.0 **,72.0 **,43.0 **,62.0 **,70.0 **,56.0 **,61.0 **,69.0 **,50.0 **,56.0 **,66.0 **,55.0 **,325.0,342.0,300.0
3,Median,Exp-VD,136.0 **,121.0 **,138.0 **,194.0 **,204.0 **,187.0 **,137.0 **,188.0 **,194.0 **,168.0 **,145.0 **,183.0 **,278.0,318.0,391.0
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,289.0,253.0 *,233.0 *,320.0,257.0 *,210.0 **,281.0,268.0,230.0 *,241.0 *,214.0 **,211.0 **,268.0,201.0 **,162.0 **
6,IQR,Exp-LDD,88.0 **,77.0 **,82.0 **,155.0 **,136.0 **,98.0 **,159.0 **,156.0 **,126.0 **,100.0 **,87.0 **,90.0 **,269.0,219.0 **,245.0 *
7,IQR,Exp-VD,304.0,310.0,239.0 *,311.0,309.0,250.0 *,301.0,268.0,245.0 *,288.0,244.0 *,197.0 **,68.0 **,67.0 **,127.0 **
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,90.0 **,83.0 **,81.0 **,110.0 **,106.0 **,105.0 **,99.0 **,92.0 **,93.0 **,95.0 **,93.0 **,93.0 **,245.0 *,194.0 **,196.0 **
10,Log Mean,Exp-LDD,8.0 **,10.0 **,10.0 **,30.0 **,34.0 **,33.0 **,20.0 **,23.0 **,22.0 **,24.0 **,31.0 **,30.0 **,304.0,320.0,405.0
11,Log Mean,Exp-VD,124.0 **,121.0 **,116.0 **,151.0 **,158.0 **,153.0 **,141.0 **,158.0 **,157.0 **,143.0 **,155.0 **,150.0 **,162.0 **,160.0 **,284.0
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,315.0,309.0,309.0,340.0,339.0,339.0,277.0,266.0,262.0 *,256.0 *,253.0 *,252.0 *,327.0,298.0,328.0
14,Log StDev,Exp-LDD,162.0 **,177.0 **,172.0 **,150.0 **,152.0 **,152.0 **,144.0 **,153.0 **,147.0 **,128.0 **,134.0 **,134.0 **,158.0 **,151.0 **,105.0 **
15,Log StDev,Exp-VD,357.0,338.0,339.0,364.0,351.0,356.0,296.0,285.0,284.0,279.0,268.0,269.0,78.0 **,91.0 **,87.0 **
