,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,0.0004794529413629789,0.000714401952791377,2.2706761228619143e-05,0.0003364373387739761,0.0003790976079471875,5.845885789312888e-05,0.00017029843002092093,0.0022767432674299926,0.00012320928908593487,0.00017029843002092093,0.0005698828390450217,0.00028057557574356906,0.33356623058170953,0.022363033434885438,0.0006384575062838849
2,Median,Exp-LDD,9.226823749486357e-08,6.459667929448187e-07,2.3623215383850038e-08,2.275137376273051e-07,5.278525350149721e-07,1.1634983820840716e-07,2.0396328181959689e-07,4.765788617078215e-07,5.723268259316683e-08,1.1634983820840716e-07,3.489894879749045e-07,1.03669663076289e-07,0.259140549798758,0.36820016943056544,0.1423485195809917
3,Median,Exp-VD,0.00011535796875250526,4.098819044884294e-05,0.0001315457593591418,0.003051583886190201,0.004870718326856149,0.0021662512626789976,0.00012320928908593487,0.0022767432674299926,0.003051583886190201,0.0007984068197401939,0.00020590441454260144,0.001770566779669025,0.0770006142774946,0.2213606056466233,0.8057269839482615
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,0.1058129653429205,0.03439493566293095,0.01650634321049438,0.23173732552095316,0.03944668134499807,0.006371744650095934,0.08415465162215696,0.05658342447895848,0.014677642795504653,0.022363033434885438,0.00758486291852023,0.006657873602307518,0.05658342447895848,0.004244452147759148,0.0005698828390450217
6,IQR,Exp-LDD,2.9234961402835324e-06,1.055741449818015e-06,1.6943467926466838e-06,0.0003790976079471875,0.00011535796875250526,6.9107463787076995e-06,0.0004794529413629789,0.0004022172452096129,5.845885789312888e-05,8.152759619406424e-06,2.6737125153886154e-06,3.488779839244671e-06,0.058402880749781616,0.009381349105751724,0.02589861064188881
7,IQR,Exp-VD,0.1577509693797765,0.18311741828802042,0.020754569575728965,0.18761708125202858,0.17869641572360706,0.03097046168477391,0.14608894804041483,0.05658342447895848,0.02589861064188881,0.10289067040321243,0.02497325502190506,0.00352048356035084,4.299272404750809e-07,3.8751750253140926e-07,6.268265497055836e-05
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,3.488779839244671e-06,1.8586324586067349e-06,1.5435380191775039e-06,1.805902866180986e-05,1.3217835657997057e-05,1.221069942403119e-05,7.508137059630826e-06,4.153314876020886e-06,4.5276301534613594e-06,5.371159204514697e-06,4.5276301534613594e-06,4.5276301534613594e-06,0.02589861064188881,0.003051583886190201,0.0033575435081729665
10,Log Mean,Exp-LDD,4.547473508864641e-11,7.821654435247183e-11,7.821654435247183e-11,3.701643436215818e-09,6.775735528208315e-09,5.844412953592837e-09,6.748450687155128e-10,1.1641532182693481e-09,9.74978320300579e-10,1.3860699255019426e-09,4.320099833421409e-09,3.701643436215818e-09,0.1577509693797765,0.23173732552095316,0.9523059934635967
11,Log Mean,Exp-VD,5.078317190054804e-05,4.098819044884294e-05,2.8431650207494386e-05,0.00029818139228154905,0.0004523318730207393,0.0003364373387739761,0.0001597403588675661,0.0004523318730207393,0.0004266080886736745,0.00018148900744563434,0.0003790976079471875,0.00028057557574356906,0.0005698828390450217,0.0005080382052256027,0.0918240616483672
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,0.20641296513713314,0.17869641572360706,0.17869641572360706,0.35409228332900966,0.34716529149409325,0.34716529149409325,0.07472652908654709,0.05308265297571779,0.046610625882749446,0.03812944412311481,0.03439493566293095,0.033219984823517734,0.27069234351074556,0.13508384089254832,0.2765956516359438
14,Log StDev,Exp-LDD,0.0005698828390450217,0.0012975311765330844,0.0009936344267771346,0.00028057557574356906,0.0003167852501064772,0.0003167852501064772,0.00019334589705977123,0.0003364373387739761,0.00023327588314714376,6.718428085150663e-05,0.00010100967301696073,0.00010100967301696073,0.0004523318730207393,0.00029818139228154905,1.221069942403119e-05
15,Log StDev,Exp-VD,0.48452077669571736,0.34032321635640983,0.34716529149409325,0.5448004511072213,0.4358124383925315,0.47620780297620513,0.12810258085846726,0.09449897358172166,0.0918240616483672,0.07932943338346377,0.05658342447895848,0.058402880749781616,1.1621450539678335e-06,3.8077105273259804e-06,2.6737125153886154e-06
