,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median Counts,,,,,,,,,,,,,,,
1,Exp-LDD,25.0,26.0,26.0,27.0,25,26,27.0,27.0,27.0,27.0,26,27,14,13,9
2,Exp-VD,6.0,5.0,5.0,4.0,4,3,6.0,4.0,4.0,2.0,2,2,15,11,14
3,LDD,6.0,7.0,7.0,6.0,7,7,4.0,6.0,6.0,8.0,7,6,5,6,4
4,Orig,,,,,1,1,,,,,1,1,1,2,3
5,P-FTD,3.0,2.0,2.0,3.0,3,3,3.0,3.0,3.0,3.0,4,4,5,8,10
6,IQR Counts,,,,,,,,,,,,,,,
7,Exp-LDD,23.0,24.0,22.0,20.0,21,23,23.0,22.0,21.0,21.0,20,20,12.0,15.0,15
8,Exp-VD,3.0,5.0,5.0,5.0,3,3,5.0,3.0,4.0,6.0,7,6,23.0,22.0,17
9,LDD,8.0,6.0,8.0,8.0,8,6,7.0,9.0,9.0,8.0,9,9,2.0,,2
10,Orig,1.0,1.0,1.0,1.0,1,1,,,,1.0,1,1,,,1
11,P-FTD,5.0,4.0,4.0,6.0,7,7,5.0,6.0,6.0,4.0,3,4,3.0,3.0,5
12,Log Mean Counts,,,,,,,,,,,,,,,
13,Exp-LDD,33.0,32.0,32.0,31.0,29.0,29.0,30.0,29.0,29.0,30.0,29,29,15.0,13.0,11
14,Exp-VD,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,19.0,20.0,13
15,LDD,4.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,4.0,6,5,3.0,3.0,5
16,Orig,,,,,,,,,,1.0,1,1,,,1
17,P-FTD,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2,3,3.0,4.0,10
18,Log StDev Counts,,,,,,,,,,,,,,,
19,Exp-LDD,19.0,21.0,21.0,19.0,19,20,21.0,21.0,21.0,21.0,21,21,13.0,14.0,15.0
20,Exp-VD,1.0,2.0,2.0,2.0,3,3,2.0,5.0,5.0,3.0,5,5,22.0,22.0,17.0
21,LDD,9.0,6.0,6.0,7.0,7,6,7.0,5.0,5.0,7.0,6,6,3.0,1.0,3.0
22,Orig,2.0,2.0,2.0,3.0,3,3,4.0,3.0,3.0,3.0,3,3,,,
23,P-FTD,9.0,9.0,9.0,9.0,8,8,6.0,6.0,6.0,6.0,5,5,2.0,3.0,5.0
