,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,1.0276,0.9999,1.0017,0.9758,0.9416,0.942,0.9686,0.951,0.9509,0.9569,0.9183,0.926,0.9627,0.9455,0.9915
1,Median,LDD,0.9506,0.9209,0.922,0.9502,0.9123,0.9147,0.9311,0.9286,0.9236,0.9295,0.9101,0.909,0.9565,0.9464,0.9891
2,Median,Exp-LDD,0.9646,0.9328,0.9321,0.9487,0.9151,0.9174,0.9715,0.9201,0.9172,0.9682,0.9286,0.9247,0.9658,0.9558,0.9995
3,Median,Exp-VD,0.961,0.9306,0.9288,0.9922,0.9619,0.9625,0.9521,0.9415,0.9464,0.9784,0.9519,0.9501,0.9634,0.9454,0.9756
4,IQR,P-FTD,0.7202,0.6929,0.7006,0.5571,0.5035,0.5093,0.7281,0.6783,0.6869,0.678,0.6538,0.6449,0.1244,0.1555,0.2768
5,IQR,LDD,0.5851,0.5203,0.5216,0.5559,0.4968,0.4932,0.5342,0.5146,0.5218,0.5409,0.5067,0.5029,0.1675,0.2332,0.3308
6,IQR,Exp-LDD,0.4543,0.3948,0.4002,0.4528,0.4218,0.4319,0.5215,0.4763,0.4697,0.4387,0.4138,0.4066,0.1601,0.2174,0.2999
7,IQR,Exp-VD,0.5545,0.5188,0.5229,0.5098,0.4991,0.5049,0.568,0.5765,0.5898,0.5472,0.5824,0.5741,0.1216,0.1798,0.244
8,Log Mean,P-FTD,0.991,0.9646,1.013,0.9677,0.9578,0.8942,0.9707,0.9499,0.9512,0.9786,0.9637,0.8959,0.9956,0.9913,0.9743
9,Log Mean,LDD,0.9886,0.9583,0.8235,0.9702,0.9345,0.8551,0.9761,0.9638,0.8666,0.9667,0.9673,0.8585,0.9944,0.9911,0.9736
10,Log Mean,Exp-LDD,0.9802,0.9305,0.8314,0.9775,0.9459,0.824,0.9775,0.9626,0.8827,0.9778,0.9555,0.8677,0.9951,0.9913,0.9777
11,Log Mean,Exp-VD,0.9834,0.9737,0.8762,0.976,0.9645,0.8878,0.9645,0.9574,0.93,0.9734,0.967,0.9316,0.9954,0.991,0.9706
12,Log StDev,P-FTD,0.8146,0.7908,0.7931,0.7226,0.7112,0.7139,0.8608,0.8523,0.8547,0.8049,0.7665,0.773,0.2116,0.2196,0.2886
13,Log StDev,LDD,0.7182,0.7162,0.7166,0.7176,0.7206,0.7196,0.7126,0.7047,0.7139,0.6758,0.6887,0.6875,0.2278,0.271,0.3447
14,Log StDev,Exp-LDD,0.6281,0.6403,0.643,0.6469,0.6511,0.6509,0.6866,0.6238,0.6204,0.642,0.6054,0.6019,0.251,0.2475,0.3087
15,Log StDev,Exp-VD,0.7274,0.7215,0.7196,0.7426,0.723,0.7233,0.7137,0.7156,0.7153,0.7199,0.7354,0.7343,0.2083,0.2388,0.3289
