,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,385.0,316.0,386.0,259.0 *,181.0 **,211.0 **,229.0 *,157.0 **,184.0 **,230.0 *,164.0 **,182.0 **,132.0 **,182.0 **,314.0
1,Median,LDD,250.0 *,146.0 **,122.0 **,121.0 **,88.0 **,96.0 **,152.0 **,83.0 **,81.0 **,137.0 **,81.0 **,89.0 **,109.0 **,127.0 **,305.0
2,Median,Exp-LDD,246.0 *,202.0 **,168.0 **,213.0 **,172.0 **,177.0 **,238.0 *,147.0 **,191.0 **,222.0 *,171.0 **,167.0 **,83.0 **,138.0 **,336.0
3,Median,Exp-VD,252.0 *,159.0 **,153.0 **,317.0,137.0 **,179.0 **,229.0 *,135.0 **,116.0 **,320.0,197.0 **,199.0 **,94.0 **,168.0 **,266.0
4,IQR,P-FTD,115.0 **,78.0 **,50.0 **,23.0 **,23.0 **,5.0 **,63.0 **,86.0 **,89.0 **,29.0 **,1.0 **,2.0 **,0.0 **,0.0 **,0.0 **
5,IQR,LDD,0.0 **,0.0 **,0.0 **,28.0 **,25.0 **,4.0 **,8.0 **,5.0 **,3.0 **,20.0 **,7.0 **,1.0 **,0.0 **,0.0 **,5.0 **
6,IQR,Exp-LDD,0.0 **,0.0 **,0.0 **,23.0 **,13.0 **,1.0 **,8.0 **,2.0 **,3.0 **,15.0 **,2.0 **,4.0 **,0.0 **,0.0 **,0.0 **
7,IQR,Exp-VD,52.0 **,28.0 **,10.0 **,68.0 **,102.0 **,22.0 **,51.0 **,13.0 **,4.0 **,79.0 **,67.0 **,5.0 **,0.0 **,0.0 **,0.0 **
8,Log Mean,P-FTD,287.0,398.0,397.0,183.0 **,109.0 **,112.0 **,249.0 *,179.0 **,178.0 **,204.0 **,141.0 **,140.0 **,9.0 **,13.0 **,114.0 **
9,Log Mean,LDD,94.0 **,36.0 **,37.0 **,67.0 **,29.0 **,29.0 **,70.0 **,27.0 **,26.0 **,66.0 **,35.0 **,36.0 **,30.0 **,19.0 **,97.0 **
10,Log Mean,Exp-LDD,107.0 **,64.0 **,65.0 **,83.0 **,42.0 **,46.0 **,128.0 **,72.0 **,76.0 **,87.0 **,52.0 **,54.0 **,48.0 **,30.0 **,102.0 **
11,Log Mean,Exp-VD,168.0 **,77.0 **,80.0 **,163.0 **,81.0 **,83.0 **,131.0 **,77.0 **,78.0 **,167.0 **,105.0 **,108.0 **,25.0 **,16.0 **,64.0 **
12,Log StDev,P-FTD,109.0 **,75.0 **,84.0 **,10.0 **,9.0 **,8.0 **,91.0 **,77.0 **,79.0 **,37.0 **,18.0 **,15.0 **,0.0 **,0.0 **,0.0 **
13,Log StDev,LDD,15.0 **,10.0 **,11.0 **,29.0 **,24.0 **,24.0 **,6.0 **,0.0 **,0.0 **,26.0 **,18.0 **,18.0 **,0.0 **,0.0 **,1.0 **
14,Log StDev,Exp-LDD,12.0 **,7.0 **,7.0 **,1.0 **,0.0 **,0.0 **,0.0 **,0.0 **,0.0 **,1.0 **,1.0 **,1.0 **,0.0 **,0.0 **,0.0 **
15,Log StDev,Exp-VD,28.0 **,22.0 **,22.0 **,23.0 **,20.0 **,20.0 **,12.0 **,6.0 **,5.0 **,13.0 **,3.0 **,3.0 **,0.0 **,0.0 **,0.0 **
