,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.7446043581785489,0.21131373006210197,0.7546940826050559,0.04219436091807438,0.0015980837451934349,0.006657873602307518,0.0141080951798358,0.0004266080886736745,0.001862897997852997,0.014677642795504653,0.0006384575062838849,0.0016823487039800966,8.831049490254372e-05,0.0016823487039800966,0.20159339489509875
1,Median,LDD,0.03097046168477391,0.00021920151448284741,4.404162064020056e-05,4.098819044884294e-05,2.9234961402835324e-06,5.845156920258887e-06,0.0003167852501064772,1.8586324586067349e-06,1.5435380191775039e-06,0.00012320928908593487,1.5435380191775039e-06,3.194629243807867e-06,1.6715837773517706e-05,6.268265497055836e-05,0.1617874718067469
2,Median,Exp-LDD,0.02685272056623944,0.004444812017027289,0.0007984068197401939,0.007264065483468585,0.0009936344267771346,0.0012975311765330844,0.01998793531311094,0.00023327588314714376,0.002638970910993521,0.010628069954691455,0.0009411722930963151,0.0007553515715699177,1.8586324586067349e-06,0.0001315457593591418,0.32689447529082827
3,Median,Exp-VD,0.033219984823517734,0.0004794529413629789,0.0003364373387739761,0.2162961354260915,0.00012320928908593487,0.001440798383555375,0.0141080951798358,0.0001079662160918815,2.8431650207494386e-05,0.23173732552095316,0.00352048356035084,0.003867510851705447,4.9328082241117954e-06,0.0007984068197401939,0.05308265297571779
4,IQR,P-FTD,2.639073136379011e-05,1.1621450539678335e-06,5.723268259316683e-08,1.1641532182693481e-09,1.1641532182693481e-09,1.8189894035458565e-11,2.535471139708534e-07,2.4437304091406986e-06,3.194629243807867e-06,3.1632225727662444e-09,3.637978807091713e-12,5.4569682106375694e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
5,IQR,LDD,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,2.697561285458505e-09,1.6443664208054543e-09,1.2732925824820995e-11,4.547473508864641e-11,1.8189894035458565e-11,9.094947017729282e-12,6.748450687155128e-10,3.456079866737127e-11,3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-11
6,IQR,Exp-LDD,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.1641532182693481e-09,1.6007106751203537e-10,3.637978807091713e-12,4.547473508864641e-11,5.4569682106375694e-12,9.094947017729282e-12,2.4920154828578234e-10,5.4569682106375694e-12,1.2732925824820995e-11,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
7,IQR,Exp-VD,7.284143066499382e-08,2.697561285458505e-09,7.821654435247183e-11,4.299272404750809e-07,9.59746103035286e-06,9.74978320300579e-10,6.460686563514173e-08,1.6007106751203537e-10,1.2732925824820995e-11,1.278353011002764e-06,3.8751750253140926e-07,1.8189894035458565e-11,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
8,Log Mean,P-FTD,0.1000314528009767,0.8785070700851065,0.8680334030395898,0.001770566779669025,1.6715837773517706e-05,2.104776467604097e-05,0.029894433579102042,0.001440798383555375,0.0013674832061951747,0.004870718326856149,0.0001597403588675661,0.00014978252875152975,6.002665031701326e-11,1.6007106751203537e-10,2.4485168978571892e-05
9,Log Mean,LDD,4.9328082241117954e-06,9.054929250851274e-09,1.0437361197546124e-08,3.8751750253140926e-07,3.1632225727662444e-09,3.1632225727662444e-09,5.278525350149721e-07,2.293745637871325e-09,1.9444996723905206e-09,3.489894879749045e-07,7.839844329282641e-09,9.054929250851274e-09,3.701643436215818e-09,5.584297468885779e-10,6.357418897096068e-06
10,Log Mean,Exp-LDD,1.430089287168812e-05,2.822944225044921e-07,3.1401395972352475e-07,1.8586324586067349e-06,2.0700099412351847e-08,3.480272425804287e-08,6.718428085150663e-05,6.459667929448187e-07,9.583873179508373e-07,2.6737125153886154e-06,7.284143066499382e-08,9.226823749486357e-08,4.474713932722807e-08,3.701643436215818e-09,9.59746103035286e-06
11,Log Mean,Exp-VD,0.0007984068197401939,1.055741449818015e-06,1.4051875041332096e-06,0.0006032901037542615,1.5435380191775039e-06,1.8586324586067349e-06,8.252464976976626e-05,1.055741449818015e-06,1.1621450539678335e-06,0.0007553515715699177,1.221069942403119e-05,1.546506791783031e-05,1.6443664208054543e-09,3.0740920919924974e-10,2.822944225044921e-07
12,Log StDev,P-FTD,1.6715837773517706e-05,8.693659765413031e-07,2.0374991436256096e-06,7.821654435247183e-11,6.002665031701326e-11,4.547473508864641e-11,3.8077105273259804e-06,1.055741449818015e-06,1.278353011002764e-06,1.0437361197546124e-08,4.602043190971017e-10,2.4920154828578234e-10,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
13,Log StDev,LDD,2.4920154828578234e-10,7.821654435247183e-11,1.000444171950221e-10,3.1632225727662444e-09,1.3860699255019426e-09,1.3860699255019426e-09,2.546585164964199e-11,1.8189894035458565e-12,1.8189894035458565e-12,1.9444996723905206e-09,4.602043190971017e-10,4.602043190971017e-10,1.8189894035458565e-12,1.8189894035458565e-12,3.637978807091713e-12
14,Log StDev,Exp-LDD,1.2732925824820995e-10,3.456079866737127e-11,3.456079866737127e-11,3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
15,Log StDev,Exp-VD,2.697561285458505e-09,9.74978320300579e-10,9.74978320300579e-10,1.1641532182693481e-09,6.748450687155128e-10,6.748450687155128e-10,1.2732925824820995e-10,2.546585164964199e-11,1.8189894035458565e-11,1.6007106751203537e-10,9.094947017729282e-12,9.094947017729282e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
