,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,LDD,0.9211,0.9017,0.9066,0.9847,0.9839,0.983,0.9503,0.9619,0.9616,0.9841,0.9783,0.9782,0.9985,0.9952,1.0077
1,Median,Exp-LDD,0.9369,0.8859,0.8969,1.0027,0.9902,0.9872,0.9971,1.0126,1.0139,0.9939,0.9921,0.9918,0.9945,1.0021,1.0074
2,Median,Exp-VD,0.9357,0.9116,0.9145,0.9949,0.98,0.9806,0.998,0.9845,0.9852,1.0119,1.0277,1.0296,0.9975,1.0028,1.0055
3,IQR,LDD,0.7776,0.7672,0.7595,0.8917,0.9744,0.9659,0.835,0.7617,0.7933,0.8913,0.8843,0.868,1.0706,1.1713,1.0852
4,IQR,Exp-LDD,0.608,0.5958,0.604,0.8508,0.848,0.8397,0.6552,0.669,0.6817,0.7361,0.7425,0.7377,1.1178,1.1733,1.0087
5,IQR,Exp-VD,0.7656,0.7579,0.7702,0.9095,0.9112,0.8989,0.8122,0.8437,0.8609,0.9489,0.9329,0.922,0.9433,0.9737,0.9055
6,Log Mean,LDD,0.9579,0.9836,0.8423,0.9904,0.9939,0.9511,0.9874,0.9651,0.9251,0.9824,0.9851,0.9627,1.0,0.9998,1.0027
7,Log Mean,Exp-LDD,0.9868,0.9864,0.7986,0.9983,1.0015,0.9481,1.0024,0.9975,0.9542,0.9913,0.9962,0.9796,0.9999,1.0004,1.0013
8,Log Mean,Exp-VD,0.9939,1.0013,0.8548,1.0008,0.9931,0.9786,0.996,0.998,0.9523,0.9985,1.0174,1.0068,0.9997,1.0,0.9993
9,Log StDev,LDD,0.9119,0.8831,0.8899,1.013,1.0163,1.0075,0.8658,0.8653,0.8662,0.8856,0.8881,0.8845,1.0581,1.1362,1.0791
10,Log StDev,Exp-LDD,0.797,0.8054,0.8032,0.8857,0.9177,0.9039,0.7631,0.7548,0.7551,0.8039,0.832,0.8459,1.1436,1.0864,0.9282
11,Log StDev,Exp-VD,0.8996,0.8915,0.8906,1.0127,1.0263,1.015,0.8357,0.8238,0.8261,0.9349,0.9733,0.9737,0.9721,0.987,1.0004
