,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,265.0,293.0,135.0 **,402.0,321.0,287.0,344.0,291.0,201.0 **,228.0 *,300.0,250.0 *,336.0,365.0,348.0
2,Median,Exp-LDD,293.0,259.0 *,147.0 **,333.0,410.0,349.0,384.0,389.0,407.0,404.0,409.0,351.0,383.0,344.0,294.0
3,Median,Exp-VD,231.0 *,330.0,146.0 **,369.0,384.0,311.0,408.0,408.0,338.0,320.0,310.0,351.0,400.0,333.0,407.0
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,233.0 *,232.0 *,160.0 **,410.0,406.0,359.0,213.0 **,223.0 *,139.0 **,335.0,325.0,229.0 *,347.0,259.0 *,285.0
6,IQR,Exp-LDD,133.0 **,35.0 **,36.0 **,209.0 **,190.0 **,193.0 **,102.0 **,44.0 **,81.0 **,180.0 **,113.0 **,138.0 **,276.0,222.0 *,359.0
7,IQR,Exp-VD,237.0 *,166.0 **,143.0 **,387.0,366.0,396.0,232.0 *,273.0,203.0 **,389.0,405.0,344.0,372.0,391.0,351.0
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,119.0 **,110.0 **,111.0 **,313.0,300.0,305.0,174.0 **,157.0 **,160.0 **,214.0 **,224.0 *,219.0 **,402.0,384.0,346.0
10,Log Mean,Exp-LDD,126.0 **,91.0 **,93.0 **,295.0,273.0,278.0,278.0,254.0 *,266.0,295.0,276.0,276.0,370.0,292.0,303.0
11,Log Mean,Exp-VD,141.0 **,132.0 **,134.0 **,378.0,385.0,390.0,281.0,282.0,288.0,393.0,404.0,406.0,377.0,369.0,406.0
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,213.0 **,187.0 **,189.0 **,350.0,345.0,353.0,95.0 **,83.0 **,83.0 **,230.0 *,247.0 *,244.0 *,353.0,317.0,305.0
14,Log StDev,Exp-LDD,73.0 **,59.0 **,58.0 **,136.0 **,138.0 **,135.0 **,20.0 **,22.0 **,22.0 **,71.0 **,84.0 **,82.0 **,209.0 **,258.0 *,391.0
15,Log StDev,Exp-VD,200.0 **,183.0 **,185.0 **,363.0,355.0,357.0,100.0 **,103.0 **,99.0 **,237.0 *,263.0 *,257.0 *,408.0,361.0,409.0
