,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,0.051399685278738616,0.11814906760264421,0.0001079662160918815,0.9205922683031531,0.23705031063764181,0.1000314528009767,0.3826448613508546,0.11185002994352544,0.004244452147759148,0.01355766506276268,0.1423485195809917,0.03097046168477391,0.32689447529082827,0.5536995567435952,0.4125340336249792
2,Median,Exp-LDD,0.11814906760264421,0.04219436091807438,0.00023327588314714376,0.3073915451623179,1.0,0.42021225081225566,0.7345573100628826,0.7852034492480016,0.9734926504152099,0.9417240968323313,0.9946976143110078,0.4358124383925315,0.7245544941888511,0.3826448613508546,0.12139880184622598
3,Median,Exp-VD,0.015266838387105963,0.28865784978552256,0.00021920151448284741,0.589975534387122,0.7345573100628826,0.18761708125202858,0.9840937587196095,0.9840937587196095,0.34032321635640983,0.23173732552095316,0.18311741828802042,0.4358124383925315,0.8995151304461615,0.3073915451623179,0.9734926504152099
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,0.01650634321049438,0.015876221947110025,0.0005080382052256027,1.0,0.9628961195248849,0.5013747400735156,0.007264065483468585,0.011074391617512447,0.00014039414600119926,0.32030806105103693,0.259140549798758,0.0141080951798358,0.40493773964954016,0.04219436091807438,0.09449897358172166
6,IQR,Exp-LDD,9.446514923183713e-05,7.839844329282641e-09,9.054929250851274e-09,0.006096451763369259,0.0025129065124929184,0.0029080943877488608,9.59746103035286e-06,2.6917405193671584e-08,1.5435380191775039e-06,0.001517616927230847,2.2706761228619143e-05,0.0001315457593591418,0.07250633211879176,0.010628069954691455,0.5013747400735156
7,IQR,Exp-VD,0.019245540157498908,0.000714401952791377,0.00018148900744563434,0.7648249070225575,0.5626676823321759,0.8575823361643415,0.015876221947110025,0.06616061626664305,0.004653470972698415,0.7852034492480016,0.9523059934635967,0.3826448613508546,0.617864971896779,0.8057269839482615,0.4358124383925315
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,3.545586332620587e-05,1.805902866180986e-05,1.9500828784657642e-05,0.19685455255421402,0.1423485195809917,0.1617874718067469,0.0011065220933232922,0.0004266080886736745,0.0005080382052256027,0.00758486291852023,0.011536851214259514,0.009381349105751724,0.9205922683031531,0.7345573100628826,0.3974238318751304
10,Log Mean,Exp-LDD,5.845885789312888e-05,3.8077105273259804e-06,4.5276301534613594e-06,0.12471638389069994,0.06616061626664305,0.0770006142774946,0.0770006142774946,0.03560432962331106,0.05308265297571779,0.12471638389069994,0.07250633211879176,0.07250633211879176,0.599208943085614,0.1149664051754371,0.1537894909415627
11,Log Mean,Exp-VD,0.0001597403588675661,8.831049490254372e-05,0.00010100967301696073,0.6752568088832049,0.7446043581785489,0.7954479165618977,0.08415465162215696,0.08665273707811139,0.10289067040321243,0.826382224491681,0.9417240968323313,0.9628961195248849,0.6655508074145473,0.589975534387122,0.9628961195248849
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,0.007264065483468585,0.0021662512626789976,0.002392230499026482,0.42797189528209856,0.3899927400161687,0.45173393898585346,5.371159204514697e-06,1.8586324586067349e-06,1.8586324586067349e-06,0.014677642795504653,0.027836266126541886,0.02497325502190506,0.45173393898585346,0.2162961354260915,0.1617874718067469
14,Log StDev,Exp-LDD,7.137441571103409e-07,1.634398358874023e-07,1.4608849596697837e-07,0.00011535796875250526,0.0001315457593591418,0.0001079662160918815,6.748450687155128e-10,9.74978320300579e-10,9.74978320300579e-10,5.841629899805412e-07,2.0374991436256096e-06,1.6943467926466838e-06,0.006096451763369259,0.04080139504367253,0.8057269839482615
15,Log StDev,Exp-VD,0.004052109774420387,0.001770566779669025,0.0019595077046687948,0.5359713830403052,0.4679718594561564,0.48452077669571736,8.152759619406424e-06,1.040497409121599e-05,7.508137059630826e-06,0.019245540157498908,0.048164484947847086,0.03944668134499807,0.9840937587196095,0.5185272742000961,0.9946976143110078
