,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median Counts,,,,,,,,,,,,,,,
1,Exp-LDD,9,12,12,5,6,5,8,9,9,7,11,11,11,6,1
2,Exp-VD,9,5,5,8,10,10,7,8,8,3,1,1,8,10,7
3,LDD,9,13,12,10,14,12,14,12,12,15,13,13,14,14,8
4,Orig,8,6,7,4,1,3,4,3,3,8,6,5,3,3,14
5,P-FTD,5,4,4,13,9,10,7,8,8,7,9,10,4,7,10
6,IQR Counts,,,,,,,,,,,,,,,
7,Exp-LDD,26.0,27.0,27.0,20,15,15,20.0,23,22.0,18,27.0,25.0,7.0,5.0,8.0
8,Exp-VD,6.0,4.0,4.0,8,7,7,8.0,4,6.0,7,4.0,5.0,13.0,13.0,13.0
9,LDD,6.0,7.0,8.0,6,12,12,9.0,10,9.0,8,6.0,7.0,8.0,8.0,8.0
10,Orig,,,,1,1,1,,1,,1,,,,,
11,P-FTD,2.0,2.0,1.0,5,5,5,3.0,2,3.0,6,3.0,3.0,12.0,14.0,11.0
12,Log Mean Counts,,,,,,,,,,,,,,,
13,Exp-LDD,13,18,18,7,10,10,9,14,14,12.0,11,11,8.0,6.0,7
14,Exp-VD,7,5,5,10,10,10,8,6,6,,1,1,12.0,11.0,10
15,LDD,9,8,8,9,10,10,13,13,13,16.0,15,15,12.0,14.0,5
16,Orig,4,4,4,1,1,1,3,1,1,3.0,2,2,,,6
17,P-FTD,7,5,5,13,9,9,7,6,6,9.0,11,11,8.0,9.0,12
18,Log StDev Counts,,,,,,,,,,,,,,,
19,Exp-LDD,24,24.0,24,23.0,23.0,23.0,20.0,22.0,22.0,18.0,17.0,17.0,4.0,5.0,13.0
20,Exp-VD,5,5.0,6,6.0,4.0,4.0,11.0,9.0,9.0,7.0,10.0,10.0,14.0,13.0,12.0
21,LDD,5,9.0,7,4.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,13.0,10.0,7.0
22,Orig,1,,1,,,,,,,,,,,,
23,P-FTD,5,2.0,2,7.0,6.0,6.0,2.0,2.0,2.0,5.0,3.0,3.0,9.0,12.0,8.0
