,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.9721,0.9914,1.0067,1.0374,1.0421,1.0406,0.9947,1.013,1.0134,1.0323,1.0393,1.0412,0.9578,0.9554,0.9655
1,Median,LDD,0.9255,0.924,0.923,0.9327,0.9361,0.9324,0.9173,0.9412,0.9336,0.9177,0.916,0.9124,0.9754,0.9743,0.9966
2,Median,Exp-LDD,0.8371,0.8266,0.825,0.8452,0.8273,0.8416,0.8516,0.8608,0.8613,0.8685,0.8363,0.8356,0.9506,0.9573,0.9716
3,Median,Exp-VD,0.9406,0.9187,0.9152,0.9465,0.9448,0.9377,0.9298,0.9405,0.9366,0.9548,0.9345,0.9375,0.9631,0.9605,0.9783
4,IQR,P-FTD,0.9443,0.9973,0.9897,0.9874,0.9654,0.9663,1.007,0.9907,0.9871,0.9871,0.9726,0.9731,0.4979,0.4368,0.5533
5,IQR,LDD,0.8633,0.824,0.8265,0.8584,0.8317,0.8346,0.8873,0.8612,0.851,0.8618,0.8499,0.8443,0.5702,0.5826,0.7051
6,IQR,Exp-LDD,0.7326,0.7301,0.7381,0.7045,0.7209,0.7144,0.7215,0.7444,0.7335,0.7279,0.7383,0.7431,0.3714,0.3936,0.4483
7,IQR,Exp-VD,0.8819,0.8239,0.8193,0.8242,0.8339,0.8361,0.905,0.8609,0.8496,0.8884,0.8628,0.8635,0.361,0.3587,0.4137
8,Log Mean,P-FTD,1.0073,1.0001,1.0003,1.0013,1.0023,1.0015,1.0039,1.0077,1.012,1.0041,1.0065,1.0124,0.9964,0.9947,0.9787
9,Log Mean,LDD,0.971,0.9728,0.9521,0.9759,0.9732,0.9532,0.9665,0.9653,0.9471,0.9719,0.9728,0.9532,0.998,0.9975,0.9845
10,Log Mean,Exp-LDD,0.9423,0.9487,0.9306,0.9469,0.9496,0.9274,0.9557,0.9539,0.9338,0.9535,0.9473,0.9276,0.9962,0.9948,0.9851
11,Log Mean,Exp-VD,0.9823,0.981,0.9751,0.9846,0.9815,0.9687,0.9852,0.9809,0.9702,0.9865,0.9839,0.9619,0.9957,0.9942,0.9749
12,Log StDev,P-FTD,0.9493,0.9531,0.9517,0.9777,0.9815,0.9767,0.9766,0.9861,0.9815,0.9649,0.9548,0.9522,0.6315,0.6031,0.6064
13,Log StDev,LDD,0.9158,0.9319,0.9254,0.9097,0.9135,0.9125,0.9307,0.9303,0.9301,0.92,0.9172,0.9194,0.6281,0.6025,0.6387
14,Log StDev,Exp-LDD,0.8796,0.8638,0.8641,0.8781,0.8628,0.8628,0.8611,0.8701,0.869,0.8694,0.8779,0.8738,0.4853,0.4392,0.4751
15,Log StDev,Exp-VD,0.9232,0.9236,0.9238,0.9435,0.9309,0.9288,0.9401,0.9439,0.9455,0.9433,0.9465,0.9481,0.4312,0.4032,0.4581
