,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,357.0,380.0,375.0,395.0,376.0,338.0,345.0,387.0,349.0,379.0,334.0,330.0,162.0 **,147.0 **,203.0 **
1,Median,LDD,234.0 *,263.0 *,228.0 *,218.0 **,207.0 **,217.0 **,180.0 **,219.0 **,239.0 *,239.0 *,262.0 *,222.0 *,250.0 *,295.0,345.0
2,Median,Exp-LDD,80.0 **,88.0 **,79.0 **,93.0 **,125.0 **,107.0 **,65.0 **,98.0 **,88.0 **,103.0 **,117.0 **,89.0 **,244.0 *,224.0 *,401.0
3,Median,Exp-VD,212.0 **,229.0 *,278.0,256.0 *,242.0 *,276.0,271.0,287.0,296.0,268.0,304.0,302.0,134.0 **,229.0 *,368.0
4,IQR,P-FTD,387.0,403.0,397.0,346.0,318.0,380.0,405.0,361.0,394.0,401.0,364.0,405.0,18.0 **,43.0 **,16.0 **
5,IQR,LDD,177.0 **,162.0 **,145.0 **,187.0 **,200.0 **,193.0 **,213.0 **,179.0 **,157.0 **,205.0 **,177.0 **,159.0 **,107.0 **,80.0 **,165.0 **
6,IQR,Exp-LDD,34.0 **,29.0 **,28.0 **,33.0 **,56.0 **,33.0 **,55.0 **,53.0 **,23.0 **,52.0 **,55.0 **,33.0 **,38.0 **,36.0 **,49.0 **
7,IQR,Exp-VD,234.0 *,175.0 **,214.0 **,223.0 *,249.0 *,232.0 *,300.0,246.0 *,243.0 *,252.0 *,247.0 *,249.0 *,0.0 **,0.0 **,9.0 **
8,Log Mean,P-FTD,311.0,336.0,333.0,355.0,369.0,358.0,327.0,345.0,338.0,320.0,320.0,317.0,105.0 **,86.0 **,112.0 **
9,Log Mean,LDD,165.0 **,162.0 **,166.0 **,167.0 **,167.0 **,171.0 **,176.0 **,173.0 **,176.0 **,185.0 **,182.0 **,180.0 **,260.0 *,225.0 *,292.0
10,Log Mean,Exp-LDD,56.0 **,60.0 **,58.0 **,46.0 **,51.0 **,52.0 **,48.0 **,54.0 **,55.0 **,59.0 **,68.0 **,68.0 **,173.0 **,184.0 **,281.0
11,Log Mean,Exp-VD,244.0 *,254.0 *,251.0 *,259.0 *,263.0 *,260.0 *,251.0 *,253.0 *,253.0 *,262.0 *,271.0,267.0,71.0 **,82.0 **,190.0 **
12,Log StDev,P-FTD,246.0 *,248.0 *,243.0 *,302.0,308.0,299.0,308.0,326.0,321.0,326.0,329.0,323.0,16.0 **,9.0 **,0.0 **
13,Log StDev,LDD,175.0 **,189.0 **,187.0 **,174.0 **,180.0 **,173.0 **,195.0 **,198.0 **,191.0 **,190.0 **,181.0 **,178.0 **,67.0 **,52.0 **,21.0 **
14,Log StDev,Exp-LDD,46.0 **,45.0 **,45.0 **,51.0 **,45.0 **,45.0 **,48.0 **,46.0 **,43.0 **,61.0 **,59.0 **,56.0 **,20.0 **,11.0 **,3.0 **
15,Log StDev,Exp-VD,190.0 **,178.0 **,177.0 **,197.0 **,173.0 **,173.0 **,200.0 **,202.0 **,201.0 **,215.0 **,185.0 **,182.0 **,0.0 **,0.0 **,0.0 **
