,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.48452077669571736,0.6948266715426143,0.6463036218483467,0.8471556244439853,0.6558992899281293,0.34032321635640983,0.3899927400161687,0.7648249070225575,0.42021225081225566,0.6850159026034817,0.3138070678778604,0.28865784978552256,0.0005698828390450217,0.00023327588314714376,0.004653470972698415
1,Median,LDD,0.017157761747512268,0.048164484947847086,0.01355766506276268,0.00899504264089046,0.005576999594268273,0.008622652698250022,0.001517616927230847,0.009381349105751724,0.020754569575728965,0.020754569575728965,0.046610625882749446,0.010628069954691455,0.03097046168477391,0.12471638389069994,0.3899927400161687
2,Median,Exp-LDD,1.4051875041332096e-06,2.9234961402835324e-06,1.278353011002764e-06,4.5276301534613594e-06,5.449729542306159e-05,1.430089287168812e-05,3.1401395972352475e-07,6.9107463787076995e-06,2.9234961402835324e-06,1.040497409121599e-05,3.061662209802307e-05,3.194629243807867e-06,0.02497325502190506,0.011536851214259514,0.9100459608780511
3,Median,Exp-VD,0.006955192886380246,0.0141080951798358,0.0770006142774946,0.03812944412311481,0.023206125308206538,0.07250633211879176,0.062184092836105265,0.1000314528009767,0.12810258085846726,0.05658342447895848,0.1577509693797765,0.14990237551683094,0.00010100967301696073,0.0141080951798358,0.5808067661073437
4,IQR,P-FTD,0.7648249070225575,0.9311522501084255,0.8680334030395898,0.3974238318751304,0.2213606056466233,0.6948266715426143,0.9523059934635967,0.5185272742000961,0.8367550107286661,0.9100459608780511,0.5448004511072213,0.9523059934635967,4.602043190971017e-10,2.3623215383850038e-08,3.0740920919924974e-10
5,IQR,LDD,0.0012975311765330844,0.0005698828390450217,0.00020590441454260144,0.0021662512626789976,0.004052109774420387,0.0029080943877488608,0.007264065483468585,0.001440798383555375,0.0004266080886736745,0.005096850996778812,0.0012975311765330844,0.0004794529413629789,1.430089287168812e-05,1.4051875041332096e-06,0.0006754665791959269
6,IQR,Exp-LDD,6.775735528208315e-09,3.1632225727662444e-09,2.697561285458505e-09,5.844412953592837e-09,1.1634983820840716e-07,5.844412953592837e-09,1.03669663076289e-07,8.20273271529004e-08,1.1641532182693481e-09,7.284143066499382e-08,1.03669663076289e-07,5.844412953592837e-09,1.2008968042209744e-08,9.054929250851274e-09,5.06388460053131e-08
7,IQR,Exp-VD,0.017157761747512268,0.0011671793090499705,0.00758486291852023,0.011074391617512447,0.029894433579102042,0.015876221947110025,0.1423485195809917,0.02685272056623944,0.02407598106947262,0.033219984823517734,0.027836266126541886,0.029894433579102042,1.8189894035458565e-12,1.8189894035458565e-12,6.002665031701326e-11
8,Log Mean,P-FTD,0.18761708125202858,0.32689447529082827,0.3073915451623179,0.4679718594561564,0.589975534387122,0.49291002014433616,0.27069234351074556,0.3899927400161687,0.34032321635640983,0.23173732552095316,0.23173732552095316,0.2162961354260915,1.221069942403119e-05,2.4437304091406986e-06,2.104776467604097e-05
9,Log Mean,LDD,0.0006754665791959269,0.0005698828390450217,0.000714401952791377,0.0007553515715699177,0.0007553515715699177,0.0009411722930963151,0.0012308068326092325,0.0010487130839464953,0.0012308068326092325,0.0019595077046687948,0.0016823487039800966,0.001517616927230847,0.043626361240967526,0.012015921452984912,0.1149664051754371
10,Log Mean,Exp-LDD,1.1634983820840716e-07,1.8267201085109264e-07,1.4608849596697837e-07,3.480272425804287e-08,6.460686563514173e-08,7.284143066499382e-08,4.474713932722807e-08,9.226823749486357e-08,1.03669663076289e-07,1.634398358874023e-07,4.299272404750809e-07,4.299272404750809e-07,0.0010487130839464953,0.001862897997852997,0.08415465162215696
11,Log Mean,Exp-VD,0.02497325502190506,0.03560432962331106,0.03207873742940137,0.04219436091807438,0.048164484947847086,0.043626361240967526,0.03207873742940137,0.03439493566293095,0.03439493566293095,0.046610625882749446,0.062184092836105265,0.05481029127986403,5.841629899805412e-07,1.6943467926466838e-06,0.0025129065124929184
12,Log StDev,P-FTD,0.02685272056623944,0.02884993747647968,0.02407598106947262,0.14990237551683094,0.17435350978121278,0.13868038851069286,0.17435350978121278,0.26487403590545,0.23705031063764181,0.26487403590545,0.2825841121848498,0.24792719178185507,3.0740920919924974e-10,6.002665031701326e-11,1.8189894035458565e-12
13,Log StDev,LDD,0.0011671793090499705,0.002392230499026482,0.0021662512626789976,0.0011065220933232922,0.001517616927230847,0.0010487130839464953,0.0032013230738812126,0.003690388592076488,0.002638970910993521,0.0025129065124929184,0.0015980837451934349,0.0013674832061951747,3.8751750253140926e-07,7.284143066499382e-08,8.130882633849978e-10
14,Log StDev,Exp-LDD,3.480272425804287e-08,3.062996256630868e-08,3.062996256630868e-08,6.460686563514173e-08,3.062996256630868e-08,3.062996256630868e-08,4.474713932722807e-08,3.480272425804287e-08,2.3623215383850038e-08,2.0396328181959689e-07,1.634398358874023e-07,1.1634983820840716e-07,6.748450687155128e-10,1.000444171950221e-10,9.094947017729282e-12
15,Log StDev,Exp-VD,0.0025129065124929184,0.0013674832061951747,0.0012975311765330844,0.00352048356035084,0.0010487130839464953,0.0010487130839464953,0.004052109774420387,0.004444812017027289,0.004244452147759148,0.007917965558590367,0.0019595077046687948,0.0016823487039800966,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
