,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,LDD,0.9046,0.8932,0.8935,0.9129,0.9282,0.9206,0.9033,0.9147,0.9212,0.9138,0.9174,0.9157,1.001,1.0108,1.0557
1,Median,Exp-LDD,0.8362,0.8135,0.8134,0.8031,0.8246,0.8089,0.8336,0.8219,0.8125,0.8102,0.8138,0.8202,0.9962,1.0012,1.0184
2,Median,Exp-VD,0.9255,0.9151,0.913,0.9369,0.9357,0.9338,0.9281,0.9138,0.9146,0.9426,0.9312,0.9368,0.9991,1.0014,1.0285
3,IQR,LDD,0.9229,0.8935,0.8903,0.9202,0.9096,0.9173,0.8932,0.9077,0.8913,0.8819,0.8188,0.8281,1.1247,1.2765,1.3692
4,IQR,Exp-LDD,0.7499,0.7475,0.7446,0.7078,0.7555,0.7702,0.7357,0.7561,0.7701,0.7129,0.7215,0.7256,0.8508,0.7899,0.8363
5,IQR,Exp-VD,0.9383,0.882,0.8808,0.869,0.8799,0.8741,0.9422,0.9546,0.9544,0.9185,0.9348,0.9368,0.7175,0.7595,0.7763
6,Log Mean,LDD,0.967,0.9636,0.9509,0.9701,0.9608,0.9504,0.9696,0.959,0.9547,0.9705,0.9561,0.9505,1.0005,1.0016,1.0129
7,Log Mean,Exp-LDD,0.9304,0.9229,0.8975,0.9398,0.9378,0.904,0.9353,0.9223,0.9124,0.9361,0.9227,0.9098,0.9993,0.9999,1.0037
8,Log Mean,Exp-VD,0.9763,0.976,0.9496,0.9787,0.9777,0.9606,0.9722,0.9768,0.9522,0.9798,0.9803,0.9663,0.9994,0.9991,1.0039
9,Log StDev,LDD,0.9887,0.9791,0.979,0.9585,0.9605,0.9613,0.9813,0.9728,0.9738,0.9578,0.9596,0.9595,0.9844,1.044,1.0778
10,Log StDev,Exp-LDD,0.9037,0.9199,0.9215,0.8897,0.9075,0.903,0.8692,0.8866,0.8792,0.8875,0.9071,0.9033,0.7789,0.7686,0.8207
11,Log StDev,Exp-VD,0.9969,0.9995,0.996,0.9847,0.9738,0.9751,0.9613,0.9566,0.9566,0.9724,0.9828,0.9837,0.7251,0.7453,0.7692
