,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,237.0 *,239.0 *,199.0 **,217.0 **,208.0 **,198.0 **,293.0,293.0,220.0 **,236.0 *,218.0 **,198.0 **,365.0,257.0 *,145.0 **
2,Median,Exp-LDD,78.0 **,82.0 **,62.0 **,97.0 **,112.0 **,93.0 **,110.0 **,114.0 **,53.0 **,88.0 **,93.0 **,90.0 **,410.0,372.0,229.0 *
3,Median,Exp-VD,278.0,256.0 *,240.0 *,198.0 **,218.0 **,226.0 *,250.0 *,289.0,251.0 *,258.0 *,233.0 *,255.0 *,373.0,331.0,259.0 *
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,250.0 *,245.0 *,204.0 **,270.0,283.0,242.0 *,273.0,263.0 *,217.0 **,262.0 *,284.0,211.0 **,326.0,290.0,178.0 **
6,IQR,Exp-LDD,29.0 **,41.0 **,43.0 **,31.0 **,58.0 **,50.0 **,41.0 **,65.0 **,52.0 **,43.0 **,69.0 **,64.0 **,219.0 **,232.0 *,213.0 **
7,IQR,Exp-VD,290.0,288.0,242.0 *,260.0 *,281.0,251.0 *,305.0,299.0,275.0,288.0,301.0,260.0 *,121.0 **,193.0 **,192.0 **
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,123.0 **,127.0 **,122.0 **,156.0 **,158.0 **,155.0 **,150.0 **,158.0 **,155.0 **,132.0 **,131.0 **,127.0 **,312.0,215.0 **,171.0 **
10,Log Mean,Exp-LDD,20.0 **,27.0 **,26.0 **,33.0 **,41.0 **,41.0 **,24.0 **,30.0 **,29.0 **,26.0 **,33.0 **,32.0 **,371.0,391.0,275.0
11,Log Mean,Exp-VD,157.0 **,164.0 **,159.0 **,187.0 **,192.0 **,188.0 **,157.0 **,164.0 **,159.0 **,166.0 **,171.0 **,165.0 **,276.0,316.0,329.0
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,356.0,359.0,357.0,323.0,317.0,315.0,302.0,305.0,297.0,294.0,301.0,298.0,388.0,327.0,302.0
14,Log StDev,Exp-LDD,155.0 **,156.0 **,160.0 **,148.0 **,155.0 **,157.0 **,127.0 **,132.0 **,128.0 **,136.0 **,142.0 **,142.0 **,107.0 **,119.0 **,118.0 **
15,Log StDev,Exp-VD,365.0,370.0,371.0,307.0,297.0,300.0,308.0,291.0,290.0,297.0,299.0,303.0,13.0 **,21.0 **,23.0 **
