,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median Counts,,,,,,,,,,,,,,,
1,Exp-LDD,19,20,20,23,20,19,18,19,19,19,19,19,12,13,8
2,Exp-VD,6,7,7,4,5,6,6,5,5,5,3,4,10,7,11
3,LDD,9,9,9,5,6,6,8,8,9,7,8,7,7,8,4
4,Orig,2,2,2,3,5,5,4,4,3,4,5,5,1,3,5
5,P-FTD,4,2,2,5,4,4,4,4,4,5,5,5,10,9,12
6,IQR Counts,,,,,,,,,,,,,,,
7,Exp-LDD,26,26,25,22,21,21,23,22,22,22,20,20,12.0,15.0,14
8,Exp-VD,7,6,6,5,4,4,4,3,4,7,5,5,20.0,16.0,17
9,LDD,4,5,5,7,8,8,6,9,9,6,10,10,3.0,2.0,1
10,Orig,2,2,3,2,3,3,2,1,1,2,1,1,,,1
11,P-FTD,1,1,1,4,4,4,5,5,4,3,4,4,5.0,7.0,7
12,Log Mean Counts,,,,,,,,,,,,,,,
13,Exp-LDD,25.0,25.0,25.0,24,23.0,22.0,25.0,23,23,25.0,25,26,13,16,10
14,Exp-VD,2.0,3.0,3.0,2,3.0,3.0,4.0,4,4,2.0,2,1,13,10,12
15,LDD,11.0,11.0,11.0,11,12.0,12.0,10.0,11,11,11.0,11,11,4,3,3
16,Orig,2.0,,,2,,,,1,1,2.0,1,1,1,1,3
17,P-FTD,,1.0,1.0,1,2.0,3.0,1.0,1,1,,1,1,9,10,12
18,Log StDev Counts,,,,,,,,,,,,,,,
19,Exp-LDD,24,21.0,21.0,22,20,19,25,23,23,24,23,24,11.0,14.0,14.0
20,Exp-VD,3,5.0,5.0,3,4,5,3,5,5,3,4,3,25.0,23.0,24.0
21,LDD,3,6.0,6.0,4,6,6,2,5,5,4,5,5,3.0,2.0,2.0
22,Orig,2,,,2,2,2,2,1,1,2,2,2,,,
23,P-FTD,8,8.0,8.0,9,8,8,8,6,6,7,6,6,1.0,1.0,
