,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.942,0.9387,0.951,0.9405,0.928,0.9319,0.9672,0.9541,0.9555,0.9612,0.9362,0.9437,0.971,0.9764,1.0133
1,Median,LDD,0.9312,0.9156,0.925,0.9464,0.9363,0.9383,0.9559,0.942,0.9282,0.9743,0.9484,0.9499,0.9635,0.9662,1.0196
2,Median,Exp-LDD,0.9362,0.924,0.9246,0.9571,0.9477,0.9492,0.9802,0.9495,0.9586,0.9677,0.9309,0.9379,0.9752,0.9769,1.0333
3,Median,Exp-VD,0.9406,0.9357,0.9284,0.9666,0.9392,0.9437,0.9617,0.9408,0.9391,0.9962,0.9573,0.9576,0.9691,0.9791,1.0238
4,IQR,P-FTD,0.7839,0.7902,0.7748,0.7194,0.6391,0.6442,0.8213,0.7829,0.8078,0.7833,0.7582,0.7507,0.2274,0.2609,0.3882
5,IQR,LDD,0.6423,0.5482,0.5429,0.6692,0.6149,0.627,0.642,0.6517,0.6536,0.6339,0.5888,0.5787,0.2767,0.308,0.5128
6,IQR,Exp-LDD,0.5766,0.5025,0.5163,0.5826,0.56,0.5579,0.6565,0.6146,0.6215,0.6063,0.5666,0.5701,0.2369,0.2745,0.3825
7,IQR,Exp-VD,0.6275,0.6113,0.5963,0.747,0.6798,0.681,0.6965,0.7212,0.7257,0.7529,0.7346,0.7222,0.2058,0.2508,0.3763
8,Log Mean,P-FTD,0.9828,0.9731,0.9598,0.985,0.9684,0.9576,0.9791,0.9766,0.9799,0.9842,0.972,0.9515,0.9957,0.9946,0.9881
9,Log Mean,LDD,0.9689,0.9617,0.9225,0.9585,0.9652,0.9331,0.9724,0.9611,0.935,0.957,0.9685,0.9186,0.997,0.9955,0.9904
10,Log Mean,Exp-LDD,0.9798,0.9792,0.9261,0.9826,0.9704,0.9175,0.9788,0.9839,0.9574,0.9768,0.977,0.9335,0.9966,0.9952,0.9916
11,Log Mean,Exp-VD,0.9818,0.9704,0.9271,0.98,0.9652,0.9196,0.9845,0.9798,0.9358,0.9804,0.9723,0.9582,0.9956,0.9956,0.9898
12,Log StDev,P-FTD,0.8386,0.8339,0.8305,0.7907,0.7915,0.7912,0.9137,0.9043,0.9031,0.8456,0.8468,0.8455,0.2799,0.2893,0.3825
13,Log StDev,LDD,0.7262,0.7198,0.7206,0.7411,0.7277,0.7267,0.7495,0.7145,0.7087,0.7142,0.7065,0.707,0.3573,0.3744,0.4726
14,Log StDev,Exp-LDD,0.7061,0.699,0.7004,0.6966,0.6958,0.6936,0.7328,0.7137,0.72,0.6971,0.7095,0.7126,0.2894,0.3135,0.3717
15,Log StDev,Exp-VD,0.7592,0.7326,0.73,0.7844,0.7749,0.7811,0.8227,0.8104,0.809,0.7977,0.8037,0.7992,0.2478,0.2911,0.3363
