,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,276.0,211.0 **,259.0 *,254.0 *,232.0 *,278.0,240.0 *,233.0 *,287.0,314.0,252.0 *,253.0 *,198.0 **,269.0,358.0
1,Median,LDD,160.0 **,137.0 **,134.0 **,188.0 **,212.0 **,217.0 **,161.0 **,156.0 **,172.0 **,291.0,239.0 *,207.0 **,142.0 **,169.0 **,302.0
2,Median,Exp-LDD,249.0 *,234.0 *,244.0 *,277.0,244.0 *,267.0,272.0,192.0 **,248.0 *,327.0,244.0 *,249.0 *,220.0 **,308.0,232.0 *
3,Median,Exp-VD,252.0 *,195.0 **,213.0 **,301.0,259.0 *,280.0,182.0 **,186.0 **,201.0 **,343.0,258.0 *,269.0,208.0 **,299.0,303.0
4,IQR,P-FTD,162.0 **,126.0 **,101.0 **,108.0 **,54.0 **,55.0 **,235.0 *,174.0 **,135.0 **,82.0 **,72.0 **,59.0 **,0.0 **,4.0 **,9.0 **
5,IQR,LDD,33.0 **,16.0 **,14.0 **,47.0 **,35.0 **,19.0 **,113.0 **,63.0 **,29.0 **,42.0 **,34.0 **,24.0 **,3.0 **,3.0 **,52.0 **
6,IQR,Exp-LDD,77.0 **,72.0 **,47.0 **,3.0 **,2.0 **,6.0 **,59.0 **,22.0 **,8.0 **,26.0 **,26.0 **,39.0 **,9.0 **,13.0 **,0.0 **
7,IQR,Exp-VD,51.0 **,46.0 **,45.0 **,47.0 **,22.0 **,10.0 **,99.0 **,69.0 **,43.0 **,71.0 **,74.0 **,54.0 **,0.0 **,3.0 **,0.0 **
8,Log Mean,P-FTD,222.0 *,216.0 **,214.0 **,252.0 *,213.0 **,215.0 **,297.0,267.0,270.0,257.0 *,231.0 *,226.0 *,13.0 **,47.0 **,173.0 **
9,Log Mean,LDD,116.0 **,103.0 **,104.0 **,146.0 **,133.0 **,134.0 **,140.0 **,123.0 **,129.0 **,141.0 **,117.0 **,119.0 **,101.0 **,115.0 **,264.0 *
10,Log Mean,Exp-LDD,179.0 **,151.0 **,156.0 **,173.0 **,156.0 **,158.0 **,205.0 **,171.0 **,175.0 **,191.0 **,159.0 **,165.0 **,107.0 **,138.0 **,329.0
11,Log Mean,Exp-VD,167.0 **,156.0 **,157.0 **,208.0 **,177.0 **,182.0 **,204.0 **,181.0 **,187.0 **,227.0 *,201.0 **,203.0 **,60.0 **,49.0 **,193.0 **
12,Log StDev,P-FTD,132.0 **,109.0 **,117.0 **,56.0 **,60.0 **,61.0 **,138.0 **,125.0 **,126.0 **,82.0 **,76.0 **,77.0 **,0.0 **,1.0 **,0.0 **
13,Log StDev,LDD,32.0 **,33.0 **,31.0 **,24.0 **,28.0 **,30.0 **,28.0 **,30.0 **,29.0 **,29.0 **,29.0 **,30.0 **,0.0 **,0.0 **,1.0 **
14,Log StDev,Exp-LDD,0.0 **,0.0 **,0.0 **,0.0 **,0.0 **,0.0 **,4.0 **,3.0 **,3.0 **,0.0 **,0.0 **,0.0 **,0.0 **,0.0 **,0.0 **
15,Log StDev,Exp-VD,29.0 **,30.0 **,28.0 **,11.0 **,17.0 **,14.0 **,35.0 **,32.0 **,31.0 **,52.0 **,46.0 **,47.0 **,0.0 **,0.0 **,0.0 **
