,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.07250633211879176,0.006657873602307518,0.04219436091807438,0.03560432962331106,0.015876221947110025,0.0770006142774946,0.021546060141190537,0.01650634321049438,0.1000314528009767,0.20159339489509875,0.033219984823517734,0.03439493566293095,0.003690388592076488,0.058402880749781616,0.49291002014433616
1,Median,LDD,0.0005080382052256027,0.00012320928908593487,0.00010100967301696073,0.0022767432674299926,0.006955192886380246,0.008622652698250022,0.0005381573264457984,0.0004022172452096129,0.0009936344267771346,0.11185002994352544,0.020754569575728965,0.005576999594268273,0.00017029843002092093,0.0008436624721070984,0.14990237551683094
2,Median,Exp-LDD,0.029894433579102042,0.017157761747512268,0.02497325502190506,0.07472652908654709,0.02497325502190506,0.05481029127986403,0.06414752090131515,0.002770629538645153,0.02884993747647968,0.27069234351074556,0.02497325502190506,0.029894433579102042,0.009781997654499719,0.17435350978121278,0.015876221947110025
3,Median,Exp-VD,0.033219984823517734,0.0032013230738812126,0.007264065483468585,0.14608894804041483,0.04219436091807438,0.08171383123044507,0.0016823487039800966,0.002060566714135348,0.004244452147759148,0.3753805605592788,0.04080139504367253,0.058402880749781616,0.005831649234096403,0.13868038851069286,0.1537894909415627
4,IQR,P-FTD,0.0005698828390450217,5.845885789312888e-05,8.847995559335686e-06,1.546506791783031e-05,9.226823749486357e-08,1.03669663076289e-07,0.017831046616265667,0.0011065220933232922,0.0001079662160918815,1.6943467926466838e-06,6.459667929448187e-07,1.634398358874023e-07,1.8189894035458565e-12,1.2732925824820995e-11,6.002665031701326e-11
5,IQR,LDD,5.844412953592837e-09,3.0740920919924974e-10,2.000888343900442e-10,3.9488440961577e-08,7.839844329282641e-09,5.584297468885779e-10,2.2706761228619143e-05,2.535471139708534e-07,3.1632225727662444e-09,2.0700099412351847e-08,6.775735528208315e-09,1.3860699255019426e-09,9.094947017729282e-12,9.094947017729282e-12,7.284143066499382e-08
6,IQR,Exp-LDD,1.055741449818015e-06,6.459667929448187e-07,3.9488440961577e-08,9.094947017729282e-12,5.4569682106375694e-12,2.546585164964199e-11,1.634398358874023e-07,9.74978320300579e-10,4.547473508864641e-11,1.9444996723905206e-09,1.9444996723905206e-09,1.3795215636491776e-08,6.002665031701326e-11,1.6007106751203537e-10,1.8189894035458565e-12
7,IQR,Exp-VD,6.460686563514173e-08,3.480272425804287e-08,3.062996256630868e-08,3.9488440961577e-08,9.74978320300579e-10,7.821654435247183e-11,7.508137059630826e-06,4.765788617078215e-07,2.3623215383850038e-08,5.841629899805412e-07,7.880189514253289e-07,9.226823749486357e-08,1.8189894035458565e-12,9.094947017729282e-12,1.8189894035458565e-12
8,Log Mean,P-FTD,0.010628069954691455,0.008263762760179816,0.00758486291852023,0.033219984823517734,0.007264065483468585,0.007917965558590367,0.1315581506714807,0.05481029127986403,0.060269491961662425,0.03944668134499807,0.015266838387105963,0.01251208440407936,1.6007106751203537e-10,3.9488440961577e-08,0.0010487130839464953
9,Log Mean,LDD,2.8431650207494386e-05,1.040497409121599e-05,1.1274605640210211e-05,0.00021920151448284741,9.446514923183713e-05,0.00010100967301696073,0.00014978252875152975,4.7302397433668375e-05,7.198017374321353e-05,0.0001597403588675661,3.061662209802307e-05,3.545586332620587e-05,8.847995559335686e-06,2.639073136379011e-05,0.049760567819248536
10,Log Mean,Exp-LDD,0.001440798383555375,0.00029818139228154905,0.0004022172452096129,0.0010487130839464953,0.0004022172452096129,0.0004523318730207393,0.005096850996778812,0.0009411722930963151,0.0011671793090499705,0.002638970910993521,0.0004794529413629789,0.0006754665791959269,1.430089287168812e-05,0.0001315457593591418,0.2825841121848498
11,Log Mean,Exp-VD,0.0007553515715699177,0.0004022172452096129,0.0004266080886736745,0.005831649234096403,0.0012975311765330844,0.0016823487039800966,0.004870718326856149,0.0015980837451934349,0.0021662512626789976,0.01302583178403438,0.004244452147759148,0.004653470972698415,1.8267201085109264e-07,5.06388460053131e-08,0.0029080943877488608
12,Log StDev,P-FTD,8.831049490254372e-05,1.6715837773517706e-05,3.061662209802307e-05,1.1634983820840716e-07,1.8267201085109264e-07,2.0396328181959689e-07,0.0001315457593591418,5.449729542306159e-05,5.845885789312888e-05,1.6943467926466838e-06,9.583873179508373e-07,1.055741449818015e-06,1.8189894035458565e-12,3.637978807091713e-12,1.8189894035458565e-12
13,Log StDev,LDD,5.029505700804293e-09,5.844412953592837e-09,4.320099833421409e-09,1.3860699255019426e-09,2.697561285458505e-09,3.701643436215818e-09,2.697561285458505e-09,3.701643436215818e-09,3.1632225727662444e-09,3.1632225727662444e-09,3.1632225727662444e-09,3.701643436215818e-09,1.8189894035458565e-12,1.8189894035458565e-12,3.637978807091713e-12
14,Log StDev,Exp-LDD,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.2732925824820995e-11,9.094947017729282e-12,9.094947017729282e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
15,Log StDev,Exp-VD,3.1632225727662444e-09,3.701643436215818e-09,2.697561285458505e-09,1.000444171950221e-10,3.765308065339923e-10,2.000888343900442e-10,7.839844329282641e-09,5.029505700804293e-09,4.320099833421409e-09,7.284143066499382e-08,3.480272425804287e-08,3.9488440961577e-08,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
