,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,LDD,0.9749,0.9671,0.958,0.9876,0.9871,0.986,0.9811,0.9725,0.9742,0.9933,0.9952,0.9875,0.9978,0.9874,1.0054
1,Median,Exp-LDD,0.9939,0.9856,0.9842,0.9952,0.9976,0.999,1.0098,0.9894,0.9892,1.0116,1.008,1.0071,0.9977,1.0029,0.9969
2,Median,Exp-VD,0.9807,0.967,0.9699,0.9874,0.9941,0.9894,0.9835,0.9822,0.9847,1.0019,1.0126,1.0156,1.0008,1.0044,1.0
3,IQR,LDD,0.8652,0.8374,0.8619,0.8533,0.8464,0.8528,0.7504,0.8511,0.8477,0.8446,0.8801,0.8653,1.2282,1.2996,1.2662
4,IQR,Exp-LDD,0.8557,0.8153,0.7702,0.794,0.8748,0.8662,0.7568,0.8065,0.7982,0.8143,0.911,0.8878,0.986,0.9888,0.9206
5,IQR,Exp-VD,0.8636,0.8625,0.8677,0.9622,0.9595,0.9463,0.8828,0.8384,0.823,0.9351,0.9093,0.9215,1.0572,1.0489,0.9471
6,Log Mean,LDD,0.9959,0.9959,0.9669,0.9965,0.9943,0.9769,0.9934,0.9892,0.9731,0.9983,0.9974,0.9923,0.9997,0.9998,1.0035
7,Log Mean,Exp-LDD,1.0006,0.9989,0.9806,0.997,0.9979,0.977,1.0027,0.9985,0.9862,0.9966,0.9953,0.9864,1.0,1.0,1.0
8,Log Mean,Exp-VD,1.0008,1.0031,0.9734,0.999,1.001,0.997,0.9963,1.0003,0.9878,1.0019,1.0009,0.9976,1.0001,1.0004,0.9987
9,Log StDev,LDD,0.8815,0.8746,0.8668,0.9768,0.9587,0.96,0.8544,0.8817,0.8741,0.8564,0.8617,0.8575,1.1527,1.2115,1.1654
10,Log StDev,Exp-LDD,0.8137,0.8251,0.8254,0.8418,0.8616,0.8637,0.8043,0.8267,0.8245,0.8493,0.869,0.8587,0.9249,0.897,0.9064
11,Log StDev,Exp-VD,0.9234,0.9465,0.9456,0.9879,0.9876,0.9847,0.9188,0.919,0.9206,0.972,1.0079,1.0078,0.9093,0.9553,0.8992
