,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,344.0,291.0,258.0 *,397.0,384.0,336.0,334.0,310.0,284.0,380.0,397.0,354.0,328.0,312.0,369.0
2,Median,Exp-LDD,387.0,399.0,328.0,387.0,362.0,363.0,376.0,347.0,329.0,352.0,369.0,409.0,383.0,350.0,285.0
3,Median,Exp-VD,347.0,370.0,302.0,366.0,387.0,362.0,372.0,333.0,262.0 *,318.0,329.0,397.0,335.0,346.0,371.0
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,257.0 *,194.0 **,187.0 **,228.0 *,245.0 *,215.0 **,203.0 **,192.0 **,128.0 **,205.0 **,254.0 *,192.0 **,310.0,259.0 *,209.0 **
6,IQR,Exp-LDD,223.0 *,151.0 **,109.0 **,173.0 **,212.0 **,201.0 **,160.0 **,159.0 **,104.0 **,200.0 **,166.0 **,173.0 **,348.0,363.0,350.0
7,IQR,Exp-VD,286.0,235.0 *,240.0 *,374.0,338.0,291.0,248.0 *,329.0,251.0 *,308.0,350.0,336.0,372.0,362.0,300.0
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,264.0 *,245.0 *,244.0 *,300.0,294.0,294.0,205.0 **,189.0 **,188.0 **,289.0,292.0,295.0,396.0,400.0,335.0
10,Log Mean,Exp-LDD,333.0,283.0,281.0,332.0,320.0,322.0,311.0,286.0,290.0,346.0,328.0,328.0,363.0,323.0,291.0
11,Log Mean,Exp-VD,314.0,317.0,318.0,388.0,378.0,384.0,302.0,288.0,303.0,404.0,406.0,400.0,357.0,346.0,365.0
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,189.0 **,200.0 **,192.0 **,260.0 *,242.0 *,237.0 *,68.0 **,59.0 **,62.0 **,186.0 **,171.0 **,167.0 **,232.0 *,236.0 *,280.0
14,Log StDev,Exp-LDD,86.0 **,82.0 **,82.0 **,125.0 **,118.0 **,119.0 **,48.0 **,51.0 **,52.0 **,117.0 **,99.0 **,99.0 **,406.0,377.0,285.0
15,Log StDev,Exp-VD,201.0 **,216.0 **,211.0 **,310.0,326.0,326.0,156.0 **,157.0 **,155.0 **,305.0,310.0,307.0,241.0 *,341.0,174.0 **
