,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,0.3826448613508546,0.11185002994352544,0.04080139504367253,0.8680334030395898,0.7345573100628826,0.32689447529082827,0.3138070678778604,0.18311741828802042,0.0918240616483672,0.6948266715426143,0.8680334030395898,0.45981367328386114,0.2765956516359438,0.19219595044887683,0.589975534387122
2,Median,Exp-LDD,0.7648249070225575,0.8890015714441688,0.2765956516359438,0.7648249070225575,0.5272133391008538,0.5359713830403052,0.6558992899281293,0.40493773964954016,0.2825841121848498,0.443733318028535,0.589975534387122,0.9946976143110078,0.7245544941888511,0.42797189528209856,0.09449897358172166
3,Median,Exp-VD,0.40493773964954016,0.599208943085614,0.14990237551683094,0.5626676823321759,0.7648249070225575,0.5272133391008538,0.617864971896779,0.3073915451623179,0.046610625882749446,0.2213606056466233,0.2825841121848498,0.8680334030395898,0.32030806105103693,0.3974238318751304,0.6085058219759958
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,0.03944668134499807,0.003051583886190201,0.0021662512626789976,0.01355766506276268,0.02589861064188881,0.007917965558590367,0.004653470972698415,0.002770629538645153,6.718428085150663e-05,0.005096850996778812,0.03560432962331106,0.002770629538645153,0.18311741828802042,0.04219436091807438,0.006096451763369259
6,IQR,Exp-LDD,0.011074391617512447,0.00029818139228154905,1.6715837773517706e-05,0.0010487130839464953,0.006955192886380246,0.004244452147759148,0.0005080382052256027,0.0004794529413629789,1.1274605640210211e-05,0.004052109774420387,0.000714401952791377,0.0010487130839464953,0.4125340336249792,0.5359713830403052,0.42797189528209856
7,IQR,Exp-VD,0.09723449486591562,0.017831046616265667,0.021546060141190537,0.6367651425298391,0.34032321635640983,0.11185002994352544,0.02884993747647968,0.2825841121848498,0.03207873742940137,0.17435350978121278,0.42797189528209856,0.32689447529082827,0.617864971896779,0.5272133391008538,0.1423485195809917
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,0.049760567819248536,0.02589861064188881,0.02497325502190506,0.1423485195809917,0.12139880184622598,0.12139880184622598,0.005096850996778812,0.002392230499026482,0.0022767432674299926,0.1058129653429205,0.1149664051754371,0.12471638389069994,0.8575823361643415,0.8995151304461615,0.32030806105103693
10,Log Mean,Exp-LDD,0.3073915451623179,0.08920892782589362,0.08415465162215696,0.30106151267864334,0.23173732552095316,0.2424468300960143,0.18761708125202858,0.09723449486591562,0.10879914976976579,0.3974238318751304,0.2765956516359438,0.2765956516359438,0.5359713830403052,0.24792719178185507,0.11185002994352544
11,Log Mean,Exp-VD,0.20159339489509875,0.2162961354260915,0.2213606056466233,0.7749952346202917,0.6752568088832049,0.7345573100628826,0.14990237551683094,0.10289067040321243,0.1537894909415627,0.9417240968323313,0.9628961195248849,0.8995151304461615,0.48452077669571736,0.3974238318751304,0.5536995567435952
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,0.002392230499026482,0.004052109774420387,0.002770629538645153,0.043626361240967526,0.023206125308206538,0.019245540157498908,4.299272404750809e-07,1.634398358874023e-07,2.275137376273051e-07,0.002060566714135348,0.0009411722930963151,0.0007553515715699177,0.015876221947110025,0.01852677657188906,0.08171383123044507
14,Log StDev,Exp-LDD,2.4437304091406986e-06,1.6943467926466838e-06,1.6943467926466838e-06,5.449729542306159e-05,3.295479837106541e-05,3.545586332620587e-05,4.474713932722807e-08,6.460686563514173e-08,7.284143066499382e-08,3.061662209802307e-05,7.508137059630826e-06,7.508137059630826e-06,0.9628961195248849,0.6655508074145473,0.09449897358172166
15,Log StDev,Exp-VD,0.004244452147759148,0.008263762760179816,0.006657873602307518,0.18311741828802042,0.26487403590545,0.26487403590545,0.0004022172452096129,0.0004266080886736745,0.0003790976079471875,0.1617874718067469,0.18311741828802042,0.17008811905543553,0.022363033434885438,0.3611039877814619,0.0011065220933232922
