,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median Counts,,,,,,,,,,,,,,,
1,Exp-LDD,6,6,5,7,7,7,7,9,9,6,6,7,7,6,4
2,Exp-VD,7,10,11,7,3,3,9,7,7,5,7,6,8,5,6
3,LDD,12,9,9,8,12,12,11,12,12,7,10,11,15,17,7
4,Orig,7,7,7,8,9,9,5,5,5,13,8,7,1,2,17
5,P-FTD,8,8,8,10,9,9,8,7,7,9,9,9,9,10,6
6,IQR Counts,,,,,,,,,,,,,,,
7,Exp-LDD,13,17,18,20.0,14.0,14.0,11,14,14,15,16,15,11.0,12,10.0
8,Exp-VD,12,11,10,5.0,6.0,6.0,9,5,6,2,5,4,10.0,10,13.0
9,LDD,9,9,9,8.0,15.0,15.0,14,16,15,14,12,13,5.0,5,7.0
10,Orig,3,2,2,,,,2,2,2,2,2,2,,1,
11,P-FTD,3,1,1,7.0,5.0,5.0,4,3,3,7,5,6,14.0,12,10.0
12,Log Mean Counts,,,,,,,,,,,,,,,
13,Exp-LDD,9,8,7,11,9,9,9,9,8,13,11,11,11.0,9,8
14,Exp-VD,7,7,7,4,3,4,7,6,6,5,6,6,9.0,8,7
15,LDD,14,14,14,14,15,14,13,15,16,11,12,12,11.0,13,10
16,Orig,4,5,5,4,4,4,5,5,5,5,4,4,,1,4
17,P-FTD,6,6,7,7,9,9,6,5,5,6,7,7,9.0,9,11
18,Log StDev Counts,,,,,,,,,,,,,,,
19,Exp-LDD,22.0,21.0,21.0,20.0,22.0,22.0,20,23,23,16.0,16.0,16.0,11.0,12.0,13.0
20,Exp-VD,3.0,2.0,3.0,4.0,3.0,3.0,5,3,2,5.0,3.0,3.0,16.0,11.0,13.0
21,LDD,12.0,12.0,12.0,8.0,11.0,11.0,12,11,12,12.0,16.0,16.0,4.0,6.0,6.0
22,Orig,,,,,,,1,1,1,,,,,,
23,P-FTD,3.0,5.0,4.0,8.0,4.0,4.0,2,2,2,7.0,5.0,5.0,9.0,11.0,8.0
