,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,1.2167,1.1946,1.1986,1.1233,1.0495,1.0579,1.2551,1.3406,1.3467,1.182,1.2003,1.2044,0.9865,0.978,0.9576
1,Median,LDD,1.2349,1.2646,1.2649,1.1783,1.2364,1.246,1.1824,1.2201,1.2058,1.101,1.181,1.1628,1.0089,1.0069,1.0146
2,Median,Exp-LDD,1.0122,0.9813,0.9813,1.0533,1.0613,1.0753,1.0521,1.0639,1.064,1.0248,1.0319,1.0359,1.0027,0.998,0.9895
3,Median,Exp-VD,1.2695,1.3535,1.3557,1.3113,1.3863,1.3887,1.2985,1.3488,1.3513,1.2864,1.3336,1.3295,0.9925,0.9872,0.9722
4,IQR,P-FTD,1.3734,1.2633,1.2621,0.9678,1.0198,1.057,1.257,1.3159,1.3254,0.7895,0.8111,0.8135,1.9661,1.7467,2.2793
5,IQR,LDD,0.9969,1.0074,1.0019,1.1762,1.1078,1.0976,1.0981,1.0913,1.1058,0.8865,0.9009,0.8898,4.2777,4.8871,4.1842
6,IQR,Exp-LDD,0.9215,0.8876,0.8824,1.0491,0.9929,0.9689,0.9459,0.8856,0.92,0.7256,0.7163,0.7163,1.6808,1.4681,1.7506
7,IQR,Exp-VD,0.8706,0.8803,0.8859,0.9149,0.9561,0.9593,0.9104,0.9931,0.995,0.8094,0.7698,0.7724,1.6814,1.8324,1.9066
8,Log Mean,P-FTD,1.0551,1.0591,1.1352,1.0496,1.0588,1.0812,1.1044,1.0602,1.2004,1.0585,1.0656,1.1321,0.9992,0.9986,0.9915
9,Log Mean,LDD,1.0568,1.0447,1.1285,1.0522,1.0329,1.1367,1.04,1.0105,1.1523,1.041,1.0238,1.1226,1.0009,1.0007,1.0053
10,Log Mean,Exp-LDD,1.0128,1.029,1.0192,1.0171,1.0135,1.0247,1.0156,1.0196,1.0371,1.0063,1.0115,1.0164,1.0002,1.0,0.998
11,Log Mean,Exp-VD,1.065,1.0974,1.1712,1.1155,1.1059,1.2347,1.0643,1.0756,1.1609,1.0538,1.0424,1.198,0.9998,0.9995,0.9953
12,Log StDev,P-FTD,1.4936,1.4403,1.4545,1.0629,1.0721,1.0772,1.2071,1.1842,1.1855,0.7823,0.792,0.801,2.6911,2.3961,2.4934
13,Log StDev,LDD,1.1383,1.0439,1.0717,1.0761,0.9889,0.9885,1.0359,1.0256,1.0257,0.9234,0.8588,0.8587,4.4084,4.6741,4.2306
14,Log StDev,Exp-LDD,1.0306,1.0597,1.0602,1.0814,1.0351,1.0352,0.9861,1.006,0.9909,0.8578,0.8743,0.8708,2.3284,2.0208,1.968
15,Log StDev,Exp-VD,1.0082,0.9612,0.9615,0.9066,0.9384,0.9459,0.9485,0.9101,0.9114,0.8659,0.8473,0.8518,1.9925,2.1639,2.2448
