,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,197.0 **,208.0 **,190.0 **,254.0 *,294.0,283.0,184.0 **,206.0 **,175.0 **,228.0 *,235.0 *,220.0 **,297.0,229.0 *,257.0 *
1,Median,LDD,210.0 **,239.0 *,239.0 *,258.0 *,253.0 *,255.0 *,216.0 **,217.0 **,230.0 *,272.0,276.0,265.0,329.0,349.0,392.0
2,Median,Exp-LDD,358.0,362.0,329.0,312.0,315.0,327.0,318.0,317.0,304.0,362.0,355.0,340.0,376.0,329.0,297.0
3,Median,Exp-VD,197.0 **,202.0 **,178.0 **,221.0 *,227.0 *,175.0 **,241.0 *,247.0 *,184.0 **,224.0 *,234.0 *,181.0 **,329.0,323.0,259.0 *
4,IQR,P-FTD,296.0,304.0,221.0 *,363.0,359.0,320.0,358.0,362.0,276.0,329.0,338.0,397.0,228.0 *,276.0,154.0 **
5,IQR,LDD,359.0,383.0,368.0,340.0,350.0,354.0,376.0,366.0,350.0,358.0,371.0,362.0,14.0 **,26.0 **,13.0 **
6,IQR,Exp-LDD,397.0,403.0,371.0,330.0,393.0,378.0,350.0,367.0,383.0,196.0 **,218.0 **,240.0 *,254.0 *,279.0,203.0 **
7,IQR,Exp-VD,388.0,408.0,402.0,376.0,381.0,375.0,370.0,393.0,380.0,351.0,308.0,338.0,216.0 **,182.0 **,149.0 **
8,Log Mean,P-FTD,164.0 **,174.0 **,174.0 **,244.0 *,268.0,268.0,145.0 **,144.0 **,144.0 **,195.0 **,200.0 **,200.0 **,330.0,259.0 *,275.0
9,Log Mean,LDD,189.0 **,200.0 **,196.0 **,220.0 **,230.0 *,231.0 *,194.0 **,203.0 **,200.0 **,245.0 *,245.0 *,244.0 *,301.0,325.0,367.0
10,Log Mean,Exp-LDD,323.0,319.0,317.0,319.0,321.0,316.0,309.0,304.0,299.0,352.0,357.0,355.0,389.0,356.0,323.0
11,Log Mean,Exp-VD,180.0 **,188.0 **,189.0 **,163.0 **,164.0 **,168.0 **,185.0 **,188.0 **,189.0 **,181.0 **,188.0 **,191.0 **,316.0,311.0,301.0
12,Log StDev,P-FTD,169.0 **,171.0 **,171.0 **,317.0,333.0,330.0,282.0,284.0,287.0,385.0,365.0,364.0,143.0 **,155.0 **,96.0 **
13,Log StDev,LDD,271.0,319.0,315.0,312.0,356.0,355.0,355.0,408.0,405.0,317.0,296.0,302.0,36.0 **,31.0 **,13.0 **
14,Log StDev,Exp-LDD,323.0,340.0,346.0,361.0,370.0,376.0,404.0,405.0,410.0,263.0 *,244.0 *,246.0 *,163.0 **,166.0 **,126.0 **
15,Log StDev,Exp-VD,368.0,397.0,400.0,397.0,401.0,395.0,400.0,407.0,405.0,318.0,305.0,299.0,99.0 **,93.0 **,84.0 **
