,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.00352048356035084,0.005831649234096403,0.0025129065124929184,0.03560432962331106,0.12139880184622598,0.08920892782589362,0.001862897997852997,0.005332173790520756,0.0011671793090499705,0.01355766506276268,0.017831046616265667,0.009781997654499719,0.1315581506714807,0.0141080951798358,0.03944668134499807
1,Median,LDD,0.006371744650095934,0.020754569575728965,0.020754569575728965,0.04080139504367253,0.03439493566293095,0.0368489142110775,0.008263762760179816,0.008622652698250022,0.014677642795504653,0.06414752090131515,0.07250633211879176,0.051399685278738616,0.2825841121848498,0.42021225081225566,0.8160389817658142
2,Median,Exp-LDD,0.49291002014433616,0.5272133391008538,0.2825841121848498,0.19219595044887683,0.20641296513713314,0.27069234351074556,0.2213606056466233,0.2162961354260915,0.1577509693797765,0.5272133391008538,0.4679718594561564,0.35409228332900966,0.6558992899281293,0.2825841121848498,0.1315581506714807
3,Median,Exp-VD,0.00352048356035084,0.004444812017027289,0.0013674832061951747,0.01019742315656913,0.01302583178403438,0.0011671793090499705,0.022363033434885438,0.027836266126541886,0.001862897997852997,0.011536851214259514,0.017157761747512268,0.0015980837451934349,0.2825841121848498,0.24792719178185507,0.04219436091807438
4,IQR,P-FTD,0.12810258085846726,0.1577509693797765,0.01019742315656913,0.5359713830403052,0.5013747400735156,0.23173732552095316,0.49291002014433616,0.5272133391008538,0.07250633211879176,0.2825841121848498,0.34032321635640983,0.8680334030395898,0.01355766506276268,0.07250633211879176,0.0003571899414964719
5,IQR,LDD,0.5013747400735156,0.7245544941888511,0.5808067661073437,0.35409228332900966,0.42797189528209856,0.45981367328386114,0.6558992899281293,0.5626676823321759,0.42797189528209856,0.49291002014433616,0.6085058219759958,0.5272133391008538,2.000888343900442e-10,1.9444996723905206e-09,1.6007106751203537e-10
6,IQR,Exp-LDD,0.8680334030395898,0.9311522501084255,0.6085058219759958,0.28865784978552256,0.826382224491681,0.6752568088832049,0.42797189528209856,0.5717037787562731,0.7245544941888511,0.0033575435081729665,0.00899504264089046,0.021546060141190537,0.03560432962331106,0.07932943338346377,0.004653470972698415
7,IQR,Exp-VD,0.7749952346202917,0.9840937587196095,0.9205922683031531,0.6558992899281293,0.7046876743079338,0.6463036218483467,0.599208943085614,0.826382224491681,0.6948266715426143,0.4358124383925315,0.17435350978121278,0.34032321635640983,0.008263762760179816,0.0016823487039800966,0.00026391974461148493
8,Log Mean,P-FTD,0.0006384575062838849,0.0011065220933232922,0.0011065220933232922,0.02497325502190506,0.05658342447895848,0.05658342447895848,0.00020590441454260144,0.00019334589705977123,0.00019334589705977123,0.0032013230738812126,0.004052109774420387,0.004052109774420387,0.28865784978552256,0.04219436091807438,0.07033917775879672
9,Log Mean,LDD,0.002392230499026482,0.004052109774420387,0.0033575435081729665,0.009781997654499719,0.014677642795504653,0.015266838387105963,0.003051583886190201,0.004653470972698415,0.004052109774420387,0.02589861064188881,0.02589861064188881,0.02497325502190506,0.14608894804041483,0.259140549798758,0.5717037787562731
10,Log Mean,Exp-LDD,0.24792719178185507,0.22650754260575923,0.2162961354260915,0.22650754260575923,0.23705031063764181,0.21131373006210197,0.17869641572360706,0.1577509693797765,0.13868038851069286,0.443733318028535,0.48452077669571736,0.4679718594561564,0.7852034492480016,0.47620780297620513,0.24792719178185507
11,Log Mean,Exp-VD,0.001517616927230847,0.0022767432674299926,0.002392230499026482,0.0006032901037542615,0.0006384575062838849,0.0007984068197401939,0.0019595077046687948,0.0022767432674299926,0.002392230499026482,0.0015980837451934349,0.0022767432674299926,0.002638970910993521,0.21131373006210197,0.18761708125202858,0.14608894804041483
12,Log StDev,P-FTD,0.0008436624721070984,0.0009411722930963151,0.0009411722930963151,0.2162961354260915,0.3073915451623179,0.28865784978552256,0.08665273707811139,0.0918240616483672,0.1000314528009767,0.7446043581785489,0.5536995567435952,0.5448004511072213,0.00018148900744563434,0.0003790976079471875,5.845156920258887e-06
13,Log StDev,LDD,0.062184092836105265,0.22650754260575923,0.20641296513713314,0.19219595044887683,0.47620780297620513,0.4679718594561564,0.4679718594561564,0.9840937587196095,0.9523059934635967,0.2162961354260915,0.12810258085846726,0.14990237551683094,9.054929250851274e-09,4.320099833421409e-09,1.6007106751203537e-10
14,Log StDev,Exp-LDD,0.24792719178185507,0.35409228332900966,0.3974238318751304,0.5185272742000961,0.599208943085614,0.6558992899281293,0.9417240968323313,0.9523059934635967,1.0,0.048164484947847086,0.02497325502190506,0.02685272056623944,0.0006032901037542615,0.000714401952791377,5.845885789312888e-05
15,Log StDev,Exp-VD,0.5808067661073437,0.8680334030395898,0.8995151304461615,0.8680334030395898,0.9100459608780511,0.8471556244439853,0.8995151304461615,0.9734926504152099,0.9523059934635967,0.2213606056466233,0.1617874718067469,0.13868038851069286,7.508137059630826e-06,4.5276301534613594e-06,2.0374991436256096e-06
