,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,LDD,0.8918,0.851,0.8515,0.9869,0.9883,0.99,0.898,0.9043,0.9066,0.9567,0.9784,0.9767,1.0365,1.0653,1.0786
1,Median,Exp-LDD,0.9273,0.9284,0.9265,1.0096,1.0154,1.0144,0.933,0.9654,0.9566,0.9771,0.9527,0.9625,1.0074,1.0195,1.0007
2,Median,Exp-VD,1.0364,1.0166,1.0078,1.0401,1.0377,1.0436,0.9708,0.9675,0.9681,1.0384,1.0555,1.0578,1.0079,1.0126,1.008
3,IQR,LDD,0.8079,0.7955,0.7879,1.1155,1.0015,0.999,0.9312,0.9336,0.9203,0.9684,0.8934,0.9382,2.7694,4.1116,2.8308
4,IQR,Exp-LDD,0.7049,0.7982,0.8019,0.8839,0.8428,0.8451,0.8908,0.8461,0.8439,0.9435,0.8644,0.8598,0.9713,1.2394,1.1659
5,IQR,Exp-VD,0.7042,0.8497,0.8644,0.8597,0.9003,0.8957,0.8345,0.8215,0.7763,1.0565,1.0435,1.047,0.8096,0.964,0.9589
6,Log Mean,LDD,0.9596,0.9352,0.95,0.9719,0.9424,0.9874,0.9605,0.9444,0.9517,0.9599,0.9395,0.9516,1.002,1.0039,1.0141
7,Log Mean,Exp-LDD,0.9557,0.9653,0.9751,1.0136,0.9912,1.0009,0.9599,0.9592,0.9624,0.9961,0.9423,0.965,1.0006,1.0013,1.0046
8,Log Mean,Exp-VD,0.9827,0.9851,0.9896,0.9925,0.9902,1.0467,0.9803,0.9704,0.9777,1.0049,0.9957,1.0034,1.0001,1.0009,1.0019
9,Log StDev,LDD,0.9575,0.9548,0.9598,1.1374,1.0823,1.0848,0.91,0.9254,0.9244,1.0461,1.0392,1.0397,1.9494,2.2505,1.8151
10,Log StDev,Exp-LDD,0.7565,0.7855,0.7865,0.8501,0.8784,0.875,0.7809,0.8306,0.8299,0.925,0.9192,0.9106,0.9348,0.9049,0.9167
11,Log StDev,Exp-VD,0.8379,0.8729,0.8611,0.9689,0.9907,0.9844,0.9062,0.9286,0.9243,0.9547,0.9623,0.9527,0.9226,1.085,0.8767
