,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,332.0,326.0,263.0 *,359.0,362.0,340.0,302.0,305.0,259.0 *,343.0,344.0,292.0,214.0 **,153.0 **,196.0 **
2,Median,Exp-LDD,316.0,341.0,283.0,410.0,410.0,388.0,327.0,314.0,286.0,343.0,348.0,314.0,327.0,286.0,346.0
3,Median,Exp-VD,374.0,376.0,395.0,355.0,362.0,331.0,388.0,385.0,386.0,372.0,374.0,356.0,327.0,281.0,330.0
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,319.0,287.0,271.0,362.0,404.0,394.0,345.0,378.0,330.0,395.0,389.0,384.0,209.0 **,189.0 **,223.0 *
6,IQR,Exp-LDD,297.0,239.0 *,197.0 **,351.0,356.0,317.0,305.0,318.0,258.0 *,327.0,345.0,311.0,403.0,407.0,377.0
7,IQR,Exp-VD,250.0 *,311.0,254.0 *,334.0,363.0,353.0,306.0,316.0,265.0,407.0,395.0,346.0,372.0,400.0,402.0
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,290.0,283.0,286.0,379.0,373.0,375.0,295.0,282.0,284.0,325.0,318.0,320.0,211.0 **,155.0 **,213.0 **
10,Log Mean,Exp-LDD,264.0 *,261.0 *,265.0,355.0,370.0,369.0,246.0 *,257.0 *,255.0 *,286.0,292.0,295.0,343.0,272.0,336.0
11,Log Mean,Exp-VD,377.0,380.0,380.0,332.0,324.0,323.0,376.0,374.0,374.0,357.0,362.0,362.0,396.0,306.0,315.0
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,280.0,273.0,274.0,409.0,401.0,402.0,305.0,294.0,294.0,394.0,384.0,387.0,186.0 **,180.0 **,218.0 **
14,Log StDev,Exp-LDD,235.0 *,248.0 *,243.0 *,373.0,382.0,381.0,277.0,277.0,278.0,375.0,383.0,384.0,378.0,398.0,350.0
15,Log StDev,Exp-VD,227.0 *,222.0 *,224.0 *,370.0,382.0,381.0,284.0,295.0,295.0,368.0,378.0,379.0,384.0,399.0,392.0
