,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,0.30106151267864334,0.26487403590545,0.048164484947847086,0.5013747400735156,0.5272133391008538,0.35409228332900966,0.14990237551683094,0.1617874718067469,0.04219436091807438,0.3753805605592788,0.3826448613508546,0.1149664051754371,0.00758486291852023,0.0003364373387739761,0.0033575435081729665
2,Median,Exp-LDD,0.21131373006210197,0.3611039877814619,0.08920892782589362,1.0,1.0,0.7749952346202917,0.27069234351074556,0.20159339489509875,0.09723449486591562,0.3753805605592788,0.4125340336249792,0.20159339489509875,0.27069234351074556,0.09723449486591562,0.3974238318751304
3,Median,Exp-VD,0.6367651425298391,0.6558992899281293,0.8471556244439853,0.4679718594561564,0.5272133391008538,0.2948169606661395,0.7749952346202917,0.7446043581785489,0.7546940826050559,0.617864971896779,0.6367651425298391,0.47620780297620513,0.27069234351074556,0.08415465162215696,0.28865784978552256
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,0.22650754260575923,0.1000314528009767,0.062184092836105265,0.5272133391008538,0.9417240968323313,0.8367550107286661,0.3899927400161687,0.6752568088832049,0.28865784978552256,0.8471556244439853,0.7852034492480016,0.7345573100628826,0.006096451763369259,0.002392230499026482,0.011074391617512447
6,IQR,Exp-LDD,0.1315581506714807,0.020754569575728965,0.00352048356035084,0.4358124383925315,0.47620780297620513,0.2162961354260915,0.1617874718067469,0.2213606056466233,0.04080139504367253,0.27069234351074556,0.3899927400161687,0.18761708125202858,0.9311522501084255,0.9734926504152099,0.6655508074145473
7,IQR,Exp-VD,0.03097046168477391,0.18761708125202858,0.03560432962331106,0.3138070678778604,0.5359713830403052,0.45173393898585346,0.16589964473860164,0.21131373006210197,0.051399685278738616,0.9734926504152099,0.8471556244439853,0.3974238318751304,0.617864971896779,0.8995151304461615,0.9205922683031531
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,0.10879914976976579,0.08920892782589362,0.09723449486591562,0.6850159026034817,0.6272851643807371,0.6463036218483467,0.12471638389069994,0.08665273707811139,0.0918240616483672,0.259140549798758,0.2213606056466233,0.23173732552095316,0.006657873602307518,0.0003790976079471875,0.007264065483468585
10,Log Mean,Exp-LDD,0.049760567819248536,0.0450981847334333,0.051399685278738616,0.4679718594561564,0.599208943085614,0.589975534387122,0.02685272056623944,0.03944668134499807,0.0368489142110775,0.09723449486591562,0.1149664051754371,0.12471638389069994,0.3753805605592788,0.06414752090131515,0.32689447529082827
11,Log Mean,Exp-VD,0.6655508074145473,0.6948266715426143,0.6948266715426143,0.30106151267864334,0.25349167909553216,0.24792719178185507,0.6558992899281293,0.6367651425298391,0.6367651425298391,0.48452077669571736,0.5272133391008538,0.5272133391008538,0.8575823361643415,0.16589964473860164,0.20641296513713314
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,0.08171383123044507,0.06616061626664305,0.06822422074037604,0.9946976143110078,0.9100459608780511,0.9205922683031531,0.1617874718067469,0.12139880184622598,0.12139880184622598,0.8367550107286661,0.7345573100628826,0.7648249070225575,0.002060566714135348,0.001517616927230847,0.00899504264089046
14,Log StDev,Exp-LDD,0.017831046616265667,0.02884993747647968,0.02407598106947262,0.6272851643807371,0.7145974449867936,0.7046876743079338,0.07472652908654709,0.07472652908654709,0.0770006142774946,0.6463036218483467,0.7245544941888511,0.7345573100628826,0.6752568088832049,0.8785070700851065,0.42797189528209856
15,Log StDev,Exp-VD,0.01302583178403438,0.010628069954691455,0.011536851214259514,0.599208943085614,0.7145974449867936,0.7046876743079338,0.0918240616483672,0.12471638389069994,0.12471638389069994,0.5808067661073437,0.6752568088832049,0.6850159026034817,0.7345573100628826,0.8890015714441688,0.8160389817658142
