,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median Counts,,,,,,,,,,,,,,,
1,Exp-LDD,8,9,9,8,8,8,6,8,7,9,8,8,4,4,8
2,Exp-VD,5,5,5,5,5,5,6,6,6,4,4,4,7,5,5
3,LDD,9,9,9,9,9,9,8,7,8,8,10,10,9,8,7
4,Orig,11,11,11,9,8,8,11,11,11,12,11,11,6,8,4
5,P-FTD,7,6,6,9,10,10,9,8,8,7,7,7,14,15,16
6,IQR Counts,,,,,,,,,,,,,,,
7,Exp-LDD,11,11,12,8,9,9,9,8,7,11,11,12,8,8,5.0
8,Exp-VD,13,10,10,11,10,10,12,11,12,9,8,7,9,8,7.0
9,LDD,7,10,9,8,10,10,8,7,7,8,9,9,1,1,
10,Orig,4,4,4,6,5,6,8,9,9,5,5,5,16,14,17.0
11,P-FTD,5,5,5,7,6,5,3,5,5,7,7,7,6,9,11.0
12,Log Mean Counts,,,,,,,,,,,,,,,
13,Exp-LDD,6,7,7,8,9,8,6,6,6,7,7,7,6,4,4
14,Exp-VD,7,8,8,5,5,6,5,6,6,5,5,5,6,6,9
15,LDD,9,8,8,9,9,8,7,7,7,8,9,9,7,6,6
16,Orig,11,10,10,9,9,9,14,13,13,12,12,13,9,9,5
17,P-FTD,7,7,7,9,8,9,8,8,8,8,7,6,12,15,16
18,Log StDev Counts,,,,,,,,,,,,,,,
19,Exp-LDD,10,12,12,6,5,5,10,10,9,9,7,7,7.0,5,5
20,Exp-VD,10,9,9,9,9,9,11,10,10,10,9,9,5.0,3,4
21,LDD,6,7,7,9,9,9,7,7,8,9,10,10,,1,1
22,Orig,10,8,8,6,6,6,6,6,5,3,4,4,23.0,25,24
23,P-FTD,4,4,4,10,11,11,6,7,8,9,10,10,5.0,6,6
