,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.9376,0.978,0.9785,0.9633,0.9308,0.9252,0.9531,0.9168,0.9171,0.9059,0.8904,0.8939,0.9755,0.9685,0.9865
1,Median,LDD,0.8207,0.8341,0.8375,0.8486,0.864,0.8677,0.8408,0.8536,0.851,0.849,0.8459,0.8412,1.0098,0.9995,0.9941
2,Median,Exp-LDD,0.9389,0.9199,0.9296,0.9195,0.9292,0.9328,0.9226,0.9186,0.9234,0.9001,0.8868,0.8812,0.9936,0.9886,0.9938
3,Median,Exp-VD,0.9489,0.9301,0.9329,0.9374,0.9225,0.9229,0.9603,0.9595,0.9628,0.9352,0.9302,0.9296,0.9721,0.9519,0.9434
4,IQR,P-FTD,0.7521,0.7884,0.7907,0.5452,0.5394,0.538,0.6267,0.6452,0.6475,0.4469,0.4776,0.4804,1.4378,1.3299,1.2282
5,IQR,LDD,0.4341,0.4009,0.4056,0.3718,0.358,0.3582,0.3405,0.3234,0.3278,0.288,0.2775,0.2752,2.09,2.1269,2.055
6,IQR,Exp-LDD,0.3572,0.3619,0.3542,0.3606,0.3849,0.3855,0.3391,0.3305,0.3353,0.2719,0.3038,0.2975,1.2647,1.4722,1.2645
7,IQR,Exp-VD,0.5159,0.5291,0.5345,0.5577,0.5104,0.5106,0.5163,0.5407,0.5409,0.4128,0.4068,0.3977,1.1402,1.1139,1.1081
8,Log Mean,P-FTD,0.9802,0.9518,1.0132,0.962,1.0021,0.9613,0.9692,0.9411,0.9712,0.9231,0.9363,0.9132,0.9986,0.9976,0.9968
9,Log Mean,LDD,0.8974,0.9057,0.9011,0.9025,0.8977,0.8692,0.922,0.943,0.8853,0.8985,0.9084,0.8539,1.0007,0.9996,0.9956
10,Log Mean,Exp-LDD,0.9794,0.9822,0.9376,0.9723,0.9865,0.9461,0.9767,0.9828,0.9446,0.9741,0.981,0.946,0.9998,0.9988,0.998
11,Log Mean,Exp-VD,0.9731,0.9583,0.9453,0.9618,0.9632,0.9572,0.9781,0.998,0.9378,0.9676,0.9749,0.9447,0.9983,0.9967,0.9856
12,Log StDev,P-FTD,0.9084,0.8876,0.8795,0.6665,0.6104,0.6145,0.7308,0.6933,0.6903,0.5539,0.565,0.5635,1.6059,1.728,1.4976
13,Log StDev,LDD,0.5297,0.5256,0.5323,0.5161,0.4956,0.4821,0.4476,0.4577,0.452,0.3765,0.3837,0.3852,2.3499,2.5611,2.3301
14,Log StDev,Exp-LDD,0.4948,0.4567,0.4566,0.4409,0.4481,0.4499,0.4613,0.4641,0.4597,0.3557,0.4075,0.4045,1.365,1.5032,1.3103
15,Log StDev,Exp-VD,0.5941,0.5803,0.5811,0.5578,0.593,0.5868,0.5572,0.5509,0.551,0.5183,0.5034,0.5044,1.1284,1.2047,1.2779
