,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,355.0,372.0,366.0,374.0,384.0,323.0,377.0,395.0,339.0,336.0,358.0,291.0,280.0,258.0 *,334.0
1,Median,LDD,270.0,299.0,277.0,285.0,292.0,284.0,282.0,274.0,274.0,275.0,280.0,274.0,398.0,388.0,319.0
2,Median,Exp-LDD,267.0,270.0,340.0,277.0,291.0,373.0,278.0,283.0,361.0,264.0 *,272.0,358.0,343.0,343.0,309.0
3,Median,Exp-VD,328.0,319.0,365.0,340.0,325.0,373.0,342.0,324.0,348.0,343.0,341.0,363.0,185.0 **,176.0 **,239.0 *
4,IQR,P-FTD,289.0,284.0,275.0,193.0 **,149.0 **,138.0 **,235.0 *,244.0 *,231.0 *,93.0 **,84.0 **,67.0 **,263.0 *,261.0 *,259.0 *
5,IQR,LDD,96.0 **,90.0 **,61.0 **,100.0 **,98.0 **,69.0 **,53.0 **,55.0 **,29.0 **,26.0 **,23.0 **,12.0 **,112.0 **,142.0 **,56.0 **
6,IQR,Exp-LDD,80.0 **,33.0 **,32.0 **,55.0 **,40.0 **,33.0 **,72.0 **,30.0 **,20.0 **,36.0 **,25.0 **,10.0 **,317.0,292.0,286.0
7,IQR,Exp-VD,149.0 **,150.0 **,130.0 **,183.0 **,158.0 **,154.0 **,90.0 **,103.0 **,85.0 **,99.0 **,101.0 **,73.0 **,386.0,396.0,375.0
8,Log Mean,P-FTD,374.0,381.0,378.0,296.0,311.0,313.0,342.0,366.0,366.0,251.0 *,262.0 *,269.0,277.0,243.0 *,336.0
9,Log Mean,LDD,260.0 *,263.0 *,264.0 *,273.0,274.0,272.0,273.0,270.0,270.0,269.0,265.0,268.0,395.0,409.0,331.0
10,Log Mean,Exp-LDD,310.0,318.0,320.0,338.0,350.0,358.0,319.0,335.0,339.0,294.0,313.0,316.0,341.0,296.0,316.0
11,Log Mean,Exp-VD,345.0,351.0,353.0,367.0,364.0,363.0,314.0,320.0,323.0,346.0,349.0,353.0,191.0 **,176.0 **,241.0 *
12,Log StDev,P-FTD,387.0,358.0,358.0,150.0 **,138.0 **,141.0 **,246.0 *,229.0 *,229.0 *,89.0 **,87.0 **,89.0 **,175.0 **,187.0 **,166.0 **
13,Log StDev,LDD,84.0 **,65.0 **,61.0 **,82.0 **,61.0 **,61.0 **,42.0 **,37.0 **,35.0 **,28.0 **,17.0 **,17.0 **,78.0 **,91.0 **,42.0 **
14,Log StDev,Exp-LDD,32.0 **,28.0 **,28.0 **,9.0 **,14.0 **,13.0 **,31.0 **,32.0 **,29.0 **,24.0 **,18.0 **,19.0 **,260.0 *,251.0 *,275.0
15,Log StDev,Exp-VD,126.0 **,112.0 **,111.0 **,134.0 **,129.0 **,123.0 **,69.0 **,42.0 **,41.0 **,59.0 **,49.0 **,47.0 **,292.0,301.0,299.0
