,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,0.4679718594561564,0.617864971896779,0.5626676823321759,0.6367651425298391,0.7345573100628826,0.24792719178185507,0.6655508074145473,0.8471556244439853,0.34716529149409325,0.32689447529082827,0.49291002014433616,0.11185002994352544,0.08171383123044507,0.04080139504367253,0.3138070678778604
1,Median,LDD,0.060269491961662425,0.13868038851069286,0.07472652908654709,0.09449897358172166,0.1149664051754371,0.0918240616483672,0.08665273707811139,0.06822422074037604,0.06822422074037604,0.07033917775879672,0.08171383123044507,0.06822422074037604,0.8785070700851065,0.7749952346202917,0.22650754260575923
2,Median,Exp-LDD,0.05481029127986403,0.060269491961662425,0.35409228332900966,0.07472652908654709,0.11185002994352544,0.6272851643807371,0.0770006142774946,0.08920892782589362,0.5185272742000961,0.049760567819248536,0.06414752090131515,0.49291002014433616,0.3753805605592788,0.3753805605592788,0.17869641572360706
3,Median,Exp-VD,0.2765956516359438,0.22650754260575923,0.5536995567435952,0.35409228332900966,0.259140549798758,0.6272851643807371,0.36820016943056544,0.25349167909553216,0.4125340336249792,0.3753805605592788,0.3611039877814619,0.5359713830403052,0.0019595077046687948,0.0012308068326092325,0.020754569575728965
4,IQR,P-FTD,0.1058129653429205,0.0918240616483672,0.07033917775879672,0.0029080943877488608,0.00026391974461148493,0.0001315457593591418,0.017831046616265667,0.02497325502190506,0.015266838387105963,4.5276301534613594e-06,2.0374991436256096e-06,3.8751750253140926e-07,0.048164484947847086,0.0450981847334333,0.04219436091807438
5,IQR,LDD,5.845156920258887e-06,3.488779839244671e-06,2.0396328181959689e-07,8.152759619406424e-06,6.9107463787076995e-06,4.765788617078215e-07,8.20273271529004e-08,1.03669663076289e-07,3.1632225727662444e-09,1.9444996723905206e-09,1.1641532182693481e-09,1.2732925824820995e-10,2.104776467604097e-05,0.00017029843002092093,1.1634983820840716e-07
6,IQR,Exp-LDD,1.4051875041332096e-06,5.844412953592837e-09,5.029505700804293e-09,1.03669663076289e-07,1.5819750842638314e-08,5.844412953592837e-09,6.459667929448187e-07,3.701643436215818e-09,6.748450687155128e-10,9.054929250851274e-09,1.6443664208054543e-09,7.821654435247183e-11,0.2162961354260915,0.1149664051754371,0.09723449486591562
7,IQR,Exp-VD,0.00026391974461148493,0.00028057557574356906,7.708757948421407e-05,0.001770566779669025,0.0004523318730207393,0.0003571899414964719,3.488779839244671e-06,1.040497409121599e-05,2.2321128199109808e-06,7.508137059630826e-06,8.847995559335686e-06,7.137441571103409e-07,0.7546940826050559,0.8575823361643415,0.6463036218483467
8,Log Mean,P-FTD,0.6367651425298391,0.7046876743079338,0.6752568088832049,0.12810258085846726,0.18761708125202858,0.19685455255421402,0.36820016943056544,0.5626676823321759,0.5626676823321759,0.03207873742940137,0.046610625882749446,0.058402880749781616,0.07472652908654709,0.02407598106947262,0.32689447529082827
9,Log Mean,LDD,0.043626361240967526,0.048164484947847086,0.049760567819248536,0.06616061626664305,0.06822422074037604,0.06414752090131515,0.06616061626664305,0.060269491961662425,0.060269491961662425,0.058402880749781616,0.051399685278738616,0.05658342447895848,0.8471556244439853,0.9946976143110078,0.2948169606661395
10,Log Mean,Exp-LDD,0.18311741828802042,0.2213606056466233,0.23173732552095316,0.34032321635640983,0.42797189528209856,0.49291002014433616,0.22650754260575923,0.32030806105103693,0.34716529149409325,0.12139880184622598,0.19685455255421402,0.21131373006210197,0.3611039877814619,0.12810258085846726,0.21131373006210197
11,Log Mean,Exp-VD,0.3899927400161687,0.4358124383925315,0.45173393898585346,0.5717037787562731,0.5448004511072213,0.5359713830403052,0.20159339489509875,0.23173732552095316,0.24792719178185507,0.3974238318751304,0.42021225081225566,0.45173393898585346,0.002638970910993521,0.0012308068326092325,0.022363033434885438
12,Log StDev,P-FTD,0.7648249070225575,0.49291002014433616,0.49291002014433616,0.00028057557574356906,0.0001315457593591418,0.0001597403588675661,0.02685272056623944,0.0141080951798358,0.0141080951798358,3.194629243807867e-06,2.6737125153886154e-06,3.194629243807867e-06,0.0011671793090499705,0.0021662512626789976,0.000714401952791377
13,Log StDev,LDD,2.0374991436256096e-06,3.1401395972352475e-07,2.0396328181959689e-07,1.6943467926466838e-06,2.0396328181959689e-07,2.0396328181959689e-07,2.0700099412351847e-08,1.0437361197546124e-08,7.839844329282641e-09,2.697561285458505e-09,3.765308065339923e-10,3.765308065339923e-10,1.1621450539678335e-06,3.8077105273259804e-06,2.0700099412351847e-08
14,Log StDev,Exp-LDD,5.029505700804293e-09,2.697561285458505e-09,2.697561285458505e-09,6.002665031701326e-11,2.000888343900442e-10,1.6007106751203537e-10,4.320099833421409e-09,5.029505700804293e-09,3.1632225727662444e-09,1.3860699255019426e-09,4.602043190971017e-10,5.584297468885779e-10,0.043626361240967526,0.03207873742940137,0.07033917775879672
15,Log StDev,Exp-VD,5.845885789312888e-05,2.104776467604097e-05,1.9500828784657642e-05,0.00010100967301696073,7.198017374321353e-05,4.7302397433668375e-05,4.765788617078215e-07,2.0700099412351847e-08,1.8109858501702547e-08,1.634398358874023e-07,5.06388460053131e-08,3.9488440961577e-08,0.1149664051754371,0.14608894804041483,0.13868038851069286
