,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,LDD,1.0452,1.0325,1.0377,0.9832,0.9822,0.9823,1.032,0.9929,1.0058,1.0019,0.956,0.9561,1.0286,1.0169,1.0102
1,Median,Exp-LDD,0.9528,0.9404,0.9494,1.0081,1.0072,1.0093,1.0162,0.998,1.0081,0.9605,0.9641,0.9656,1.006,1.0262,1.0103
2,Median,Exp-VD,1.0602,1.0248,1.0296,1.0092,1.0021,1.0023,1.0132,1.0064,1.0025,1.0084,1.0038,1.0032,0.997,0.9986,0.995
3,IQR,LDD,0.5488,0.5697,0.5882,0.7807,0.7967,0.7949,0.5906,0.5384,0.5465,0.7034,0.7187,0.7158,1.6576,1.7473,1.4145
4,IQR,Exp-LDD,0.4823,0.5064,0.5152,0.6838,0.7268,0.7287,0.5545,0.5723,0.5699,0.5884,0.597,0.5905,0.8936,0.9751,0.8339
5,IQR,Exp-VD,0.7556,0.7292,0.7438,0.9119,0.8766,0.8723,0.7149,0.6703,0.668,0.6748,0.7447,0.7485,0.7687,0.8635,0.6184
6,Log Mean,LDD,1.0198,1.0067,1.0231,0.9609,0.9384,1.0036,0.9957,1.0198,0.9957,0.9913,1.0084,0.9752,1.0019,1.0014,1.0037
7,Log Mean,Exp-LDD,0.9964,0.997,0.9799,1.0169,1.0546,1.0087,1.0142,1.0331,1.0004,1.0144,0.9975,0.9878,1.0005,1.0017,1.0039
8,Log Mean,Exp-VD,1.0126,1.0121,1.0212,1.002,1.0092,1.0122,1.0087,1.0114,0.9922,1.013,1.0041,0.9956,0.9998,0.9998,0.9977
9,Log StDev,LDD,0.6257,0.5782,0.5738,0.8126,0.771,0.7723,0.5887,0.5988,0.5937,0.7152,0.7139,0.7131,1.3789,1.3466,1.3237
10,Log StDev,Exp-LDD,0.4886,0.5233,0.5273,0.6784,0.6676,0.6751,0.5308,0.5877,0.5926,0.7362,0.7485,0.7479,0.7612,0.8243,0.7635
11,Log StDev,Exp-VD,0.7298,0.7554,0.7496,0.8849,0.8766,0.8739,0.6723,0.7288,0.7274,0.7574,0.749,0.7472,0.7547,0.6902,0.6843
