,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,373.0,384.0,389.0,386.0,383.0,399.0,405.0,402.0,407.0,406.0,400.0,409.0,268.0,288.0,393.0
2,Median,Exp-LDD,397.0,386.0,365.0,384.0,387.0,336.0,389.0,398.0,337.0,400.0,396.0,344.0,305.0,255.0 *,387.0
3,Median,Exp-VD,284.0,343.0,338.0,349.0,391.0,367.0,357.0,380.0,372.0,369.0,400.0,367.0,360.0,391.0,409.0
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,79.0 **,59.0 **,33.0 **,239.0 *,233.0 *,241.0 *,85.0 **,87.0 **,69.0 **,191.0 **,191.0 **,186.0 **,202.0 **,213.0 **,214.0 **
6,IQR,Exp-LDD,27.0 **,19.0 **,31.0 **,144.0 **,156.0 **,171.0 **,95.0 **,39.0 **,51.0 **,133.0 **,140.0 **,148.0 **,406.0,396.0,285.0
7,IQR,Exp-VD,219.0 **,232.0 *,208.0 **,351.0,370.0,392.0,236.0 *,247.0 *,237.0 *,301.0,277.0,330.0,225.0 *,222.0 *,208.0 **
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,351.0,343.0,343.0,397.0,385.0,387.0,379.0,366.0,368.0,406.0,402.0,402.0,256.0 *,262.0 *,379.0
10,Log Mean,Exp-LDD,382.0,378.0,381.0,396.0,388.0,388.0,404.0,405.0,404.0,393.0,402.0,399.0,321.0,261.0 *,364.0
11,Log Mean,Exp-VD,375.0,388.0,385.0,366.0,381.0,380.0,398.0,394.0,400.0,375.0,387.0,384.0,368.0,397.0,409.0
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,26.0 **,37.0 **,38.0 **,227.0 *,224.0 *,226.0 *,49.0 **,62.0 **,63.0 **,139.0 **,132.0 **,133.0 **,208.0 **,215.0 **,233.0 *
14,Log StDev,Exp-LDD,9.0 **,7.0 **,7.0 **,142.0 **,143.0 **,142.0 **,73.0 **,74.0 **,74.0 **,122.0 **,137.0 **,133.0 **,289.0,306.0,226.0 *
15,Log StDev,Exp-VD,128.0 **,115.0 **,115.0 **,339.0,350.0,344.0,163.0 **,164.0 **,160.0 **,301.0,291.0,286.0,174.0 **,210.0 **,185.0 **
